machine_number,floor,section,rank_from_min,rank_from_max,section_size,section_size_group
2001,2F,2001-2010,1,10,10,M
2002,2F,2001-2010,2,9,10,M
2003,2F,2001-2010,3,8,10,M
2004,2F,2001-2010,4,7,10,M
2005,2F,2001-2010,5,6,10,M
2006,2F,2001-2010,6,5,10,M
2007,2F,2001-2010,7,4,10,M
2008,2F,2001-2010,8,3,10,M
2009,2F,2001-2010,9,2,10,M
2010,2F,2001-2010,10,1,10,M
2011,2F,2011-2022,1,12,12,M
2012,2F,2011-2022,2,11,12,M
2013,2F,2011-2022,3,10,12,M
2014,2F,2011-2022,4,9,12,M
2015,2F,2011-2022,5,8,12,M
2016,2F,2011-2022,6,7,12,M
2017,2F,2011-2022,7,6,12,M
2018,2F,2011-2022,8,5,12,M
2019,2F,2011-2022,9,4,12,M
2020,2F,2011-2022,10,3,12,M
