hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
ヒロキ,甲鉄城のカバネリ 海門(うなと)決戦,445,dd,plus,chi2,52.95678527821385,0.00599490624352,0.2270518743561737,445,31,,
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,830,dd,hit104,chi2,64.65995297372343,0.0002424199930977,0.2043667295920721,830,31,,
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,830,dd,plus,chi2,61.40985996711446,0.0006193716743682,0.1945385726813466,830,31,,
レイトギャップ,マジカルハロウィン8,932,dd,hit104,chi2,59.20616116919435,0.0011475370145876,0.177020244408133,932,31,,
ザシティ,からくりサーカス,590,dd,plus,chi2,47.77414669466838,0.0208785370915303,0.1734659368073299,590,31,,
レイトギャップ,マギアレコード 魔法少女まどか☆マギカ外伝,1612,dd,hit104,chi2,77.70411556443659,4.202114278408489e-06,0.1720463465270117,1612,31,,
レイトギャップ,マギアレコード 魔法少女まどか☆マギカ外伝,1612,dd,plus,chi2,77.32788194052618,4.750325870388824e-06,0.1713662885131786,1612,31,,
蒲田1,甲鉄城のカバネリ,1621,dd,plus,chi2,75.76986999465198,7.867642893101123e-06,0.1680523303808269,1621,31,,
ザシティ,からくりサーカス,590,dd,hit104,chi2,45.8046178230357,0.0324331534954548,0.1635437847173711,590,31,,
みとや,攻殻機動隊,563,dd,hit104,chi2,44.3637744136761,0.0441896662987647,0.1595725994110018,563,31,,
ザシティ,マギアレコード 魔法少女まどか☆マギカ外伝,694,dd,plus,chi2,47.03721410722547,0.0246763404881245,0.1565960025293405,694,31,,
楽園,盾の勇者の成り上がり,850,dd,plus,chi2,49.61874083693061,0.0135820025381615,0.1518764931121212,850,31,,
みとや,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,683,dd,hit104,chi2,45.40932929921017,0.0353448848784197,0.1500995469505242,683,31,,
蒲田1,アズールレーン THE ANIMATION,838,dd,hit104,chi2,48.49228357634728,0.0176948237516889,0.1484949086874794,838,31,,
みとや,甲鉄城のカバネリ 海門(うなと)決戦,1092,dd,hit104,chi2,51.46250872114193,0.0062540226191443,0.1434035234351905,1092,30,,
ARROW,ゴーゴージャグラー3,4284,dd,plus,chi2,115.0833189910116,6.720125777535896e-12,0.1409387154117297,4284,31,,
楽園,とある科学の超電磁砲2,923,dd,plus,chi2,48.22059124984354,0.018843409599234,0.1404519922632092,923,31,,
蒲田1,押忍!番長ZERO,779,dd,hit104,chi2,45.20688101239466,0.0369239876204625,0.1396301838900502,779,31,,
