hall,axis,outcome,n_patterns,n_valid_patterns,n_effect_ge_0_1,pct_effect_ge_0_1
蒲田1,day_of_week,diff,54,54,0,0.0
蒲田1,day_of_week,hit104,54,54,4,7.4074074074074066
蒲田1,day_of_week,plus,54,54,3,5.555555555555555
蒲田1,dd,diff,54,54,0,0.0
蒲田1,dd,hit104,54,54,13,24.074074074074073
蒲田1,dd,plus,54,54,13,24.074074074074073
蒲田1,dd_bin,diff,54,54,0,0.0
蒲田1,dd_bin,hit104,54,54,3,5.555555555555555
蒲田1,dd_bin,plus,54,54,1,1.8518518518518516
蒲田1,is_x_day,diff,54,54,0,0.0
蒲田1,is_x_day,hit104,54,54,1,1.8518518518518516
蒲田1,is_x_day,plus,54,54,1,1.8518518518518516
蒲田7,day_of_week,diff,62,62,0,0.0
蒲田7,day_of_week,hit104,62,62,6,9.67741935483871
蒲田7,day_of_week,plus,62,62,6,9.67741935483871
蒲田7,dd,diff,62,62,1,1.6129032258064515
蒲田7,dd,hit104,62,62,6,9.67741935483871
蒲田7,dd,plus,62,62,8,12.903225806451612
蒲田7,dd_bin,diff,62,62,0,0.0
蒲田7,dd_bin,hit104,62,62,3,4.838709677419355
蒲田7,dd_bin,plus,62,62,4,6.451612903225806
蒲田7,is_x_day,diff,62,62,0,0.0
蒲田7,is_x_day,hit104,62,62,0,0.0
蒲田7,is_x_day,plus,62,62,0,0.0
みとや,day_of_week,diff,37,37,0,0.0
みとや,day_of_week,hit104,37,37,1,2.7027027027027026
みとや,day_of_week,plus,37,37,1,2.7027027027027026
みとや,dd,diff,37,37,0,0.0
みとや,dd,hit104,37,37,9,24.324324324324326
みとや,dd,plus,37,37,11,29.72972972972973
みとや,dd_bin,diff,37,37,0,0.0
みとや,dd_bin,hit104,37,37,0,0.0
みとや,dd_bin,plus,37,37,0,0.0
みとや,is_x_day,diff,37,37,0,0.0
みとや,is_x_day,hit104,37,37,3,8.108108108108109
みとや,is_x_day,plus,37,37,2,5.405405405405405
楽園,day_of_week,diff,105,105,0,0.0
楽園,day_of_week,hit104,105,105,3,2.857142857142857
楽園,day_of_week,plus,105,105,2,1.9047619047619049
楽園,dd,diff,105,105,0,0.0
