hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
みとや,SHAKE BONUS TRIGGER,dd,plus,1,1,11,-1019.8181818181819,18.181818181818183,9.090909090909092
みとや,SHAKE BONUS TRIGGER,dd,plus,2,2,9,-374.44444444444446,11.11111111111111,11.11111111111111
みとや,SHAKE BONUS TRIGGER,dd,plus,3,3,9,-800.4444444444445,11.11111111111111,0.0
みとや,SHAKE BONUS TRIGGER,dd,plus,4,4,9,-222.22222222222223,55.55555555555556,44.44444444444444
みとや,SHAKE BONUS TRIGGER,dd,plus,5,5,9,296.1111111111111,66.66666666666666,33.33333333333333
みとや,SHAKE BONUS TRIGGER,dd,plus,6,6,9,569.5555555555555,66.66666666666666,44.44444444444444
みとや,SHAKE BONUS TRIGGER,dd,plus,7,7,9,653.2222222222222,66.66666666666666,55.55555555555556
みとや,SHAKE BONUS TRIGGER,dd,plus,8,8,9,-364.1111111111111,44.44444444444444,33.33333333333333
みとや,SHAKE BONUS TRIGGER,dd,plus,9,9,9,469.6666666666667,55.55555555555556,55.55555555555556
みとや,SHAKE BONUS TRIGGER,dd,plus,10,10,9,421.44444444444446,33.33333333333333,33.33333333333333
みとや,SHAKE BONUS TRIGGER,dd,plus,11,11,9,-149.44444444444446,55.55555555555556,33.33333333333333
みとや,SHAKE BONUS TRIGGER,dd,plus,12,12,8,38.25,37.5,25.0
みとや,SHAKE BONUS TRIGGER,dd,plus,13,13,9,-207.44444444444446,33.33333333333333,11.11111111111111
みとや,SHAKE BONUS TRIGGER,dd,plus,14,14,9,519.4444444444445,66.66666666666666,44.44444444444444
みとや,SHAKE BONUS TRIGGER,dd,plus,15,15,9,-227.77777777777777,33.33333333333333,33.33333333333333
みとや,SHAKE BONUS TRIGGER,dd,plus,16,16,9,-679.2222222222222,22.22222222222222,22.22222222222222
みとや,SHAKE BONUS TRIGGER,dd,plus,17,17,9,-180.77777777777777,44.44444444444444,44.44444444444444
みとや,SHAKE BONUS TRIGGER,dd,plus,18,18,9,-29.555555555555557,33.33333333333333,11.11111111111111
みとや,SHAKE BONUS TRIGGER,dd,plus,19,19,9,-95.77777777777777,55.55555555555556,33.33333333333333
みとや,SHAKE BONUS TRIGGER,dd,plus,20,20,11,281.45454545454544,81.81818181818183,36.36363636363637
みとや,SHAKE BONUS TRIGGER,dd,plus,21,21,11,147.8181818181818,45.45454545454545,45.45454545454545
みとや,SHAKE BONUS TRIGGER,dd,plus,22,22,10,-17.4,50.0,30.0
みとや,SHAKE BONUS TRIGGER,dd,plus,23,23,11,605.0,63.63636363636363,36.36363636363637
みとや,SHAKE BONUS TRIGGER,dd,plus,24,24,11,-26.181818181818183,36.36363636363637,27.27272727272727
みとや,SHAKE BONUS TRIGGER,dd,plus,25,25,11,291.8181818181818,72.72727272727273,63.63636363636363
みとや,SHAKE BONUS TRIGGER,dd,plus,26,26,11,-185.27272727272728,45.45454545454545,36.36363636363637
