hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
みとや,うみねこのなく頃に2,233,dd,hit104,chi2,42.61520078029512,0.06332893825352431,0.2319902868065663,233,31,,warning: 59.7% of expected cells are below 5
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,833,dd,hit104,chi2,64.70853382428305,0.00023898612057824124,0.20414139560540295,833,31,,
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,833,dd,plus,chi2,61.362203099235444,0.0006277940872813038,0.1940403861776136,833,31,,
みとや,スマスロ サンダーV,349,dd,hit104,chi2,39.83035299109216,0.08674909872564396,0.1757341611750913,349,30,,warning: 50.0% of expected cells are below 5
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,833,is_x_day,hit104,chi2,25.334719599895152,4.819551474636101e-07,0.17101771454835477,833,2,,
みとや,攻殻機動隊,567,dd,hit104,chi2,44.01005612716506,0.04759299411636181,0.1570324186165386,567,31,,
みとや,うみねこのなく頃に2,233,dd,plus,chi2,35.679256686428815,0.2187657909618896,0.15466941186648192,233,31,,warning: 100.0% of expected cells are below 5
みとや,スマスロ サンダーV,349,dd,plus,chi2,37.129028253371054,0.14295256574077364,0.1520526352910015,349,30,,warning: 51.7% of expected cells are below 5
みとや,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,684,dd,hit104,chi2,45.50329241993842,0.034632507573202624,0.15044785117021175,684,31,,
みとや,甲鉄城のカバネリ 海門(うなと)決戦,1106,dd,hit104,chi2,52.79925724101113,0.004434032091768199,0.14667670721894432,1106,30,,
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,833,is_x_day,plus,chi2,18.691829738028282,1.5363939845620883e-05,0.1458177099419014,833,2,,
みとや,SHAKE BONUS TRIGGER,294,dd,plus,chi2,36.08676353839398,0.20525042810120614,0.14291509411456124,294,31,,warning: 67.7% of expected cells are below 5
みとや,ジャグラーガールズ,3217,dd,plus,chi2,85.03703856070533,3.637629424495725e-07,0.13080752295117282,3217,31,,
みとや,スマート沖スロ ニューキングハナハナV,385,day_of_week,plus,chi2,12.426573862986022,0.05310161813425471,0.1292102648897974,385,7,,
みとや,マギアレコード 魔法少女まどか☆マギカ外伝,2272,dd,plus,chi2,66.75641593159469,0.0001301619160846978,0.12719791666046776,2272,31,,
みとや,東京喰種,5375,is_x_day,plus,chi2,85.12214082705967,2.8049206005238375e-20,0.1251139842482663,5375,2,,
みとや,攻殻機動隊,567,dd,plus,chi2,38.681979072661825,0.13301429810956605,0.12347302301003352,567,31,,
みとや,東京喰種,5375,dd,plus,chi2,111.49607032220015,2.618547201760168e-11,0.12314155556705361,5375,31,,
みとや,スマスロ ハナビ,462,dd,hit104,chi2,36.76202519564802,0.1841800145356003,0.12052830907356017,462,31,,warning: 51.6% of expected cells are below 5
みとや,東京喰種,5375,is_x_day,hit104,chi2,78.87566649556524,6.614448034101746e-19,0.12037922579718237,5375,2,,
みとや,スマート沖スロ ニューキングハナハナV,385,day_of_week,hit104,chi2,11.461376947389777,0.07512161963512315,0.1190871188349936,385,7,,
みとや,アレックス ブライト,808,dd,hit104,chi2,41.050304072668496,0.0860718404415285,0.1168204664889208,808,31,,
みとや,東京喰種,5375,dd,hit104,chi2,100.57444044115054,1.50645497546714e-09,0.11459290288842809,5375,31,,
みとや,鉄拳6,649,dd,plus,chi2,38.5206254796301,0.1368353762206734,0.1143577703407071,649,31,,
みとや,アズールレーン THE ANIMATION,753,dd,plus,chi2,38.49185965254337,0.1375255053763359,0.10601573662197618,753,31,,
みとや,甲鉄城のカバネリ 海門(うなと)決戦,1106,dd,plus,chi2,41.33381719540714,0.0643760478675858,0.10553712190817269,1106,30,,
みとや,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,684,is_x_day,hit104,chi2,8.006298182296495,0.0046614932121165666,0.1012719189409133,684,2,,
みとや,ウルトラミラクルジャグラー,2690,dd,hit104,chi2,55.90809732223612,0.002797452175538725,0.09813611485983158,2690,31,,
みとや,甲鉄城のカバネリ 海門(うなと)決戦,1106,is_x_day,plus,chi2,11.63388533662242,0.0006476113924903009,0.09809492617215089,1106,2,,
みとや,うみねこのなく頃に2,233,day_of_week,hit104,chi2,8.252877867798341,0.2201560879877818,0.09797644807355715,233,7,,
