hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
ヒロキ,Re:ゼロから始める異世界生活 season2,296,day_of_week,diff,kruskal,6.572548498554355,0.36219044289350494,0.0019811366731984615,296,7,0.0,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,day_of_week,hit104,chi2,8.773952895093057,0.1866955712886962,0.09661465576524762,296,7,,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,day_of_week,plus,chi2,12.527672891939932,0.051180730363144154,0.1485227675887177,296,7,,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,dd,diff,kruskal,19.742396586323075,0.9007540938918854,0.0,292,31,1.0,dropped sparse levels (<5): 31:4
ヒロキ,Re:ゼロから始める異世界生活 season2,296,dd,hit104,chi2,28.732592620000023,0.5316744063606149,0.0,296,31,,warning: 59.7% of expected cells are below 5
ヒロキ,Re:ゼロから始める異世界生活 season2,296,dd,plus,chi2,23.761266932366677,0.7827166757458012,0.0,296,31,,warning: 62.9% of expected cells are below 5
ヒロキ,Re:ゼロから始める異世界生活 season2,296,dd_bin,diff,kruskal,4.139981270483177,0.38739279595806597,0.00048103529375662156,296,5,0.0,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,dd_bin,hit104,chi2,3.806158821935375,0.4328745258958483,0.0,296,5,,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,dd_bin,plus,chi2,0.9551199578585367,0.9165231851067256,0.0,296,5,,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,is_x_day,diff,kruskal,0.3283772621531108,0.5666161808279423,0.0,296,2,0.0,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,is_x_day,hit104,chi2,0.5986125808348028,0.4391078794988982,0.0,296,2,,
ヒロキ,Re:ゼロから始める異世界生活 season2,296,is_x_day,plus,chi2,0.20307717289814503,0.652248422054138,0.0,296,2,,
ヒロキ,SHAKE BONUS TRIGGER,218,day_of_week,diff,kruskal,3.0150622618956597,0.80695399626209,0.0,218,7,0.0,
ヒロキ,SHAKE BONUS TRIGGER,218,day_of_week,hit104,chi2,4.055282658052326,0.6691951950672128,0.0,218,7,,
ヒロキ,SHAKE BONUS TRIGGER,218,day_of_week,plus,chi2,3.6887157508247417,0.7187158112535923,0.0,218,7,,
ヒロキ,SHAKE BONUS TRIGGER,218,dd,diff,kruskal,22.560507060755533,0.7962610072296441,0.0,214,31,1.0,dropped sparse levels (<5): 31:4
ヒロキ,SHAKE BONUS TRIGGER,218,dd,hit104,chi2,21.322240816969206,0.8775418201726677,0.0,218,31,,warning: 85.5% of expected cells are below 5
ヒロキ,SHAKE BONUS TRIGGER,218,dd,plus,chi2,29.620894920227393,0.48518654274536543,0.0,218,31,,warning: 100.0% of expected cells are below 5
ヒロキ,SHAKE BONUS TRIGGER,218,dd_bin,diff,kruskal,8.533313386970654,0.07388385574168467,0.02128316144117678,218,5,0.0,
ヒロキ,SHAKE BONUS TRIGGER,218,dd_bin,hit104,chi2,3.570037107297937,0.467309257760924,0.0,218,5,,
ヒロキ,SHAKE BONUS TRIGGER,218,dd_bin,plus,chi2,9.711255281806972,0.04558281706720561,0.16197148010314957,218,5,,
ヒロキ,SHAKE BONUS TRIGGER,218,is_x_day,diff,kruskal,0.03163124170429133,0.8588394117624585,0.0,218,2,0.0,
ヒロキ,SHAKE BONUS TRIGGER,218,is_x_day,hit104,chi2,0.13339089399552334,0.7149418298961119,0.0,218,2,,
ヒロキ,SHAKE BONUS TRIGGER,218,is_x_day,plus,chi2,0.06406729770016048,0.8001792036876898,0.0,218,2,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,day_of_week,diff,kruskal,9.168415327372301,0.16432570374647104,0.003121591455539213,1022,7,0.0,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,day_of_week,hit104,chi2,2.4406934267345006,0.8750450758600551,0.0,1022,7,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,day_of_week,plus,chi2,3.579542263927301,0.7333586296521175,0.0,1022,7,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,dd,diff,kruskal,25.183490403157254,0.7160664260216143,0.0,1022,31,0.0,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,dd,hit104,chi2,23.519633842692418,0.7933092741599153,0.0,1022,31,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,dd,plus,chi2,26.887009699333884,0.6291980310488244,0.0,1022,31,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,dd_bin,diff,kruskal,0.4441518051687052,0.9787050776989076,0.0,1022,5,0.0,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,dd_bin,hit104,chi2,2.2873165933330846,0.6830792166774584,0.0,1022,5,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,dd_bin,plus,chi2,1.8391282176454684,0.7653163699068252,0.0,1022,5,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,is_x_day,diff,kruskal,0.008865899437738996,0.9249829285496852,0.0,1022,2,0.0,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,is_x_day,hit104,chi2,0.7433912485627221,0.3885767012197062,0.0,1022,2,,
ヒロキ,ToLOVEるダークネス TRANCE ver.8.7,1022,is_x_day,plus,chi2,0.08946797480744519,0.7648546080433369,0.0,1022,2,,
ヒロキ,いざ！番長,1293,day_of_week,diff,kruskal,20.450202493938576,0.0023018583077117015,0.011236549373202625,1293,7,0.0,
ヒロキ,いざ！番長,1293,day_of_week,hit104,chi2,7.60761244065225,0.268282462596486,0.03522340726808826,1293,7,,
ヒロキ,いざ！番長,1293,day_of_week,plus,chi2,5.65111810376537,0.46338339261841455,0.0,1293,7,,
ヒロキ,いざ！番長,1293,dd,diff,kruskal,24.67599415423457,0.7406198202041401,0.0,1293,31,0.0,
