hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,月,0,36,252.38888888888889,38.88888888888889,33.33333333333333
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,火,1,37,-261.64864864864865,18.91891891891892,18.91891891891892
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,水,2,33,-210.66666666666666,33.33333333333333,30.303030303030305
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,木,3,34,-262.1470588235294,29.411764705882355,23.52941176470588
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,金,4,37,-520.2972972972973,16.216216216216218,16.216216216216218
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,土,5,66,-223.42424242424244,30.303030303030305,25.757575757575758
ヒロキ,Re:ゼロから始める異世界生活 season2,day_of_week,plus,日,6,53,211.43396226415095,45.28301886792453,39.62264150943396
ヒロキ,SHAKE BONUS TRIGGER,dd_bin,plus,1-7,0,50,-71.96,38.0,30.0
ヒロキ,SHAKE BONUS TRIGGER,dd_bin,plus,8-14,1,45,-15.844444444444445,46.666666666666664,33.33333333333333
ヒロキ,SHAKE BONUS TRIGGER,dd_bin,plus,15-21,2,51,-418.03921568627453,35.294117647058826,29.411764705882355
ヒロキ,SHAKE BONUS TRIGGER,dd_bin,plus,22-28,3,55,-69.72727272727273,43.63636363636363,34.54545454545455
ヒロキ,SHAKE BONUS TRIGGER,dd_bin,plus,29-31,4,17,517.5294117647059,76.47058823529412,52.94117647058824
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,月,0,39,383.2564102564103,48.717948717948715,43.58974358974359
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,火,1,34,-574.5588235294117,23.52941176470588,23.52941176470588
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,水,2,34,1099.8823529411766,61.76470588235294,58.82352941176471
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,木,3,32,-483.84375,40.625,31.25
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,金,4,36,-59.69444444444444,33.33333333333333,30.555555555555557
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,土,5,43,-0.4418604651162791,34.883720930232556,32.55813953488372
ヒロキ,アズールレーン THE ANIMATION,day_of_week,plus,日,6,42,-43.88095238095238,33.33333333333333,28.57142857142857
ヒロキ,アズールレーン THE ANIMATION,dd,plus,1,1,10,166.7,60.0,50.0
ヒロキ,アズールレーン THE ANIMATION,dd,plus,2,2,6,-140.16666666666666,66.66666666666666,33.33333333333333
