hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
楽園,HEY！エリートサラリーマン鏡,1435,day_of_week,diff,kruskal,3.5496678288119923,0.7373503115262745,0.0,1435,7,0.0,
楽園,HEY！エリートサラリーマン鏡,1435,day_of_week,hit104,chi2,9.373558113140334,0.15363360870499723,0.04847302698775236,1435,7,,
楽園,HEY！エリートサラリーマン鏡,1435,day_of_week,plus,chi2,10.183341312925782,0.1171404357625222,0.05398459957070403,1435,7,,
楽園,HEY！エリートサラリーマン鏡,1435,dd,diff,kruskal,31.68171356273412,0.38247502746948814,0.0011978016828590604,1435,31,0.0,
楽園,HEY！エリートサラリーマン鏡,1435,dd,hit104,chi2,31.56173802223417,0.388182700454056,0.03277941011734787,1435,31,,
楽園,HEY！エリートサラリーマン鏡,1435,dd,plus,chi2,36.5062070630467,0.1919689828151282,0.06724966345507118,1435,31,,
楽園,HEY！エリートサラリーマン鏡,1435,dd_bin,diff,kruskal,4.157527290583733,0.3851064294524037,0.00011015894446414899,1435,5,0.0,
楽園,HEY！エリートサラリーマン鏡,1435,dd_bin,hit104,chi2,2.1160071573476475,0.7144321823480433,0.0,1435,5,,
楽園,HEY！エリートサラリーマン鏡,1435,dd_bin,plus,chi2,2.92515942698181,0.5704269012071903,0.0,1435,5,,
楽園,HEY！エリートサラリーマン鏡,1435,is_x_day,diff,kruskal,0.32184857719321147,0.5704988299310388,0.0,1435,2,0.0,
楽園,HEY！エリートサラリーマン鏡,1435,is_x_day,hit104,chi2,0.3165168489711333,0.5737084488003182,0.0,1435,2,,
楽園,HEY！エリートサラリーマン鏡,1435,is_x_day,plus,chi2,0.07604670420112475,0.7827280537694021,0.0,1435,2,,
楽園,SHAKE BONUS TRIGGER,443,day_of_week,diff,kruskal,4.990257420637044,0.5450632850909958,0.0,443,7,0.0,
楽園,SHAKE BONUS TRIGGER,443,day_of_week,hit104,chi2,3.556636102180007,0.7364198991469382,0.0,443,7,,
楽園,SHAKE BONUS TRIGGER,443,day_of_week,plus,chi2,4.367775532706519,0.6270372311044314,0.0,443,7,,
楽園,SHAKE BONUS TRIGGER,443,dd,diff,kruskal,29.59725683977894,0.4864116456580283,0.0,443,31,0.0,
楽園,SHAKE BONUS TRIGGER,443,dd,hit104,chi2,24.725713799150643,0.7382489151082301,0.0,443,31,,warning: 37.1% of expected cells are below 5
楽園,SHAKE BONUS TRIGGER,443,dd,plus,chi2,18.931556292832102,0.9414293569419251,0.0,443,31,,
楽園,SHAKE BONUS TRIGGER,443,dd_bin,diff,kruskal,2.808130339165676,0.5904300882768869,0.0,443,5,0.0,
楽園,SHAKE BONUS TRIGGER,443,dd_bin,hit104,chi2,3.0814075088917496,0.54429568395194,0.0,443,5,,
楽園,SHAKE BONUS TRIGGER,443,dd_bin,plus,chi2,3.2859821320580638,0.5111563276303348,0.0,443,5,,
楽園,SHAKE BONUS TRIGGER,443,is_x_day,diff,kruskal,0.8035972927429229,0.37002000978182614,0.0,443,2,0.0,
楽園,SHAKE BONUS TRIGGER,443,is_x_day,hit104,chi2,2.0118087357101504,0.1560791405922395,0.0477917678737462,443,2,,
楽園,SHAKE BONUS TRIGGER,443,is_x_day,plus,chi2,0.7363026348231074,0.39084785636363084,0.0,443,2,,
楽園,SLOTドルアーガの塔,379,day_of_week,diff,kruskal,5.88225169540348,0.4365088958205606,0.0,379,7,0.0,
楽園,SLOTドルアーガの塔,379,day_of_week,hit104,chi2,4.94747113807738,0.5505678285349767,0.0,379,7,,
楽園,SLOTドルアーガの塔,379,day_of_week,plus,chi2,5.751583240300505,0.45158531731937324,0.0,379,7,,
楽園,SLOTドルアーガの塔,379,dd,diff,kruskal,39.268518366899414,0.11982621584553979,0.026633673468101766,379,31,0.0,
楽園,SLOTドルアーガの塔,379,dd,hit104,chi2,30.074947649583233,0.4618198919415356,0.0,379,31,,warning: 50.0% of expected cells are below 5
楽園,SLOTドルアーガの塔,379,dd,plus,chi2,42.01524425195579,0.07135894439581225,0.17769811738532318,379,31,,warning: 27.4% of expected cells are below 5
楽園,SLOTドルアーガの塔,379,dd_bin,diff,kruskal,8.722065001545992,0.06843465617103243,0.012625842250122974,379,5,0.0,
楽園,SLOTドルアーガの塔,379,dd_bin,hit104,chi2,6.199078125216894,0.18476611093597486,0.07609016218480864,379,5,,
楽園,SLOTドルアーガの塔,379,dd_bin,plus,chi2,6.369988771833072,0.17316869855693356,0.079005446100363,379,5,,
楽園,SLOTドルアーガの塔,379,is_x_day,diff,kruskal,0.9629966187275713,0.3264330348976605,0.0,379,2,0.0,
楽園,SLOTドルアーガの塔,379,is_x_day,hit104,chi2,0.07802238186901972,0.7799955235958217,0.0,379,2,,
楽園,SLOTドルアーガの塔,379,is_x_day,plus,chi2,0.049613285624309444,0.8237375567713114,0.0,379,2,,
楽園,Sister Quest,248,day_of_week,diff,kruskal,5.532961130494097,0.4774818903929826,0.0,248,7,0.0,
楽園,Sister Quest,248,day_of_week,hit104,chi2,6.468912946477811,0.3727591228855031,0.04242777795020093,248,7,,
楽園,Sister Quest,248,day_of_week,plus,chi2,4.7857204461583915,0.5715752445897446,0.0,248,7,,
楽園,Sister Quest,248,dd,diff,kruskal,24.566026296375185,0.5987682869623221,0.0,240,31,3.0,"dropped sparse levels (<5): 8:4, 9:2, 31:2"
楽園,Sister Quest,248,dd,hit104,chi2,30.734662231805093,0.4285338281459431,0.04982620780666708,248,31,,warning: 58.1% of expected cells are below 5
楽園,Sister Quest,248,dd,plus,chi2,30.83887200368741,0.4233591501249475,0.053893968218769184,248,31,,warning: 58.1% of expected cells are below 5
楽園,Sister Quest,248,dd_bin,diff,kruskal,2.6681645216143526,0.6147967934055817,0.0,248,5,0.0,
楽園,Sister Quest,248,dd_bin,hit104,chi2,0.620470874495959,0.9607619676031726,0.0,248,5,,
楽園,Sister Quest,248,dd_bin,plus,chi2,1.1323598268421382,0.8891045598905086,0.0,248,5,,
楽園,Sister Quest,248,is_x_day,diff,kruskal,1.5651558480107803,0.21091189893497903,0.0022973814959787817,248,2,0.0,
楽園,Sister Quest,248,is_x_day,hit104,chi2,0.01972120348060201,0.8883185160816668,0.0,248,2,,
楽園,Sister Quest,248,is_x_day,plus,chi2,0.24906053255128174,0.6177373635017829,0.0,248,2,,
楽園,ToLOVEるダークネス,1296,day_of_week,diff,kruskal,5.740458250308407,0.4528830384919804,0.0,1296,7,0.0,
楽園,ToLOVEるダークネス,1296,day_of_week,hit104,chi2,5.989968600557119,0.4243147464126632,0.0,1296,7,,
楽園,ToLOVEるダークネス,1296,day_of_week,plus,chi2,5.179008201706074,0.5210676950232149,0.0,1296,7,,
楽園,ToLOVEるダークネス,1296,dd,diff,kruskal,16.826027062646226,0.974602961315809,0.0,1296,31,0.0,
楽園,ToLOVEるダークネス,1296,dd,hit104,chi2,18.66360815147815,0.9467725837921537,0.0,1296,31,,
楽園,ToLOVEるダークネス,1296,dd,plus,chi2,18.389156997578457,0.9518865306175405,0.0,1296,31,,
楽園,ToLOVEるダークネス,1296,dd_bin,diff,kruskal,0.4707558945132104,0.9762847394992414,0.0,1296,5,0.0,
楽園,ToLOVEるダークネス,1296,dd_bin,hit104,chi2,1.0138887347958865,0.9076827419626999,0.0,1296,5,,
楽園,ToLOVEるダークネス,1296,dd_bin,plus,chi2,0.4827197513332258,0.9751612636628848,0.0,1296,5,,
楽園,ToLOVEるダークネス,1296,is_x_day,diff,kruskal,0.4618004721341686,0.4967837201682471,0.0,1296,2,0.0,
楽園,ToLOVEるダークネス,1296,is_x_day,hit104,chi2,0.0007222168043578251,0.9785601578854835,0.0,1296,2,,
楽園,ToLOVEるダークネス,1296,is_x_day,plus,chi2,0.2546411475441065,0.6138258968301358,0.0,1296,2,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,day_of_week,diff,kruskal,2.54636939602517,0.8632425239958252,0.0,653,7,0.0,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,day_of_week,hit104,chi2,6.5678607328241245,0.36266392317718094,0.029271827182064312,653,7,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,day_of_week,plus,chi2,7.476488292411529,0.27901771700885303,0.04743884164223117,653,7,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd,diff,kruskal,30.788617004294178,0.4258515830828959,0.0012678729972575207,653,31,0.0,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd,hit104,chi2,29.055399090743034,0.5146877546644832,0.0,653,31,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd,plus,chi2,31.1228765195731,0.40938423925423306,0.040640326892969564,653,31,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd_bin,diff,kruskal,2.1521964422787425,0.7077899258151359,0.0,653,5,0.0,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd_bin,hit104,chi2,3.5837677544478708,0.4652560943584376,0.0,653,5,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,dd_bin,plus,chi2,3.0228000826482884,0.5540171376667518,0.0,653,5,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,is_x_day,diff,kruskal,0.34485116726114906,0.5570423314900046,0.0,653,2,0.0,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,is_x_day,hit104,chi2,0.055732523023405145,0.8133726364336915,0.0,653,2,,
楽園,ToLOVEるダークネス TRANCE ver.8.7,653,is_x_day,plus,chi2,0.00033683432779390806,0.9853572093309572,0.0,653,2,,
楽園,ありふれた職業で世界最強,722,day_of_week,diff,kruskal,6.199491211847717,0.40121821630230436,0.00027900868789890523,722,7,0.0,
楽園,ありふれた職業で世界最強,722,day_of_week,hit104,chi2,7.9569491457778225,0.24127432431636422,0.05198729065558241,722,7,,
楽園,ありふれた職業で世界最強,722,day_of_week,plus,chi2,7.364017001762156,0.288490455207829,0.043362450669883694,722,7,,
楽園,ありふれた職業で世界最強,722,dd,diff,kruskal,28.825998724295058,0.5267507023697412,0.0,722,31,0.0,
楽園,ありふれた職業で世界最強,722,dd,hit104,chi2,20.913967198383546,0.8905587734766135,0.0,722,31,,
楽園,ありふれた職業で世界最強,722,dd,plus,chi2,24.74961756237575,0.7371062631391626,0.0,722,31,,
楽園,ありふれた職業で世界最強,722,dd_bin,diff,kruskal,5.126642492929889,0.27454826571257857,0.0015713284420221607,722,5,0.0,
楽園,ありふれた職業で世界最強,722,dd_bin,hit104,chi2,1.0595500032906546,0.9006357872331402,0.0,722,5,,
楽園,ありふれた職業で世界最強,722,dd_bin,plus,chi2,2.061422204908776,0.7244626481023422,0.0,722,5,,
