hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
楽園,SLOTドルアーガの塔,379,dd,plus,chi2,42.01524425195579,0.07135894439581225,0.17769811738532318,379,31,,warning: 27.4% of expected cells are below 5
楽園,転生したら剣でした,378,dd,hit104,chi2,40.390552748686716,0.09751883947990522,0.16537915362449762,378,31,,warning: 51.6% of expected cells are below 5
楽園,沖ドキ!DUO アンコール,546,dd,hit104,chi2,42.91062134217158,0.059667000910238535,0.15358480161739274,546,31,,warning: 30.6% of expected cells are below 5
楽園,プリズムナナ,404,day_of_week,plus,chi2,15.338821542192784,0.01777897228491391,0.15210671628710679,404,7,,
楽園,盾の勇者の成り上がり,850,dd,plus,chi2,49.61874083693061,0.013582002538161539,0.1518764931121212,850,31,,
楽園,転生したら剣でした,378,dd,plus,chi2,38.39361562040271,0.13990297706423185,0.1485035747895943,378,31,,warning: 48.4% of expected cells are below 5
楽園,ガールズ&パンツァー 最終章,621,dd_bin,plus,chi2,16.847261698967962,0.0020695783364323254,0.1439132999018941,621,5,,
楽園,攻殻機動隊,358,dd,plus,chi2,37.16720857626829,0.172320990827805,0.1408580203758741,358,31,,warning: 51.6% of expected cells are below 5
楽園,転生したら剣でした,378,is_x_day,hit104,chi2,8.409286602176373,0.0037330912115298527,0.1401655538258879,378,2,,
楽園,とある科学の超電磁砲2,926,dd,plus,chi2,47.595823994147146,0.021745597715136553,0.13779503811218075,926,31,,
楽園,プリズムナナ,404,day_of_week,hit104,chi2,13.52634658989975,0.03539865672920419,0.13652460946660985,404,7,,
楽園,真打 吉宗,271,dd_bin,hit104,chi2,8.978849943909589,0.061630311299898544,0.13559339030909862,271,5,,
楽園,ガールズ&パンツァー 最終章,621,dd_bin,hit104,chi2,15.326877334475137,0.004069126390086605,0.13512512225083054,621,5,,
楽園,ゴブリンスレイヤーII,256,is_x_day,plus,chi2,5.360683760683761,0.0205956969507885,0.13071191485105665,256,2,,
楽園,沖ドキ!DUO アンコール,546,dd,plus,chi2,38.86600720577202,0.12875896235573392,0.12714934510361608,546,31,,warning: 27.4% of expected cells are below 5
楽園,アズールレーン THE ANIMATION,787,dd,hit104,chi2,42.44535627314267,0.06551996131277898,0.12563937455759477,787,31,,
楽園,真打 吉宗,271,dd,plus,chi2,34.27113943028485,0.27012295130581604,0.12412785202149401,271,31,,warning: 59.7% of expected cells are below 5
楽園,頭文字D,843,dd,plus,chi2,42.79676774102848,0.06105621117214107,0.12310876313992317,843,31,,
楽園,モンスターハンターワールド:アイスボーン,700,dd,plus,chi2,40.46023463798247,0.09625363750516852,0.12207866728817038,700,31,,
楽園,武装神姫,289,dd_bin,hit104,chi2,8.162405374130977,0.08580699885542363,0.12001976836183592,289,5,,
楽園,ガールズ&パンツァー 最終章,621,dd,plus,chi2,38.845569683656386,0.12922618398246116,0.11911776141519902,621,31,,
楽園,魔法少女育成計画,380,day_of_week,hit104,chi2,11.098166023764032,0.08538946355786327,0.11580132963960409,380,7,,
楽園,デビル メイ クライ 5,399,dd_bin,plus,chi2,9.07343484832273,0.059289940682470316,0.11279251822046893,399,5,,
楽園,スマスロ サンダーV,525,dd,hit104,chi2,36.62460180097403,0.18833499397976525,0.11195157938817822,525,31,,
楽園,とある科学の超電磁砲2,926,dd,hit104,chi2,41.370455300288924,0.08093256831900174,0.11071285537325054,926,31,,
楽園,ゴブリンスレイヤーII,256,is_x_day,hit104,chi2,4.005144485144485,0.045361609042812244,0.10848816818355984,256,2,,
楽園,マッピー,1071,dd,plus,chi2,42.47080695238784,0.06518758412719275,0.10783675979810328,1071,31,,
楽園,幼女戦記,384,dd,plus,chi2,34.42752260575678,0.2640650279314277,0.10656300644621422,384,31,,warning: 38.7% of expected cells are below 5
楽園,転生したら剣でした,378,day_of_week,hit104,chi2,10.282896752007138,0.1132331002293762,0.10638765577696883,378,7,,
楽園,転生したら剣でした,378,is_x_day,plus,chi2,5.26035094776512,0.021816619125339335,0.10627186477675585,378,2,,
