hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
蒲田1,ミリオンゴッド‐神々の軌跡‐,333,dd,plus,chi2,50.229737903225804,0.008530338018409307,0.25235386037129914,333,30,,warning: 50.0% of expected cells are below 5
蒲田1,ディスクアップ ULTRAREMIX,222,dd,hit104,chi2,43.689560846560845,0.05087163167557474,0.24765042281893765,222,31,,warning: 74.2% of expected cells are below 5
蒲田1,ミリオンゴッド‐神々の軌跡‐,333,dd,hit104,chi2,47.79412112736661,0.015436941187900014,0.23737356461606135,333,30,,warning: 50.0% of expected cells are below 5
蒲田1,甲鉄城のカバネリ,1623,dd,plus,chi2,75.78450198130642,7.830644986610399e-06,0.16797558629464268,1623,31,,
蒲田1,ディスクアップ ULTRAREMIX,222,dd,plus,chi2,36.31378764644544,0.1979828116337112,0.16719901079547,222,31,,warning: 93.5% of expected cells are below 5
蒲田1,うみねこのなく頃に2,290,dd,hit104,chi2,37.63247317265762,0.1594156740517249,0.16140341564722732,290,31,,warning: 58.1% of expected cells are below 5
蒲田1,SHAKE BONUS TRIGGER,322,dd,hit104,chi2,38.01858511807653,0.14927294240243277,0.15712768472207445,322,31,,warning: 51.6% of expected cells are below 5
蒲田1,攻殻機動隊,355,day_of_week,plus,chi2,14.607701487265853,0.023537486956918364,0.15578143540160722,355,7,,
蒲田1,HEY！エリートサラリーマン鏡,413,dd,plus,chi2,39.63365301409655,0.11215693062324127,0.15233533052427362,413,31,,warning: 22.6% of expected cells are below 5
蒲田1,アズールレーン THE ANIMATION,840,dd,hit104,chi2,49.18532960274589,0.015047867545387287,0.15107718095374992,840,31,,
蒲田1,スマスロ炎炎ノ消防隊2,581,dd,hit104,chi2,42.89636062303543,0.05983950737227696,0.14881529090329743,581,31,,
蒲田1,スマスロ炎炎ノ消防隊2,581,dd,plus,chi2,42.75372737979243,0.06158854837574485,0.1479867247110243,581,31,,
蒲田1,押忍!番長ZERO,780,dd,hit104,chi2,45.50101868360188,0.03464959441795089,0.14088721830995027,780,31,,
蒲田1,戦国†恋姫,253,dd_bin,hit104,chi2,8.47465947308376,0.07565906934376986,0.13301832835584654,253,5,,
蒲田1,戦国†恋姫,253,dd,plus,chi2,34.57405007440476,0.25846854756188775,0.13296187258666664,253,31,,warning: 98.4% of expected cells are below 5
蒲田1,SHAKE BONUS TRIGGER,322,day_of_week,hit104,chi2,11.654397815497473,0.07013805820765126,0.1325024060331284,322,7,,
蒲田1,スマスロ北斗の拳,9628,dd,plus,chi2,185.07614119932776,2.9484117897893912e-24,0.12691783224505968,9628,31,,
蒲田1,東京リベンジャーズ,1990,dd,plus,chi2,61.514071630337405,0.0006013304573681099,0.125843552143018,1990,31,,
蒲田1,甲鉄城のカバネリ,1623,dd,hit104,chi2,55.612927980851026,0.0030237272313298905,0.12561670809257283,1623,31,,
蒲田1,HEY！エリートサラリーマン鏡,413,dd,hit104,chi2,36.562821255966,0.1902249888532517,0.12550909877173275,413,31,,warning: 25.8% of expected cells are below 5
蒲田1,SHAKE BONUS TRIGGER,322,dd,plus,chi2,35.01566646860764,0.24207083514474576,0.12383106136492616,322,31,,warning: 51.6% of expected cells are below 5
蒲田1,SHAKE BONUS TRIGGER,322,dd_bin,hit104,chi2,8.921111847467827,0.06310184177759497,0.12366040356520937,322,5,,
蒲田1,真打 吉宗,216,is_x_day,hit104,chi2,4.114432915921288,0.04251877758827623,0.1202680925706495,216,2,,
蒲田1,アズールレーン THE ANIMATION,840,dd,plus,chi2,42.09778980831854,0.07020536501145476,0.11990287135147945,840,31,,
蒲田1,真打 吉宗,216,day_of_week,hit104,chi2,9.02640429338104,0.1720985487418606,0.11809657430547564,216,7,,
蒲田1,HEY！エリートサラリーマン鏡,413,day_of_week,plus,chi2,11.682675463807694,0.06943406753145377,0.11729294656503646,413,7,,
蒲田1,HEY！エリートサラリーマン鏡,413,day_of_week,hit104,chi2,11.554531436295404,0.0726772105459475,0.11595949417173192,413,7,,
蒲田1,スマスロ北斗の拳,9628,dd,hit104,chi2,152.98474928776238,1.9784430390191962e-18,0.11302503345869302,9628,31,,
蒲田1,ソードアート・オンライン,1109,dd,hit104,chi2,42.99252510026939,0.05868448466694454,0.10817429715116571,1109,31,,
蒲田1,真打 吉宗,216,is_x_day,plus,chi2,3.433834645354644,0.06387363234351119,0.106295683147443,216,2,,
