hall,machine_name,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
蒲田7,SHAKE BONUS TRIGGER,721,day_of_week,diff,kruskal,24.378275333751812,0.00044485353412044784,0.025739881419820466,721,7,0.0,
蒲田7,SHAKE BONUS TRIGGER,721,day_of_week,hit104,chi2,13.85606734651977,0.03128595375457706,0.10440139653966583,721,7,,
蒲田7,SHAKE BONUS TRIGGER,721,day_of_week,plus,chi2,21.211697593031268,0.0016806394977770668,0.1453128501775081,721,7,,
蒲田7,SHAKE BONUS TRIGGER,721,dd,diff,kruskal,38.43673092944575,0.13885569472864295,0.012227146274559059,721,31,0.0,
蒲田7,SHAKE BONUS TRIGGER,721,dd,hit104,chi2,36.069750760759796,0.20580258263842133,0.09150057469737703,721,31,,
蒲田7,SHAKE BONUS TRIGGER,721,dd,plus,chi2,29.20144603413894,0.5070333944609946,0.0,721,31,,
蒲田7,SHAKE BONUS TRIGGER,721,dd_bin,diff,kruskal,16.075094260730477,0.0029200360177977416,0.016864656788729716,721,5,0.0,
蒲田7,SHAKE BONUS TRIGGER,721,dd_bin,hit104,chi2,14.55482478893203,0.0057194536856312395,0.12104458305773078,721,5,,
蒲田7,SHAKE BONUS TRIGGER,721,dd_bin,plus,chi2,14.210140609219929,0.006653711396680507,0.11905067045912807,721,5,,
蒲田7,SHAKE BONUS TRIGGER,721,is_x_day,diff,kruskal,0.02969717112655929,0.8631791446838455,0.0,721,2,0.0,
蒲田7,SHAKE BONUS TRIGGER,721,is_x_day,hit104,chi2,0.21986110999512132,0.6391457659597146,0.0,721,2,,
蒲田7,SHAKE BONUS TRIGGER,721,is_x_day,plus,chi2,0.17550558825550217,0.6752644622152297,0.0,721,2,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,day_of_week,diff,kruskal,7.765752541051245,0.25577213387402764,0.0006197797616887485,2856,7,0.0,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,day_of_week,hit104,chi2,3.8585597159170186,0.6958101581785185,0.0,2856,7,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,day_of_week,plus,chi2,5.633162454011842,0.465510519835341,0.0,2856,7,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,dd,diff,kruskal,45.52239283702525,0.03448926503152211,0.005494652331690354,2856,31,0.0,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,dd,hit104,chi2,25.71870904807747,0.6894083025721237,0.0,2856,31,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,dd,plus,chi2,33.600135242549854,0.297099371311731,0.035458605658521804,2856,31,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,dd_bin,diff,kruskal,8.11924449735034,0.08730649479954378,0.001444841984338948,2856,5,0.0,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,dd_bin,hit104,chi2,5.841456233357136,0.21130541321323235,0.02538705910473885,2856,5,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,dd_bin,plus,chi2,7.280369968075704,0.12179320038343715,0.03388953580864726,2856,5,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,is_x_day,diff,kruskal,0.9562990716840575,0.3281210887500712,0.0,2856,2,0.0,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,is_x_day,hit104,chi2,0.1506009703258335,0.6979617098755944,0.0,2856,2,,
蒲田7,ToLOVEるダークネス TRANCE ver.8.7,2856,is_x_day,plus,chi2,0.8246549407148158,0.3638226764203816,0.0,2856,2,,
蒲田7,いざ！番長,3427,day_of_week,diff,kruskal,28.427450305441706,7.804966455848494e-05,0.006557734007439095,3427,7,0.0,
蒲田7,いざ！番長,3427,day_of_week,hit104,chi2,8.326052146719729,0.21517572858244358,0.026046688015648196,3427,7,,
蒲田7,いざ！番長,3427,day_of_week,plus,chi2,12.024576276694889,0.06142277828855542,0.04192822334100105,3427,7,,
蒲田7,いざ！番長,3427,dd,diff,kruskal,26.724609453510517,0.6376921186607257,0.0,3427,31,0.0,
蒲田7,いざ！番長,3427,dd,hit104,chi2,32.04452833629227,0.3654593145813279,0.02437647381931226,3427,31,,
蒲田7,いざ！番長,3427,dd,plus,chi2,38.346430398955725,0.14105614422484705,0.04933200762804145,3427,31,,
蒲田7,いざ！番長,3427,dd_bin,diff,kruskal,0.46925263839315196,0.9764243810242572,0.0,3427,5,0.0,
