hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,月,0,102,-137.2549019607843,32.35294117647059,19.607843137254903
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,火,1,102,138.23529411764707,42.15686274509804,33.33333333333333
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,水,2,105,-195.23809523809524,36.19047619047619,26.666666666666668
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,木,3,104,122.11538461538461,47.11538461538461,34.61538461538461
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,金,4,102,-45.09803921568628,39.21568627450981,26.47058823529412
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,土,5,104,-488.46153846153845,26.923076923076923,18.269230769230766
蒲田7,SHAKE BONUS TRIGGER,day_of_week,plus,日,6,102,340.19607843137254,53.92156862745098,33.33333333333333
蒲田7,SHAKE BONUS TRIGGER,dd_bin,hit104,1-7,0,166,-10.843373493975903,43.97590361445783,28.313253012048197
蒲田7,SHAKE BONUS TRIGGER,dd_bin,hit104,8-14,1,152,-70.39473684210526,37.5,25.657894736842106
蒲田7,SHAKE BONUS TRIGGER,dd_bin,hit104,15-21,2,165,-329.09090909090907,28.484848484848484,18.181818181818183
蒲田7,SHAKE BONUS TRIGGER,dd_bin,hit104,22-28,3,182,255.4945054945055,46.7032967032967,36.26373626373626
蒲田7,SHAKE BONUS TRIGGER,dd_bin,hit104,29-31,4,56,-144.64285714285714,42.857142857142854,28.57142857142857
蒲田7,この素晴らしい世界に祝福を！,dd,plus,1,1,28,57.142857142857146,46.42857142857143,32.142857142857146
蒲田7,この素晴らしい世界に祝福を！,dd,plus,2,2,26,334.61538461538464,61.53846153846154,50.0
蒲田7,この素晴らしい世界に祝福を！,dd,plus,3,3,27,7.407407407407407,40.74074074074074,33.33333333333333
蒲田7,この素晴らしい世界に祝福を！,dd,plus,4,4,26,407.6923076923077,42.30769230769231,34.61538461538461
蒲田7,この素晴らしい世界に祝福を！,dd,plus,5,5,25,380.0,48.0,44.0
蒲田7,この素晴らしい世界に祝福を！,dd,plus,6,6,26,673.0769230769231,61.53846153846154,61.53846153846154
蒲田7,この素晴らしい世界に祝福を！,dd,plus,7,7,29,617.2413793103449,48.275862068965516,41.37931034482759
蒲田7,この素晴らしい世界に祝福を！,dd,plus,8,8,29,500.0,37.93103448275862,31.03448275862069
蒲田7,この素晴らしい世界に祝福を！,dd,plus,9,9,30,63.333333333333336,50.0,43.333333333333336
蒲田7,この素晴らしい世界に祝福を！,dd,plus,10,10,31,6.451612903225806,35.483870967741936,25.806451612903224
蒲田7,この素晴らしい世界に祝福を！,dd,plus,11,11,30,1260.0,70.0,60.0
蒲田7,この素晴らしい世界に祝福を！,dd,plus,12,12,26,765.3846153846154,69.23076923076923,46.15384615384615
蒲田7,この素晴らしい世界に祝福を！,dd,plus,13,13,29,817.2413793103449,44.827586206896555,44.827586206896555
蒲田7,この素晴らしい世界に祝福を！,dd,plus,14,14,30,60.0,36.666666666666664,33.33333333333333
蒲田7,この素晴らしい世界に祝福を！,dd,plus,15,15,30,890.0,63.33333333333333,56.666666666666664
蒲田7,この素晴らしい世界に祝福を！,dd,plus,16,16,28,450.0,53.57142857142857,39.285714285714285
蒲田7,この素晴らしい世界に祝福を！,dd,plus,17,17,30,716.6666666666666,63.33333333333333,53.333333333333336
蒲田7,この素晴らしい世界に祝福を！,dd,plus,18,18,28,89.28571428571429,50.0,46.42857142857143
蒲田7,この素晴らしい世界に祝福を！,dd,plus,19,19,30,-73.33333333333333,33.33333333333333,30.0
蒲田7,この素晴らしい世界に祝福を！,dd,plus,20,20,30,390.0,60.0,50.0
蒲田7,この素晴らしい世界に祝福を！,dd,plus,21,21,30,-416.6666666666667,40.0,26.666666666666668
蒲田7,この素晴らしい世界に祝福を！,dd,plus,22,22,28,-150.0,25.0,21.428571428571427
蒲田7,この素晴らしい世界に祝福を！,dd,plus,23,23,28,832.1428571428571,57.14285714285714,42.857142857142854
蒲田7,この素晴らしい世界に祝福を！,dd,plus,24,24,28,-46.42857142857143,46.42857142857143,28.57142857142857
蒲田7,この素晴らしい世界に祝福を！,dd,plus,25,25,27,296.2962962962963,51.85185185185185,44.44444444444444
蒲田7,この素晴らしい世界に祝福を！,dd,plus,26,26,27,-25.925925925925927,40.74074074074074,29.629629629629626
蒲田7,この素晴らしい世界に祝福を！,dd,plus,27,27,28,-264.2857142857143,28.57142857142857,21.428571428571427
蒲田7,この素晴らしい世界に祝福を！,dd,plus,28,28,26,615.3846153846154,42.30769230769231,42.30769230769231
蒲田7,この素晴らしい世界に祝福を！,dd,plus,29,29,26,80.76923076923077,42.30769230769231,34.61538461538461
蒲田7,この素晴らしい世界に祝福を！,dd,plus,30,30,26,188.46153846153845,38.46153846153847,30.76923076923077
蒲田7,この素晴らしい世界に祝福を！,dd,plus,31,31,14,835.7142857142857,57.14285714285714,42.857142857142854
蒲田7,ガールズ&パンツァー 最終章,dd,plus,1,1,35,402.85714285714283,51.42857142857142,45.714285714285715
蒲田7,ガールズ&パンツァー 最終章,dd,plus,2,2,30,-266.6666666666667,36.666666666666664,26.666666666666668
蒲田7,ガールズ&パンツァー 最終章,dd,plus,3,3,31,-658.0645161290323,29.03225806451613,29.03225806451613
蒲田7,ガールズ&パンツァー 最終章,dd,plus,4,4,31,638.7096774193549,45.16129032258064,41.935483870967744
蒲田7,ガールズ&パンツァー 最終章,dd,plus,5,5,32,-178.125,34.375,34.375
蒲田7,ガールズ&パンツァー 最終章,dd,plus,6,6,29,634.4827586206897,44.827586206896555,37.93103448275862
蒲田7,ガールズ&パンツァー 最終章,dd,plus,7,7,33,1275.7575757575758,60.60606060606061,54.54545454545454
蒲田7,ガールズ&パンツァー 最終章,dd,plus,8,8,32,56.25,34.375,34.375
蒲田7,ガールズ&パンツァー 最終章,dd,plus,9,9,30,833.3333333333334,50.0,50.0
蒲田7,ガールズ&パンツァー 最終章,dd,plus,10,10,33,1230.3030303030303,48.484848484848484,36.36363636363637
蒲田7,ガールズ&パンツァー 最終章,dd,plus,11,11,35,391.42857142857144,37.142857142857146,37.142857142857146
蒲田7,ガールズ&パンツァー 最終章,dd,plus,12,12,30,-113.33333333333333,36.666666666666664,33.33333333333333
蒲田7,ガールズ&パンツァー 最終章,dd,plus,13,13,35,191.42857142857142,22.857142857142858,22.857142857142858
蒲田7,ガールズ&パンツァー 最終章,dd,plus,14,14,34,-41.1764705882353,41.17647058823529,38.23529411764706
蒲田7,ガールズ&パンツァー 最終章,dd,plus,15,15,35,377.14285714285717,51.42857142857142,40.0
蒲田7,ガールズ&パンツァー 最終章,dd,plus,16,16,33,106.06060606060606,45.45454545454545,42.42424242424242
蒲田7,ガールズ&パンツァー 最終章,dd,plus,17,17,35,-314.2857142857143,45.714285714285715,42.857142857142854
蒲田7,ガールズ&パンツァー 最終章,dd,plus,18,18,29,68.96551724137932,37.93103448275862,31.03448275862069
蒲田7,ガールズ&パンツァー 最終章,dd,plus,19,19,33,269.6969696969697,39.39393939393939,39.39393939393939
蒲田7,ガールズ&パンツァー 最終章,dd,plus,20,20,35,814.2857142857143,57.14285714285714,51.42857142857142
蒲田7,ガールズ&パンツァー 最終章,dd,plus,21,21,35,-342.85714285714283,31.428571428571427,25.71428571428571
蒲田7,ガールズ&パンツァー 最終章,dd,plus,22,22,34,-129.41176470588235,32.35294117647059,29.411764705882355
蒲田7,ガールズ&パンツァー 最終章,dd,plus,23,23,32,409.375,40.625,37.5
蒲田7,ガールズ&パンツァー 最終章,dd,plus,24,24,34,867.6470588235294,58.82352941176471,47.05882352941176
蒲田7,ガールズ&パンツァー 最終章,dd,plus,25,25,30,-156.66666666666666,30.0,30.0
蒲田7,ガールズ&パンツァー 最終章,dd,plus,26,26,33,257.57575757575756,39.39393939393939,39.39393939393939
蒲田7,ガールズ&パンツァー 最終章,dd,plus,27,27,35,608.5714285714286,48.57142857142857,48.57142857142857
蒲田7,ガールズ&パンツァー 最終章,dd,plus,28,28,34,770.5882352941177,64.70588235294117,50.0
蒲田7,ガールズ&パンツァー 最終章,dd,plus,29,29,31,-235.48387096774192,25.806451612903224,19.35483870967742
蒲田7,ガールズ&パンツァー 最終章,dd,plus,30,30,31,800.0,58.06451612903226,48.38709677419355
蒲田7,ガールズ&パンツァー 最終章,dd,plus,31,31,18,372.22222222222223,55.55555555555556,33.33333333333333
蒲田7,ジャグラーガールズ,dd,plus,1,1,108,415.74074074074076,53.70370370370371,28.703703703703702
蒲田7,ジャグラーガールズ,dd,plus,2,2,98,230.6122448979592,37.755102040816325,29.591836734693878
蒲田7,ジャグラーガールズ,dd,plus,3,3,99,130.3030303030303,40.4040404040404,26.262626262626267
蒲田7,ジャグラーガールズ,dd,plus,4,4,97,26.804123711340207,35.051546391752574,19.587628865979383
蒲田7,ジャグラーガールズ,dd,plus,5,5,98,188.77551020408163,35.714285714285715,26.53061224489796
蒲田7,ジャグラーガールズ,dd,plus,6,6,97,423.7113402061856,44.329896907216494,29.896907216494846
蒲田7,ジャグラーガールズ,dd,plus,7,7,108,613.8888888888889,50.92592592592593,37.03703703703704
蒲田7,ジャグラーガールズ,dd,plus,8,8,107,213.0841121495327,36.44859813084112,29.906542056074763
蒲田7,ジャグラーガールズ,dd,plus,9,9,104,425.96153846153845,48.07692307692308,36.53846153846153
蒲田7,ジャグラーガールズ,dd,plus,10,10,107,399.06542056074767,43.925233644859816,30.8411214953271
蒲田7,ジャグラーガールズ,dd,plus,11,11,108,75.0,42.592592592592595,21.296296296296298
蒲田7,ジャグラーガールズ,dd,plus,12,12,90,-2.2222222222222223,33.33333333333333,20.0
蒲田7,ジャグラーガールズ,dd,plus,13,13,108,43.51851851851852,39.81481481481482,27.77777777777778
蒲田7,ジャグラーガールズ,dd,plus,14,14,106,121.69811320754717,35.84905660377358,24.528301886792452
蒲田7,ジャグラーガールズ,dd,plus,15,15,108,197.22222222222223,47.22222222222222,32.407407407407405
蒲田7,ジャグラーガールズ,dd,plus,16,16,107,248.5981308411215,40.18691588785047,29.906542056074763
蒲田7,ジャグラーガールズ,dd,plus,17,17,108,331.48148148148147,49.074074074074076,30.555555555555557
蒲田7,ジャグラーガールズ,dd,plus,18,18,105,46.666666666666664,32.38095238095238,22.857142857142858
蒲田7,ジャグラーガールズ,dd,plus,19,19,103,594.1747572815534,51.45631067961165,39.80582524271845
蒲田7,ジャグラーガールズ,dd,plus,20,20,106,436.79245283018867,46.22641509433962,31.132075471698112
蒲田7,ジャグラーガールズ,dd,plus,21,21,108,217.59259259259258,38.88888888888889,24.074074074074073
蒲田7,ジャグラーガールズ,dd,plus,22,22,107,242.99065420560748,43.925233644859816,27.102803738317753
蒲田7,ジャグラーガールズ,dd,plus,23,23,103,115.53398058252426,36.89320388349515,26.21359223300971
蒲田7,ジャグラーガールズ,dd,plus,24,24,105,-58.095238095238095,34.285714285714285,20.952380952380953
蒲田7,ジャグラーガールズ,dd,plus,25,25,107,148.5981308411215,37.38317757009346,23.364485981308412
蒲田7,ジャグラーガールズ,dd,plus,26,26,105,168.57142857142858,39.04761904761905,22.857142857142858
蒲田7,ジャグラーガールズ,dd,plus,27,27,108,319.44444444444446,48.148148148148145,32.407407407407405
蒲田7,ジャグラーガールズ,dd,plus,28,28,108,-136.11111111111111,28.703703703703702,14.814814814814813
蒲田7,ジャグラーガールズ,dd,plus,29,29,99,184.84848484848484,38.38383838383838,27.27272727272727
蒲田7,ジャグラーガールズ,dd,plus,30,30,99,854.5454545454545,61.61616161616161,40.4040404040404
蒲田7,ジャグラーガールズ,dd,plus,31,31,54,275.9259259259259,38.88888888888889,22.22222222222222
蒲田7,スマスロ サンダーV,dd,hit104,1,1,16,-468.75,31.25,6.25
蒲田7,スマスロ サンダーV,dd,hit104,2,2,12,-241.66666666666666,33.33333333333333,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,3,3,12,241.66666666666666,41.66666666666667,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,4,4,12,-350.0,33.33333333333333,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,5,5,12,-466.6666666666667,33.33333333333333,8.333333333333332
蒲田7,スマスロ サンダーV,dd,hit104,6,6,12,-208.33333333333334,25.0,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,7,7,12,358.3333333333333,50.0,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,8,8,12,-41.666666666666664,58.333333333333336,25.0
蒲田7,スマスロ サンダーV,dd,hit104,9,9,12,-283.3333333333333,25.0,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,10,10,12,558.3333333333334,58.333333333333336,50.0
蒲田7,スマスロ サンダーV,dd,hit104,11,11,12,550.0,58.333333333333336,33.33333333333333
蒲田7,スマスロ サンダーV,dd,hit104,12,12,8,500.0,75.0,37.5
蒲田7,スマスロ サンダーV,dd,hit104,13,13,12,41.666666666666664,25.0,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,14,14,12,841.6666666666666,58.333333333333336,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,15,15,12,91.66666666666667,50.0,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,16,16,12,58.333333333333336,50.0,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,17,17,12,450.0,58.333333333333336,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,18,18,12,833.3333333333334,66.66666666666666,50.0
蒲田7,スマスロ サンダーV,dd,hit104,19,19,12,525.0,58.333333333333336,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,20,20,12,391.6666666666667,50.0,33.33333333333333
蒲田7,スマスロ サンダーV,dd,hit104,21,21,12,-341.6666666666667,41.66666666666667,25.0
蒲田7,スマスロ サンダーV,dd,hit104,22,22,12,-600.0,41.66666666666667,25.0
蒲田7,スマスロ サンダーV,dd,hit104,23,23,12,-141.66666666666666,33.33333333333333,8.333333333333332
蒲田7,スマスロ サンダーV,dd,hit104,24,24,12,-491.6666666666667,25.0,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,25,25,12,416.6666666666667,50.0,33.33333333333333
蒲田7,スマスロ サンダーV,dd,hit104,26,26,12,-225.0,41.66666666666667,16.666666666666664
蒲田7,スマスロ サンダーV,dd,hit104,27,27,12,0.0,25.0,25.0
蒲田7,スマスロ サンダーV,dd,hit104,28,28,12,233.33333333333334,41.66666666666667,41.66666666666667
蒲田7,スマスロ サンダーV,dd,hit104,29,29,12,933.3333333333334,83.33333333333334,66.66666666666666
蒲田7,スマスロ サンダーV,dd,hit104,30,30,12,266.6666666666667,50.0,33.33333333333333
蒲田7,スマスロ サンダーV,dd_bin,plus,1-7,0,88,-176.13636363636363,35.22727272727273,20.454545454545457
蒲田7,スマスロ サンダーV,dd_bin,plus,8-14,1,80,300.0,50.0,31.25
蒲田7,スマスロ サンダーV,dd_bin,plus,15-21,2,84,286.9047619047619,53.57142857142857,35.714285714285715
蒲田7,スマスロ サンダーV,dd_bin,plus,22-28,3,84,-115.47619047619048,36.904761904761905,23.809523809523807
蒲田7,スマスロ サンダーV,dd_bin,plus,29-31,4,24,600.0,66.66666666666666,50.0
蒲田7,バイオハザード RE:3,day_of_week,plus,月,0,38,523.6842105263158,34.21052631578947,31.57894736842105
蒲田7,バイオハザード RE:3,day_of_week,plus,火,1,41,136.58536585365854,36.58536585365854,34.146341463414636
蒲田7,バイオハザード RE:3,day_of_week,plus,水,2,62,-243.5483870967742,20.967741935483872,20.967741935483872
蒲田7,バイオハザード RE:3,day_of_week,plus,木,3,37,-248.64864864864865,32.432432432432435,32.432432432432435
蒲田7,バイオハザード RE:3,day_of_week,plus,金,4,26,-73.07692307692308,34.61538461538461,30.76923076923077
蒲田7,バイオハザード RE:3,day_of_week,plus,土,5,48,-522.9166666666666,16.666666666666664,16.666666666666664
蒲田7,バイオハザード RE:3,day_of_week,plus,日,6,48,-39.583333333333336,43.75,39.58333333333333
蒲田7,バイオハザード RE:3,dd,plus,1,1,15,-500.0,6.666666666666667,6.666666666666667
蒲田7,バイオハザード RE:3,dd,plus,10,2,16,550.0,25.0,25.0
蒲田7,バイオハザード RE:3,dd,plus,11,3,16,-331.25,31.25,31.25
蒲田7,バイオハザード RE:3,dd,plus,13,4,16,-2343.75,0.0,0.0
蒲田7,バイオハザード RE:3,dd,plus,14,5,16,-125.0,37.5,31.25
蒲田7,バイオハザード RE:3,dd,plus,15,6,15,-460.0,13.333333333333334,6.666666666666667
蒲田7,バイオハザード RE:3,dd,plus,16,7,13,-323.0769230769231,38.46153846153847,30.76923076923077
蒲田7,バイオハザード RE:3,dd,plus,17,8,16,-700.0,25.0,25.0
蒲田7,バイオハザード RE:3,dd,plus,18,9,12,0.0,33.33333333333333,33.33333333333333
蒲田7,バイオハザード RE:3,dd,plus,19,10,13,-15.384615384615385,23.076923076923077,23.076923076923077
蒲田7,バイオハザード RE:3,dd,plus,20,11,16,-1462.5,0.0,0.0
蒲田7,バイオハザード RE:3,dd,plus,21,12,16,-56.25,50.0,43.75
蒲田7,バイオハザード RE:3,dd,plus,22,13,13,623.0769230769231,46.15384615384615,46.15384615384615
蒲田7,バイオハザード RE:3,dd,plus,23,14,15,266.6666666666667,33.33333333333333,33.33333333333333
蒲田7,バイオハザード RE:3,dd,plus,24,15,15,-346.6666666666667,26.666666666666668,26.666666666666668
蒲田7,バイオハザード RE:3,dd,plus,25,16,9,-433.3333333333333,33.33333333333333,33.33333333333333
蒲田7,バイオハザード RE:3,dd,plus,26,17,13,-130.76923076923077,46.15384615384615,38.46153846153847
蒲田7,バイオハザード RE:3,dd,plus,27,18,16,2237.5,50.0,50.0
蒲田7,バイオハザード RE:3,dd,plus,28,19,16,62.5,43.75,43.75
蒲田7,バイオハザード RE:3,dd,plus,29,20,10,1870.0,50.0,50.0
蒲田7,バイオハザード RE:3,dd,plus,30,21,13,446.15384615384613,38.46153846153847,38.46153846153847
蒲田7,バイオハザード RE:3,dd_bin,hit104,1-7,0,15,-500.0,6.666666666666667,6.666666666666667
蒲田7,バイオハザード RE:3,dd_bin,hit104,8-14,1,64,-562.5,23.4375,21.875
蒲田7,バイオハザード RE:3,dd_bin,hit104,15-21,2,101,-463.36633663366337,25.742574257425744,22.772277227722775
蒲田7,バイオハザード RE:3,dd_bin,hit104,22-28,3,97,392.78350515463916,40.20618556701031,39.175257731958766
蒲田7,バイオハザード RE:3,dd_bin,hit104,29-31,4,23,1065.2173913043478,43.47826086956522,43.47826086956522
蒲田7,バーサスリヴァイズ,day_of_week,hit104,月,0,153,271.24183006535947,46.40522875816993,31.372549019607842
蒲田7,バーサスリヴァイズ,day_of_week,hit104,火,1,153,145.09803921568627,39.869281045751634,28.75816993464052
蒲田7,バーサスリヴァイズ,day_of_week,hit104,水,2,155,482.5806451612903,57.41935483870968,44.516129032258064
蒲田7,バーサスリヴァイズ,day_of_week,hit104,木,3,150,374.0,53.333333333333336,42.0
蒲田7,バーサスリヴァイズ,day_of_week,hit104,金,4,150,222.0,48.0,31.333333333333336
蒲田7,バーサスリヴァイズ,day_of_week,hit104,土,5,153,35.947712418300654,39.869281045751634,22.22222222222222
蒲田7,バーサスリヴァイズ,day_of_week,hit104,日,6,147,521.7687074829932,55.78231292517006,42.857142857142854
蒲田7,ファンキージャグラー2,dd,plus,1,1,287,677.7003484320558,54.35540069686411,37.63066202090592
蒲田7,ファンキージャグラー2,dd,plus,2,2,262,349.23664122137404,43.89312977099237,30.15267175572519
蒲田7,ファンキージャグラー2,dd,plus,3,3,264,97.34848484848484,37.121212121212125,23.863636363636363
蒲田7,ファンキージャグラー2,dd,plus,4,4,262,199.23664122137404,43.51145038167939,26.33587786259542
蒲田7,ファンキージャグラー2,dd,plus,5,5,264,85.60606060606061,37.878787878787875,23.106060606060606
蒲田7,ファンキージャグラー2,dd,plus,6,6,256,223.4375,46.484375,26.953125
蒲田7,ファンキージャグラー2,dd,plus,7,7,288,448.2638888888889,47.56944444444444,30.90277777777778
蒲田7,ファンキージャグラー2,dd,plus,8,8,280,270.0,43.214285714285715,31.785714285714285
蒲田7,ファンキージャグラー2,dd,plus,9,9,287,696.5156794425087,51.21951219512195,40.41811846689895
蒲田7,ファンキージャグラー2,dd,plus,10,10,285,188.0701754385965,41.05263157894737,28.771929824561404
蒲田7,ファンキージャグラー2,dd,plus,11,11,288,115.27777777777777,41.31944444444444,24.65277777777778
蒲田7,ファンキージャグラー2,dd,plus,12,12,238,124.78991596638656,38.23529411764706,24.369747899159663
蒲田7,ファンキージャグラー2,dd,plus,13,13,286,118.18181818181819,39.16083916083916,27.27272727272727
蒲田7,ファンキージャグラー2,dd,plus,14,14,285,982.1052631578947,57.89473684210527,43.859649122807014
蒲田7,ファンキージャグラー2,dd,plus,15,15,284,351.76056338028167,38.38028169014084,28.52112676056338
蒲田7,ファンキージャグラー2,dd,plus,16,16,279,158.06451612903226,41.57706093189964,27.24014336917563
蒲田7,ファンキージャグラー2,dd,plus,17,17,287,431.7073170731707,47.038327526132406,30.313588850174217
蒲田7,ファンキージャグラー2,dd,plus,18,18,281,2.491103202846975,33.096085409252666,18.505338078291814
蒲田7,ファンキージャグラー2,dd,plus,19,19,283,93.63957597173145,36.042402826855124,24.73498233215548
蒲田7,ファンキージャグラー2,dd,plus,20,20,285,125.26315789473684,36.49122807017544,25.263157894736842
蒲田7,ファンキージャグラー2,dd,plus,21,21,286,172.37762237762237,43.35664335664335,26.223776223776223
蒲田7,ファンキージャグラー2,dd,plus,22,22,286,469.2307692307692,49.3006993006993,32.16783216783217
蒲田7,ファンキージャグラー2,dd,plus,23,23,282,210.2836879432624,43.97163120567376,27.659574468085108
蒲田7,ファンキージャグラー2,dd,plus,24,24,286,157.69230769230768,38.111888111888106,25.874125874125873
蒲田7,ファンキージャグラー2,dd,plus,25,25,285,41.75438596491228,35.78947368421053,21.052631578947366
蒲田7,ファンキージャグラー2,dd,plus,26,26,285,67.71929824561404,36.84210526315789,24.561403508771928
蒲田7,ファンキージャグラー2,dd,plus,27,27,287,293.0313588850174,49.12891986062718,28.222996515679444
蒲田7,ファンキージャグラー2,dd,plus,28,28,286,147.2027972027972,40.20979020979021,26.923076923076923
蒲田7,ファンキージャグラー2,dd,plus,29,29,263,94.67680608365019,38.02281368821293,23.954372623574145
蒲田7,ファンキージャグラー2,dd,plus,30,30,264,564.7727272727273,55.68181818181818,32.95454545454545
蒲田7,ファンキージャグラー2,dd,plus,31,31,140,170.0,40.0,28.57142857142857
蒲田7,プリズムナナ,day_of_week,plus,月,0,69,-501.4492753623188,23.18840579710145,21.73913043478261
蒲田7,プリズムナナ,day_of_week,plus,火,1,71,-263.38028169014086,36.61971830985916,32.3943661971831
蒲田7,プリズムナナ,day_of_week,plus,水,2,69,475.3623188405797,37.68115942028986,34.78260869565217
蒲田7,プリズムナナ,day_of_week,plus,木,3,72,62.5,25.0,22.22222222222222
蒲田7,プリズムナナ,day_of_week,plus,金,4,69,91.30434782608695,26.08695652173913,20.28985507246377
蒲田7,プリズムナナ,day_of_week,plus,土,5,72,-430.55555555555554,30.555555555555557,26.38888888888889
蒲田7,プリズムナナ,day_of_week,plus,日,6,69,37.68115942028985,44.927536231884055,40.57971014492754
蒲田7,マジカルハロウィン8,dd_bin,plus,1-7,0,77,501.2987012987013,64.93506493506493,44.15584415584416
蒲田7,マジカルハロウィン8,dd_bin,plus,8-14,1,80,411.25,56.25,41.25
蒲田7,マジカルハロウィン8,dd_bin,plus,15-21,2,82,326.8292682926829,52.4390243902439,35.36585365853659
蒲田7,マジカルハロウィン8,dd_bin,plus,22-28,3,79,325.3164556962025,51.89873417721519,34.177215189873415
蒲田7,マジカルハロウィン8,dd_bin,plus,29-31,4,28,132.14285714285714,35.714285714285715,32.142857142857146
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,1,1,50,-562.0,24.0,22.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,2,2,25,-928.0,40.0,20.0
蒲田7,ミリオンゴッド‐神々の軌跡‐,dd,plus,3,3,25,404.0,28.000000000000004,24.0
