hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
金時,SHAKE BONUS TRIGGER,dd,hit104,1,1,8,-493.75,25.0,12.5
金時,SHAKE BONUS TRIGGER,dd,hit104,2,2,7,1301.2857142857142,85.71428571428571,85.71428571428571
金時,SHAKE BONUS TRIGGER,dd,hit104,3,3,7,-625.4285714285714,28.57142857142857,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,4,4,7,-559.0,28.57142857142857,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,5,5,7,355.42857142857144,42.857142857142854,42.857142857142854
金時,SHAKE BONUS TRIGGER,dd,hit104,6,6,7,1170.5714285714287,71.42857142857143,71.42857142857143
金時,SHAKE BONUS TRIGGER,dd,hit104,7,7,7,-665.4285714285714,14.285714285714285,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,8,8,7,-57.57142857142857,42.857142857142854,28.57142857142857
金時,SHAKE BONUS TRIGGER,dd,hit104,9,9,7,-16.428571428571427,42.857142857142854,28.57142857142857
金時,SHAKE BONUS TRIGGER,dd,hit104,10,10,7,79.14285714285714,57.14285714285714,42.857142857142854
金時,SHAKE BONUS TRIGGER,dd,hit104,11,11,7,229.28571428571428,57.14285714285714,42.857142857142854
金時,SHAKE BONUS TRIGGER,dd,hit104,12,12,6,34.0,66.66666666666666,50.0
金時,SHAKE BONUS TRIGGER,dd,hit104,13,13,7,-320.7142857142857,14.285714285714285,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,14,14,7,-99.0,42.857142857142854,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,15,15,7,-1011.4285714285714,14.285714285714285,0.0
金時,SHAKE BONUS TRIGGER,dd,hit104,16,16,7,-434.2857142857143,14.285714285714285,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,17,17,7,-580.5714285714286,28.57142857142857,28.57142857142857
金時,SHAKE BONUS TRIGGER,dd,hit104,18,18,7,-12.285714285714286,57.14285714285714,57.14285714285714
金時,SHAKE BONUS TRIGGER,dd,hit104,19,19,8,-38.0,37.5,37.5
金時,SHAKE BONUS TRIGGER,dd,hit104,20,20,8,154.375,50.0,37.5
金時,SHAKE BONUS TRIGGER,dd,hit104,21,21,8,552.875,62.5,62.5
金時,SHAKE BONUS TRIGGER,dd,hit104,22,22,8,390.25,50.0,50.0
金時,SHAKE BONUS TRIGGER,dd,hit104,23,23,7,-333.85714285714283,57.14285714285714,28.57142857142857
金時,SHAKE BONUS TRIGGER,dd,hit104,24,24,7,-552.2857142857143,28.57142857142857,28.57142857142857
金時,SHAKE BONUS TRIGGER,dd,hit104,25,25,8,556.0,50.0,37.5
金時,SHAKE BONUS TRIGGER,dd,hit104,26,26,8,-433.25,25.0,25.0
金時,SHAKE BONUS TRIGGER,dd,hit104,27,27,8,-88.625,25.0,25.0
金時,SHAKE BONUS TRIGGER,dd,hit104,28,28,8,500.625,62.5,50.0
金時,SHAKE BONUS TRIGGER,dd,hit104,29,29,7,-1228.4285714285713,0.0,0.0
金時,SHAKE BONUS TRIGGER,dd,hit104,30,30,7,-480.14285714285717,28.57142857142857,14.285714285714285
金時,SHAKE BONUS TRIGGER,dd,hit104,31,31,4,419.0,25.0,25.0
金時,アズールレーン THE ANIMATION,dd,hit104,1,1,9,38.111111111111114,33.33333333333333,22.22222222222222
金時,アズールレーン THE ANIMATION,dd,hit104,2,2,8,-293.5,37.5,37.5
金時,アズールレーン THE ANIMATION,dd,hit104,3,3,9,1406.111111111111,44.44444444444444,44.44444444444444
金時,アズールレーン THE ANIMATION,dd,hit104,4,4,9,-1690.0,11.11111111111111,11.11111111111111
金時,アズールレーン THE ANIMATION,dd,hit104,5,5,10,-707.8,30.0,20.0
金時,アズールレーン THE ANIMATION,dd,hit104,6,6,9,-1034.888888888889,11.11111111111111,11.11111111111111
金時,アズールレーン THE ANIMATION,dd,hit104,7,7,10,-867.1,20.0,20.0
金時,アズールレーン THE ANIMATION,dd,hit104,8,8,9,509.0,33.33333333333333,33.33333333333333
金時,アズールレーン THE ANIMATION,dd,hit104,9,9,10,977.6,30.0,30.0
金時,アズールレーン THE ANIMATION,dd,hit104,10,10,9,-165.77777777777777,33.33333333333333,22.22222222222222
金時,アズールレーン THE ANIMATION,dd,hit104,11,11,9,471.22222222222223,44.44444444444444,44.44444444444444
金時,アズールレーン THE ANIMATION,dd,hit104,12,12,9,38.888888888888886,33.33333333333333,33.33333333333333
金時,アズールレーン THE ANIMATION,dd,hit104,13,13,8,1696.375,50.0,37.5
金時,アズールレーン THE ANIMATION,dd,hit104,14,14,10,1133.5,40.0,40.0
金時,アズールレーン THE ANIMATION,dd,hit104,15,15,10,2085.5,50.0,50.0
金時,アズールレーン THE ANIMATION,dd,hit104,16,16,9,-1709.6666666666667,11.11111111111111,0.0
金時,アズールレーン THE ANIMATION,dd,hit104,17,17,8,-2092.875,0.0,0.0
金時,アズールレーン THE ANIMATION,dd,hit104,18,18,9,1136.5555555555557,55.55555555555556,55.55555555555556
金時,アズールレーン THE ANIMATION,dd,hit104,19,19,9,-1327.7777777777778,11.11111111111111,11.11111111111111
金時,アズールレーン THE ANIMATION,dd,hit104,20,20,10,2831.4,70.0,70.0
金時,アズールレーン THE ANIMATION,dd,hit104,21,21,9,-800.7777777777778,33.33333333333333,33.33333333333333
金時,アズールレーン THE ANIMATION,dd,hit104,22,22,9,-319.44444444444446,22.22222222222222,22.22222222222222
金時,アズールレーン THE ANIMATION,dd,hit104,23,23,10,-403.9,30.0,30.0
金時,アズールレーン THE ANIMATION,dd,hit104,24,24,10,-1006.4,10.0,10.0
金時,アズールレーン THE ANIMATION,dd,hit104,25,25,10,-1578.9,10.0,10.0
金時,アズールレーン THE ANIMATION,dd,hit104,26,26,8,-808.625,25.0,25.0
金時,アズールレーン THE ANIMATION,dd,hit104,27,27,9,549.3333333333334,44.44444444444444,44.44444444444444
金時,アズールレーン THE ANIMATION,dd,hit104,28,28,9,-1455.5555555555557,22.22222222222222,11.11111111111111
金時,アズールレーン THE ANIMATION,dd,hit104,29,29,7,-182.42857142857142,28.57142857142857,28.57142857142857
金時,アズールレーン THE ANIMATION,dd,hit104,30,30,9,-62.55555555555556,33.33333333333333,33.33333333333333
金時,アズールレーン THE ANIMATION,dd,hit104,31,31,5,-367.2,20.0,20.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,1,1,14,93.5,42.857142857142854,35.714285714285715
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,2,2,13,371.84615384615387,53.84615384615385,53.84615384615385
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,3,3,12,50.5,50.0,25.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,4,4,13,-314.7692307692308,30.76923076923077,30.76923076923077
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,5,5,14,-243.78571428571428,35.714285714285715,21.428571428571427
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,6,6,14,82.21428571428571,35.714285714285715,28.57142857142857
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,7,7,14,216.35714285714286,42.857142857142854,35.714285714285715
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,8,8,14,-372.2142857142857,14.285714285714285,14.285714285714285
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,9,9,15,-418.0,20.0,20.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,10,10,14,-89.28571428571429,57.14285714285714,42.857142857142854
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,11,11,12,188.16666666666666,58.333333333333336,33.33333333333333
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,12,12,12,60.166666666666664,50.0,25.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,13,13,14,-138.35714285714286,28.57142857142857,28.57142857142857
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,14,14,14,963.2857142857143,57.14285714285714,50.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,15,15,15,657.7333333333333,53.333333333333336,40.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,16,16,14,663.2857142857143,64.28571428571429,50.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,17,17,15,87.8,40.0,33.33333333333333
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,18,18,15,141.8,60.0,40.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,19,19,15,107.6,40.0,26.666666666666668
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,20,20,15,276.93333333333334,60.0,33.33333333333333
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,21,21,14,346.7142857142857,42.857142857142854,42.857142857142854
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,22,22,15,-47.93333333333333,53.333333333333336,40.0
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,23,23,13,431.0769230769231,61.53846153846154,61.53846153846154
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,24,24,14,190.28571428571428,42.857142857142854,42.857142857142854
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,25,25,14,-390.7857142857143,35.714285714285715,14.285714285714285
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,26,26,12,-50.833333333333336,33.33333333333333,33.33333333333333
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,27,27,14,-100.85714285714286,28.57142857142857,21.428571428571427
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,28,28,13,903.0769230769231,69.23076923076923,61.53846153846154
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,29,29,12,-168.58333333333334,41.66666666666667,33.33333333333333
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,30,30,13,-760.3076923076923,15.384615384615385,7.6923076923076925
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,dd,plus,31,31,6,-48.666666666666664,66.66666666666666,66.66666666666666
金時,ゴッドイーター リザレクション,dd,hit104,1,1,56,-273.67857142857144,33.92857142857143,33.92857142857143
金時,ゴッドイーター リザレクション,dd,hit104,2,2,57,-108.15789473684211,35.08771929824561,33.33333333333333
金時,ゴッドイーター リザレクション,dd,hit104,3,3,60,177.98333333333332,33.33333333333333,30.0
金時,ゴッドイーター リザレクション,dd,hit104,4,4,59,-119.55932203389831,33.89830508474576,32.20338983050847
金時,ゴッドイーター リザレクション,dd,hit104,5,5,66,-301.9848484848485,25.757575757575758,21.21212121212121
金時,ゴッドイーター リザレクション,dd,hit104,6,6,49,-107.46938775510205,36.734693877551024,34.69387755102041
金時,ゴッドイーター リザレクション,dd,hit104,7,7,42,167.11904761904762,45.23809523809524,40.476190476190474
金時,ゴッドイーター リザレクション,dd,hit104,8,8,64,556.171875,35.9375,35.9375
金時,ゴッドイーター リザレクション,dd,hit104,9,9,55,-551.3272727272728,18.181818181818183,16.363636363636363
金時,ゴッドイーター リザレクション,dd,hit104,10,10,54,-275.6666666666667,27.77777777777778,27.77777777777778
金時,ゴッドイーター リザレクション,dd,hit104,11,11,48,292.1458333333333,37.5,35.41666666666667
金時,ゴッドイーター リザレクション,dd,hit104,12,12,55,297.3818181818182,40.0,36.36363636363637
金時,ゴッドイーター リザレクション,dd,hit104,13,13,51,-426.5882352941176,33.33333333333333,29.411764705882355
金時,ゴッドイーター リザレクション,dd,hit104,14,14,52,-289.4807692307692,28.846153846153843,26.923076923076923
金時,ゴッドイーター リザレクション,dd,hit104,15,15,62,-33.08064516129032,33.87096774193548,27.419354838709676
金時,ゴッドイーター リザレクション,dd,hit104,16,16,47,-533.1063829787234,25.53191489361702,19.148936170212767
金時,ゴッドイーター リザレクション,dd,hit104,17,17,46,-168.0,36.95652173913043,36.95652173913043
金時,ゴッドイーター リザレクション,dd,hit104,18,18,50,-274.2,26.0,22.0
金時,ゴッドイーター リザレクション,dd,hit104,19,19,55,-659.9454545454546,12.727272727272727,10.909090909090908
金時,ゴッドイーター リザレクション,dd,hit104,20,20,67,1238.44776119403,47.76119402985074,46.26865671641791
金時,ゴッドイーター リザレクション,dd,hit104,21,21,54,-39.148148148148145,27.77777777777778,24.074074074074073
金時,ゴッドイーター リザレクション,dd,hit104,22,22,51,160.88235294117646,33.33333333333333,31.372549019607842
金時,ゴッドイーター リザレクション,dd,hit104,23,23,43,81.32558139534883,39.53488372093023,39.53488372093023
金時,ゴッドイーター リザレクション,dd,hit104,24,24,56,-240.82142857142858,28.57142857142857,26.785714285714285
金時,ゴッドイーター リザレクション,dd,hit104,25,25,66,732.3636363636364,37.878787878787875,34.84848484848485
金時,ゴッドイーター リザレクション,dd,hit104,26,26,53,15.81132075471698,32.075471698113205,26.41509433962264
金時,ゴッドイーター リザレクション,dd,hit104,27,27,44,-589.2272727272727,25.0,18.181818181818183
金時,ゴッドイーター リザレクション,dd,hit104,28,28,47,-322.51063829787233,34.04255319148936,31.914893617021278
金時,ゴッドイーター リザレクション,dd,hit104,29,29,43,854.3953488372093,46.51162790697674,46.51162790697674
金時,ゴッドイーター リザレクション,dd,hit104,30,30,48,-286.7083333333333,29.166666666666668,25.0
金時,ゴッドイーター リザレクション,dd,hit104,31,31,30,-100.83333333333333,30.0,30.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,1,1,8,-1142.75,25.0,12.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,2,2,6,-536.0,33.33333333333333,16.666666666666664
金時,スマスロ炎炎ノ消防隊2,dd,hit104,3,3,6,269.5,50.0,33.33333333333333
金時,スマスロ炎炎ノ消防隊2,dd,hit104,4,4,8,-1588.875,0.0,0.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,5,5,8,1076.0,25.0,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,6,6,8,-905.125,25.0,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,7,7,8,-735.25,12.5,12.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,8,8,8,-1105.5,25.0,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,9,9,8,-457.75,25.0,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,10,10,8,-1120.875,12.5,0.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,11,11,8,365.875,50.0,50.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,12,12,6,-1012.5,33.33333333333333,33.33333333333333
金時,スマスロ炎炎ノ消防隊2,dd,hit104,13,13,8,91.75,37.5,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,14,14,8,422.0,62.5,50.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,15,15,8,-1103.75,25.0,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,16,16,8,-876.25,12.5,12.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,17,17,8,539.75,50.0,37.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,18,18,8,1028.0,50.0,50.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,19,19,7,-461.0,28.57142857142857,14.285714285714285
金時,スマスロ炎炎ノ消防隊2,dd,hit104,20,20,8,1927.0,62.5,62.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,21,21,8,620.125,62.5,62.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,22,22,8,1422.625,62.5,62.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,23,23,8,761.125,50.0,50.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,24,24,8,-751.75,12.5,12.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,25,25,8,-278.625,25.0,12.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,26,26,8,504.25,62.5,62.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,27,27,8,-594.0,62.5,12.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,28,28,8,-539.75,37.5,25.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,29,29,8,416.25,62.5,62.5
金時,スマスロ炎炎ノ消防隊2,dd,hit104,30,30,8,757.125,50.0,50.0
金時,スマスロ炎炎ノ消防隊2,dd,hit104,31,31,4,2402.25,75.0,75.0
