hall,dd,n_machines,n_positive,agreement_rate,mean_residual,q_value,cohens_h,is_known_event_dd,is_novel,pooled_hit104_rate_vs_hall,pooled_diff_vs_hall,dominant_category,dominant_category_share_of_majority,agreement_rate_excl_dominant,p_value_excl_dominant,signal_survives_without_dominant_category,top_positive_machines
レイトギャップ,19,117,76,0.6495726495726496,3.2136820033000757,0.012126688702814928,0.3037968101426345,False,True,4.066149103241589,268.2571497164589,other,0.8157894736842105,0.4666666666666667,0.8555355519056321,False,無職転生 ～異世界行ったら本気だす～(+48.3);アズールレーン THE ANIMATION(+39.3);絶対衝激～PLATONIC HEART～(+34.3);聖戦士ダンバイン(+32.2);ガールズ&パンツァー 最終章(+27.7);...(他71件)
レイトギャップ,15,112,40,0.35714285714285715,-2.78642163331538,0.01994502770024143,-0.2897517014360478,False,True,-2.5518092767167957,-119.70353918169779,other,0.7083333333333334,0.3,0.042773945257067694,True,ゾンビランドサガ(+37.8);SHAKE BONUS TRIGGER(+37.8);ありふれた職業で世界最強(+26.8);ゴジラ(+22.7);ニューパルサーBT(+20.9);...(他35件)
レイトギャップ,23,113,39,0.34513274336283184,-4.468133377274324,0.012126688702814928,-0.3149138019409823,False,True,-1.9335014557143815,-118.7632823715172,other,0.8108108108108109,0.5172413793103449,1.0,False,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.(+24.2);アレックス ブライト(+20.5);デビル メイ クライ5 スタイリッシュトライブ(+19.1);ひぐらしのなく頃に 業(+13.8);交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART(+13.2);...(他34件)
みとや,22,81,27,0.3333333333333333,-1.8090500506688088,0.03716225976118197,-0.33983690945412204,False,True,-2.120265904517865,-85.28501645994663,other,0.6481481481481481,0.2692307692307692,0.028959274291992188,True,押忍！番長4(+37.1);うみねこのなく頃に2(+30.7);デビル メイ クライ5 スタイリッシュトライブ(+29.3);無職転生 ～異世界行ったら本気だす～(+26.0);真打 吉宗(+14.8);...(他22件)
みとや,29,76,24,0.3157894736842105,-3.783688187436023,0.027309016045579688,-0.3773100323597496,False,True,-2.720577279410964,-144.48100259588972,other,0.6923076923076923,0.38461538461538464,0.32693958282470703,False,ありふれた職業で世界最強(+37.3);スマスロ ハナビ(+23.2);スマート沖スロ ニューキングハナハナV(+20.5);緑ドン VIVA!情熱南米編 REVIVAL(+17.1);SHAKE BONUS TRIGGER(+17.0);...(他19件)
金時,23,70,21,0.3,-3.922629458902287,0.033890594162027006,-0.4115168460674883,False,True,-3.151738447569585,-117.32222634314347,other,0.6530612244897959,0.32,0.10775214433670044,False,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.(+26.8);スマスロ炎炎ノ消防隊2(+17.5);押忍！番長4(+14.5);ヱヴァンゲリヲン ～約束の扉～(+12.6);スマスロ秘宝伝(+11.7);...(他16件)
蒲田1,16,94,27,0.2872340425531915,-3.13569125073036,0.0013938939485102517,-0.43954959244817693,False,True,-2.4924085968157996,-113.50467146423806,other,0.7272727272727273,0.2962962962962963,0.052238985896110535,False,アズールレーン THE ANIMATION(+33.6);ようこそ実力至上主義の教室へ(+29.9);スマスロ秘宝伝(+28.9);咲‐Saki‐ 頂上決戦(+27.6);真・一騎当千(+16.9);...(他22件)
蒲田7,17,96,67,0.6979166666666666,3.1950048119965295,0.004098888151251559,0.40697512562875704,True,False,1.9376204076383488,58.53213180958846,other,0.6417910447761194,0.7272727272727273,0.013530986849218607,True,翔べ！ハーレムエース(+34.0);クランキークレスト(+24.8);範馬刃牙(+24.2);A‐SLOT+ 異世界かるてっと(+22.7);わたしの幸せな結婚(+21.6);...(他62件)
レイトギャップ,6,118,82,0.6949152542372882,4.6222877415437065,0.0008550974522082721,0.4004475329862469,True,False,3.7357765951774162,242.03422186935728,other,0.7926829268292683,0.5666666666666667,0.5846647117286922,False,スマスロ真・北斗無双(+44.2);ミリオンゴッド‐神々の軌跡‐(+33.3);ダンジョンに出会いを求めるのは間違っているだろうか2(+31.2);ディスクアップ ULTRAREMIX(+29.6);アイドルマスター ミリオンライブ！ ネクストプロローグ(+28.5);...(他77件)
みとや,14,87,59,0.6781609195402298,3.494002112309811,0.027309016045579688,0.36432838135067747,True,False,4.541265923476583,241.0409999404012,other,0.6779661016949152,0.7307692307692307,0.028959274291992188,True,不二子BT(+36.5);転生したら剣でした(+34.8);無職転生 ～異世界行ったら本気だす～(+31.5);とある科学の超電磁砲2(+24.5);押忍！番長4(+24.3);...(他54件)
蒲田7,30,97,65,0.6701030927835051,4.113779875619018,0.014719792978040885,0.3471361533376456,True,False,3.6868116665669035,181.59671260756335,other,0.6461538461538462,0.6764705882352942,0.05761267291381955,False,バイオハザード RE:2(+39.1);ヨルムンガンド(+28.3);押忍！番長4(+27.6);ミリオンゴッド‐神々の軌跡‐(+24.5);シャーマンキング(+24.2);...(他60件)
蒲田7,7,96,64,0.6666666666666666,4.458213546048287,0.014719792978040885,0.3398369094541218,True,False,4.72782565312135,245.31923935376358,other,0.703125,0.5588235294117647,0.6075913612730801,False,ハイビリターン‐30(+35.2);押忍!番長ZERO(+34.2);押忍！番長4(+29.9);バイオハザード RE:2(+22.4);マジカルハロウィン ボーナストリガー(+22.0);...(他59件)
ARROW,11,103,68,0.6601941747572816,2.4742049406616684,0.04617980710542928,0.32613941891929676,True,False,2.449515207549158,194.7882918536752,other,0.7352941176470589,0.6666666666666666,0.12207812070846558,False,SHAKE BONUS TRIGGER(+39.0);Re:ゼロから始める異世界生活 season2(+34.9);バイオハザード RE:3(+27.7);バイオハザード RE:2(+25.8);バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION(+24.9);...(他63件)
レイトギャップ,26,124,80,0.6451612903225806,3.458570721434031,0.012126688702814928,0.2945639204502948,True,False,3.3374988154392646,225.55531442004894,other,0.775,0.5294117647058824,0.8641662404406816,False,不二子BT(+36.7);クランキークレスト(+31.0);一方通行 とある魔術の禁書目録(+27.6);ギルティクラウン2(+26.9);南国育ち(+26.8);...(他75件)
