hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
みとや,1,bt,14,6,8,0.42857142857142855,-1.2497890908190699,-1.3412630964453243
みとや,1,hana,1,1,0,1.0,7.792207792207787,7.792207792207787
みとや,1,jug,8,2,6,0.25,-1.447009694555971,-2.096410373110352
みとや,1,oki,3,1,2,0.3333333333333333,-6.577324120172903,-7.938856015779095
みとや,1,other,60,26,34,0.43333333333333335,-1.2887507796842523,-2.1533324375630247
みとや,2,bt,14,7,7,0.5,0.28253137264296374,0.3685215088032425
みとや,2,hana,1,0,1,0.0,-1.2987012987012996,-1.2987012987012996
みとや,2,jug,8,5,3,0.625,-0.12342337448638308,0.49912784084607154
みとや,2,oki,3,1,2,0.3333333333333333,-1.4889684241924843,-1.6888560157790948
みとや,2,other,58,27,31,0.46551724137931033,-1.0850794616529158,-0.9515989392150406
みとや,3,bt,14,7,7,0.5,-3.42699586076991,-0.8614821563628094
みとや,3,hana,1,0,1,0.0,-19.480519480519483,-19.480519480519483
みとや,3,jug,8,4,4,0.5,-0.27451417735910155,0.5362961784969489
みとや,3,oki,3,1,2,0.3333333333333333,-1.8183366548412394,-5.161078238001316
みとや,3,other,57,30,27,0.5263157894736842,1.9131800839057203,0.47475183426844936
みとや,4,bt,14,5,9,0.35714285714285715,-1.1626183706434248,-8.334456072189495
みとや,4,hana,1,0,1,0.0,-12.33766233766234,-12.33766233766234
みとや,4,jug,8,7,1,0.875,3.2646788552077814,3.5680223371659583
みとや,4,oki,3,1,2,0.3333333333333333,-2.9298173771214002,-6.311360448807857
みとや,4,other,63,39,24,0.6190476190476191,2.2619581319115456,3.0303030303030276
みとや,5,bt,15,8,7,0.5333333333333333,-1.4288365203775668,0.34013605442176953
みとや,5,hana,1,1,0,1.0,9.090909090909086,9.090909090909086
みとや,5,jug,8,4,4,0.5,1.6316103378602977,0.2024467458657142
みとや,5,oki,3,2,1,0.6666666666666666,0.9393122984598902,3.5376874101458284
みとや,5,other,61,33,28,0.5409836065573771,1.8912484128180345,1.0893246187363879
みとや,6,bt,15,8,7,0.5333333333333333,-3.9323612643967683,0.792995966263291
みとや,6,hana,1,0,1,0.0,-11.14718614718615,-11.14718614718615
みとや,6,jug,8,2,6,0.25,-2.330845311510532,-2.024755395286858
みとや,6,oki,3,3,0,1.0,0.849778768152787,0.5197590957841776
みとや,6,other,61,26,35,0.4262295081967213,-0.44442316084805694,-2.3395061728395063
みとや,7,bt,14,7,7,0.5,0.7979742083046357,-2.277113127979465
みとや,7,hana,1,1,0,1.0,1.948051948051944,1.948051948051944
みとや,7,jug,8,5,3,0.625,1.9698797988033347,3.9788424689571045
みとや,7,oki,3,1,2,0.3333333333333333,-1.282909923762335,-0.8920056100981739
みとや,7,other,63,36,27,0.5714285714285714,1.6131590349178733,1.1160714285714306
みとや,8,bt,14,10,4,0.7142857142857143,0.8299821915384182,3.090997409326423
みとや,8,hana,1,1,0,1.0,0.519480519480517,0.519480519480517
みとや,8,jug,8,3,5,0.375,-0.7018513234383246,-1.7208569416309132
みとや,8,oki,3,1,2,0.3333333333333333,-4.091033173062054,-8.058672276764842
みとや,8,other,58,27,31,0.46551724137931033,-0.6485847469612445,-0.6319580268519562
みとや,9,bt,14,9,5,0.6428571428571429,9.352972719698498,6.55581981369801
みとや,9,hana,1,1,0,1.0,3.5964035964035936,3.5964035964035936
みとや,9,jug,8,2,6,0.25,-1.0970831256514826,-1.2473748168532204
みとや,9,oki,3,1,2,0.3333333333333333,-3.3467919876444,-4.270120397661984
みとや,9,other,61,31,30,0.5081967213114754,0.26396963669536955,0.6201550387596875
みとや,10,bt,14,5,9,0.35714285714285715,-4.828471962506834,-6.517973309349809
みとや,10,hana,1,0,1,0.0,-4.095904095904098,-4.095904095904098
みとや,10,jug,8,5,3,0.625,0.497879855736421,1.3563966356006194
みとや,10,oki,3,1,2,0.3333333333333333,-7.066104480123692,-9.409444251073214
みとや,10,other,57,19,38,0.3333333333333333,-4.875117811224136,-2.980354658500133
みとや,11,bt,14,7,7,0.5,4.053903054330165,-0.6429619180504673
みとや,11,hana,1,1,0,1.0,9.090909090909086,9.090909090909086
みとや,11,jug,8,6,2,0.75,2.0732078851599995,1.0850331754817297
みとや,11,oki,3,2,1,0.6666666666666666,7.761230106679068,7.114551945914471
みとや,11,other,58,33,25,0.5689655172413793,1.1003528739166972,1.597203453699489
みとや,12,bt,13,3,10,0.23076923076923078,-0.46788538168969124,-4.226361031518628
みとや,12,hana,1,1,0,1.0,22.18614718614719,22.18614718614719
みとや,12,jug,8,1,7,0.125,-2.5940228206112232,-2.066976676999726
みとや,12,oki,3,2,1,0.6666666666666666,9.306315665463254,7.061143984220905
みとや,12,other,56,25,31,0.44642857142857145,0.9830028574801436,-1.7342785666947371
みとや,13,bt,13,5,8,0.38461538461538464,-2.921200469172936,-5.638442162371632
みとや,13,hana,1,1,0,1.0,1.948051948051944,1.948051948051944
みとや,13,jug,8,4,4,0.5,-0.5904656193871152,0.025425298178012312
みとや,13,oki,3,3,0,1.0,7.042253474930475,4.648798521256936
みとや,13,other,59,26,33,0.4406779661016949,-0.8393534151224611,-1.389673773439501
みとや,14,bt,14,8,6,0.5714285714285714,4.560276924596928,6.627524091206936
みとや,14,hana,1,0,1,0.0,-5.194805194805198,-5.194805194805198
みとや,14,jug,8,8,0,1.0,4.044635911686399,4.83387705944863
みとや,14,oki,3,3,0,1.0,7.292253474930472,4.441327723235151
みとや,14,other,61,40,21,0.6557377049180327,3.132709250870806,3.4236478430633426
みとや,15,bt,14,6,8,0.42857142857142855,-2.0085866544482305,-4.4585653434809025
みとや,15,hana,1,1,0,1.0,16.233766233766232,16.233766233766232
みとや,15,jug,8,3,5,0.375,0.0865400016334239,-1.3104609180272586
みとや,15,oki,3,3,0,1.0,6.422717781865369,2.3111361835945985
みとや,15,other,56,28,28,0.5,-0.178728901434567,0.2389678542672744
みとや,16,bt,14,8,6,0.5714285714285714,1.0775340460899296,2.857142857142856
みとや,16,hana,1,1,0,1.0,3.5964035964035936,3.5964035964035936
みとや,16,jug,8,2,6,0.25,-0.48314724548980026,-1.5438373137275345
みとや,16,oki,3,1,2,0.3333333333333333,-2.641250361386659,-4.9164188700474085
みとや,16,other,58,28,30,0.4827586206896552,1.1728724678111437,-0.6017463082818661
みとや,17,bt,14,8,6,0.5714285714285714,0.6266252418474095,2.630513412261454
みとや,17,hana,1,1,0,1.0,9.090909090909086,9.090909090909086
