hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
ヒロキ,1,bt,22,9,13,0.4090909090909091,-2.309478129203199,-3.690926071258783
ヒロキ,1,jug,8,1,7,0.125,-1.6477449430758213,-1.6782466103218692
ヒロキ,1,other,79,36,43,0.45569620253164556,0.6066227388265936,-1.253802188097925
ヒロキ,2,bt,21,9,12,0.42857142857142855,-2.1265059749666144,-4.015748031496063
ヒロキ,2,jug,8,4,4,0.5,-0.6374000550955723,0.18746591161280968
ヒロキ,2,other,76,24,52,0.3157894736842105,-3.1231174008033196,-2.7577574577702
ヒロキ,3,bt,21,7,14,0.3333333333333333,-4.118251756329267,-3.880143112701248
ヒロキ,3,jug,8,3,5,0.375,-0.7691372420245646,-1.3445941414154419
ヒロキ,3,other,74,39,35,0.527027027027027,3.3312571479607134,0.9911463418720405
ヒロキ,4,bt,21,11,10,0.5238095238095238,-0.31396795478623335,0.1025290498974698
ヒロキ,4,jug,8,4,4,0.5,-1.31726788350309,-0.2035379210536643
ヒロキ,4,other,72,22,50,0.3055555555555556,-3.898387851497225,-5.066689133402544
ヒロキ,5,bt,19,10,9,0.5263157894736842,-0.33220214913642654,2.1174089068825914
ヒロキ,5,jug,8,5,3,0.625,0.6139883794050611,1.6783526128704978
ヒロキ,5,other,74,37,37,0.5,-0.07824065874056486,-0.24604128716847384
ヒロキ,6,bt,21,9,12,0.42857142857142855,0.6795092286142883,-2.3782051282051277
ヒロキ,6,jug,8,3,5,0.375,-2.134829474246554,-1.7384106618278494
ヒロキ,6,other,78,45,33,0.5769230769230769,2.43369573575643,2.879746743702654
ヒロキ,7,bt,22,13,9,0.5909090909090909,1.1318369307389524,1.676082695234543
ヒロキ,7,jug,8,2,6,0.25,-1.3229889095654412,-1.3607176787792898
ヒロキ,7,other,71,30,41,0.4225352112676056,-1.1821278645927162,-1.1356843992827272
ヒロキ,8,bt,21,10,11,0.47619047619047616,2.7935207090609517,-2.569015841893002
ヒロキ,8,jug,8,4,4,0.5,0.29440047590652973,-0.10760402623683696
ヒロキ,8,other,72,36,36,0.5,-0.37100774409458737,0.3127771630865954
ヒロキ,9,bt,20,10,10,0.5,0.8376101192186816,-0.3722165991902848
ヒロキ,9,jug,8,4,4,0.5,0.8292456070031102,-0.16210758168691797
ヒロキ,9,other,73,35,38,0.4794520547945205,1.3987809790696424,-0.2941176470588225
ヒロキ,10,bt,21,9,12,0.42857142857142855,-0.3125430328750158,-7.006642382686952
