hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
レイトギャップ,1,bt,20,10,10,0.5,-1.2261382152331703,-0.413462797396992
レイトギャップ,1,hana,1,1,0,1.0,5.967604433077575,5.967604433077575
レイトギャップ,1,jug,8,2,6,0.25,-2.1742247083055997,-2.9628730114823885
レイトギャップ,1,oki,4,2,2,0.5,-0.2693550435098562,-2.7230832023357543
レイトギャップ,1,other,84,45,39,0.5357142857142857,0.6671441375388175,1.0924922600619222
レイトギャップ,2,bt,18,7,11,0.3888888888888889,-1.1730772963278748,-6.421002668308706
レイトギャップ,2,hana,1,0,1,0.0,-2.3657289002557533,-2.3657289002557533
レイトギャップ,2,jug,8,2,6,0.25,-4.660001287188173,-5.296578908613748
レイトギャップ,2,oki,4,1,3,0.25,-1.3722959871984832,-1.813795312264915
レイトギャップ,2,other,83,34,49,0.40963855421686746,-1.8743620493546165,-1.5306122448979629
レイトギャップ,3,bt,18,7,11,0.3888888888888889,0.1875479360012111,-1.2429322982977205
レイトギャップ,3,hana,1,0,1,0.0,-10.699062233589089,-10.699062233589089
レイトギャップ,3,jug,8,4,4,0.5,-0.8228191550115538,-0.2606032949404433
レイトギャップ,3,oki,4,2,2,0.5,-0.3812733559288395,0.07881097365174483
レイトギャップ,3,other,80,39,41,0.4875,0.08468341793887238,-0.35031701153225114
レイトギャップ,4,bt,18,9,9,0.5,-0.27661242561161775,-0.4138727327169267
レイトギャップ,4,hana,1,1,0,1.0,3.4035018689750167,3.4035018689750167
レイトギャップ,4,jug,8,2,6,0.25,0.04391269541693488,-1.5200753181082831
レイトギャップ,4,oki,4,2,2,0.5,-3.8470236606309154,-2.5901736382686185
レイトギャップ,4,other,82,39,43,0.47560975609756095,-0.22661998819217358,-1.3303232035990185
レイトギャップ,5,bt,18,9,9,0.5,0.19922003035499694,0.32142138493013306
レイトギャップ,5,hana,1,1,0,1.0,8.348556814029962,8.348556814029962
レイトギャップ,5,jug,8,5,3,0.625,0.4024833901360316,1.7539643107805603
レイトギャップ,5,oki,4,1,3,0.25,-0.3154523945540131,-1.5574869525717538
レイトギャップ,5,other,85,35,50,0.4117647058823529,-2.4885489360882547,-4.136222910216713
レイトギャップ,6,bt,17,9,8,0.5294117647058824,4.795964458696646,8.11843361986628
レイトギャップ,6,hana,1,0,1,0.0,-0.6990622335890855,-0.6990622335890855
レイトギャップ,6,jug,8,6,2,0.75,2.562273537016859,0.4942820299627364
レイトギャップ,6,oki,4,2,2,0.5,-2.007975017091847,-1.2222374801845657
