hall,dd,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
蒲田1,1,bt,13,7,6,0.5384615384615384,0.3522685496915257,0.0790513833992037
蒲田1,1,hana,2,0,2,0.0,-3.278466204415876,-3.278466204415876
蒲田1,1,jug,9,8,1,0.8888888888888888,5.080885465346029,4.7668672838464765
蒲田1,1,oki,4,3,1,0.75,8.381386991387606,7.8423787321411105
蒲田1,1,other,70,37,33,0.5285714285714286,1.6942229388312655,0.37416767554479335
蒲田1,2,bt,12,8,4,0.6666666666666666,3.2362118042533603,2.109902109902105
蒲田1,2,hana,2,0,2,0.0,-4.365810232936376,-4.365810232936376
蒲田1,2,jug,9,1,8,0.1111111111111111,-0.9883339405864306,-1.1299435028248581
蒲田1,2,oki,4,2,2,0.5,-3.5437529084965407,-1.3248591353170411
蒲田1,2,other,68,33,35,0.4852941176470588,-0.06519986254356874,-0.1585124875750239
蒲田1,3,bt,12,3,9,0.25,-3.200881195339638,-3.064317847757339
蒲田1,3,hana,2,1,1,0.5,2.5173066501805046,2.5173066501805046
蒲田1,3,jug,9,3,6,0.3333333333333333,-2.570288150259413,-3.2793949357615624
蒲田1,3,oki,4,2,2,0.5,-4.684572176109206,-3.1874315659618677
蒲田1,3,other,67,38,29,0.5671641791044776,1.6630069593327041,1.2820512820512775
蒲田1,4,bt,12,8,4,0.6666666666666666,3.913497481539038,1.9233430192334264
蒲田1,4,hana,2,2,0,1.0,1.9684769488084317,1.9684769488084317
蒲田1,4,jug,9,4,5,0.4444444444444444,-0.15196293498727126,-1.029132791327914
蒲田1,4,oki,4,3,1,0.75,10.291011183620494,4.716596297566941
蒲田1,4,other,67,33,34,0.4925373134328358,1.1143709446751304,-0.6982419443199426
蒲田1,5,bt,11,6,5,0.5454545454545454,-5.0996943891035995,2.8070175438596436
蒲田1,5,hana,2,2,0,1.0,11.38457285490801,11.38457285490801
蒲田1,5,jug,9,5,4,0.5555555555555556,1.1445745616541767,0.21616005898320978
蒲田1,5,oki,4,2,2,0.5,-1.7999746802486651,-2.0013167142641084
蒲田1,5,other,66,26,40,0.3939393939393939,-2.811871118460503,-2.959888867171138
蒲田1,6,bt,11,6,5,0.5454545454545454,1.6528901174916035,2.0202020202020172
蒲田1,6,hana,2,0,2,0.0,-0.7294465965727408,-0.7294465965727408
蒲田1,6,jug,9,5,4,0.5555555555555556,0.5997235313531328,0.6808059384941672
蒲田1,6,oki,3,1,2,0.3333333333333333,-0.8869468514172011,-1.5148412672410956
蒲田1,6,other,67,27,40,0.40298507462686567,-0.9782792554961861,-1.6947390309835768
蒲田1,7,bt,12,3,9,0.25,-3.8925256863262354,-3.8884936719331638
蒲田1,7,hana,2,1,1,0.5,-1.4112647783909242,-1.4112647783909242
蒲田1,7,jug,9,8,1,0.8888888888888888,4.492844148576097,4.554349340392015
蒲田1,7,oki,4,0,4,0.0,-8.79448665187734,-0.9869075914513488
蒲田1,7,other,74,45,29,0.6081081081081081,1.431313759141532,2.3295094594381247
蒲田1,8,bt,12,6,6,0.5,3.078808900139931,-0.646086369770579
蒲田1,8,hana,2,2,0,1.0,3.102995471163446,3.102995471163446
蒲田1,8,jug,9,4,5,0.4444444444444444,1.0275953016545654,-0.1868807501769325
蒲田1,8,oki,4,3,1,0.75,0.21054057895634237,3.680675336536222
蒲田1,8,other,70,30,40,0.42857142857142855,-0.2964241330880612,-1.2057240522969348
蒲田1,9,bt,12,6,6,0.5,-1.4426210731089284,-0.9916767436124232
蒲田1,9,hana,2,2,0,1.0,5.189925697799556,5.189925697799556
蒲田1,9,jug,9,6,3,0.6666666666666666,0.8747809260022529,3.1364453506994536
蒲田1,9,oki,4,2,2,0.5,2.107353174962485,-0.20427090002292303
