hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
ARROW,11,False,SHAKE BONUS TRIGGER,bt,11,72.72727272727273,33.711048158640224,39.01622456863251,1,103,0.007363971009888779,0.29757679806916015,False
ARROW,11,False,Re:ゼロから始める異世界生活 season2,other,6,66.66666666666666,31.782945736434108,34.88372093023255,2,102,0.07111724070226327,0.5232196994523656,False
ARROW,11,False,バイオハザード RE:3,other,9,55.55555555555556,27.86885245901639,27.686703096539166,3,101,0.05427990118702572,0.5232196994523656,False
ARROW,11,False,バイオハザード RE:2,other,5,60.0,34.24657534246575,25.753424657534246,4,100,0.34156378600823056,1.0,False
ARROW,11,False,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,other,12,58.333333333333336,33.43283582089553,24.90049751243781,5,99,0.06746760484722568,0.5232196994523656,False
ARROW,11,False,スマート沖スロ スターハナハナ,hana,25,44.0,24.0620957309185,19.9379042690815,6,98,0.02946526875085604,0.5232196994523656,False
ARROW,11,False,ウルトラミラクルジャグラー,jug,18,38.88888888888889,20.297951582867785,18.590937306021107,7,97,0.066615565958239,0.5232196994523656,False
ARROW,11,False,シン・エヴァンゲリオン,other,14,50.0,32.07964601769911,17.920353982300888,8,96,0.1538729447405036,0.7924456654135935,False
ARROW,11,False,とある科学の超電磁砲2,other,13,46.15384615384615,28.42377260981912,17.730073544027032,9,95,0.21051304324676184,0.8737086321507227,False
ARROW,11,False,ToLOVEるダークネス,other,36,52.77777777777778,35.14018691588785,17.637590861889926,10,94,0.033618713275299174,0.5232196994523656,False
ARROW,11,False,マギアレコード 魔法少女まどか☆マギカ外伝,other,63,46.03174603174603,30.740343347639488,15.291402684106544,11,93,0.00866728538065515,0.29757679806916015,False
ARROW,11,False,回胴黙示録カイジ 狂宴,other,31,45.16129032258064,30.92243186582809,14.23885845675255,12,92,0.08093792791065874,0.55577377165319,False
ARROW,11,False,ジャグラーガールズ,jug,18,38.88888888888889,25.512104283054004,13.376784605834889,13,91,0.17918991761276565,0.8024591962658635,False
ARROW,11,False,スマスロ炎炎ノ消防隊,other,20,40.0,27.7027027027027,12.297297297297298,14,90,0.2124787842173997,0.8737086321507227,False
ARROW,11,False,ディスクアップ2,bt,13,46.15384615384615,35.1010101010101,11.052836052836057,15,89,0.3939973496732589,1.0,False
ARROW,11,False,ルパン三世 大航海者の秘宝,other,30,43.333333333333336,32.32662192393736,11.006711409395976,16,88,0.2386889742661474,0.9105542351634512,False
ARROW,11,False,わたしの幸せな結婚,other,5,40.0,29.1970802919708,10.8029197080292,17,87,0.62983499440647,1.0,False
ARROW,11,False,機動戦士ガンダムSEED,other,6,33.33333333333333,22.941176470588236,10.392156862745093,18,86,0.6230285232106129,1.0,False
ARROW,11,False,押忍！番長4,other,51,39.21568627450981,29.138627187079408,10.0770590874304,19,85,0.12069466560975266,0.755220718400979,False
ARROW,11,False,スマスロ真・北斗無双,other,12,41.66666666666667,32.054794520547944,9.611872146118728,20,84,0.5368053398641779,1.0,False
ARROW,11,False,ビッグドリーム THE GOLDEN PUSHER,other,19,36.84210526315789,27.391304347826086,9.450800915331804,21,83,0.3054266526626258,1.0,False
ARROW,11,False,ミスタージャグラー,jug,18,33.33333333333333,24.022346368715084,9.310986964618245,22,82,0.40304227031537726,1.0,False
ARROW,11,False,ゴッドイーター リザレクション,other,108,37.03703703703704,28.257505416279788,8.77953162075725,23,81,0.04124950117442634,0.5232196994523656,False
ARROW,11,False,アズールレーン THE ANIMATION,other,10,40.0,31.506849315068493,8.493150684931507,24,80,0.5142435250827894,1.0,False
ARROW,11,False,革命機ヴァルヴレイヴ2,other,70,38.57142857142858,30.672472181906148,7.898956389522429,25,79,0.15259022708715808,0.7924456654135935,False
ARROW,11,False, サラリーマン金太郎,other,11,36.36363636363637,28.484848484848484,7.8787878787878824,26,78,0.5170139368727379,1.0,False
ARROW,11,False,東京喰種,other,329,42.5531914893617,35.040877574252306,7.512313915109395,27,77,0.0037376765547276537,0.29757679806916015,False
ARROW,11,False,不二子BT,bt,8,37.5,30.038022813688215,7.461977186311785,28,76,0.7024349241234812,1.0,False
ARROW,11,False,ゴジラ対エヴァンゲリオン,other,6,33.33333333333333,26.785714285714285,6.547619047619044,29,75,0.659384485371662,1.0,False
ARROW,11,False,かぐや様は告らせたい,other,125,34.4,28.617974477328268,5.782025522671731,30,74,0.1379124636862509,0.7891657644268801,False
ARROW,11,False,鉄拳6,other,42,38.095238095238095,32.76327632763276,5.3319617676053355,31,73,0.5101670519944641,1.0,False
ARROW,11,False,スマスロ北斗の拳,other,397,36.272040302267,31.060798778936654,5.211241523330347,32,72,0.022416498980995042,0.5232196994523656,False
ARROW,11,False,スマート沖スロ ドラゴンハナハナ～閃光～,hana,31,29.03225806451613,24.258474576271187,4.773783488244945,33,71,0.5297746094636602,1.0,False
ARROW,11,False,ダンベル何キロ持てる？,other,28,32.142857142857146,27.668539325842694,4.474317817014452,34,70,0.5338994788201674,1.0,False
ARROW,11,False,バーサスリヴァイズ,bt,16,31.25,26.82926829268293,4.420731707317071,35,69,0.7774230680063361,1.0,False
ARROW,11,False,いざ！番長,other,85,31.76470588235294,27.379983726606998,4.384722155745941,36,68,0.332478611568223,1.0,False
ARROW,11,False,戦国乙女4 戦乱に閃く炯眼の軍師,other,54,35.18518518518518,31.132075471698112,4.053109713487071,37,67,0.5562278144368303,1.0,False
ARROW,11,False,シャーマンキング,other,13,30.76923076923077,26.76056338028169,4.008667388949082,38,66,0.7557199241506628,1.0,False
ARROW,11,False,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,other,12,33.33333333333333,29.427792915531338,3.9055404178019906,39,65,0.7557435980462254,1.0,False
ARROW,11,False,にゃんこ大戦争 超神速,other,10,30.0,26.190476190476193,3.8095238095238066,40,64,0.727095494854031,1.0,False
ARROW,11,False,スマート沖スロ ニューキングハナハナV,hana,25,32.0,28.44702467343977,3.5529753265602295,41,63,0.6612404367826277,1.0,False
ARROW,11,False,甲鉄城のカバネリ,other,26,38.46153846153847,35.06666666666667,3.394871794871797,42,62,0.6861161894548437,1.0,False
ARROW,11,False,ディスクアップ ULTRAREMIX,bt,15,40.0,36.91275167785235,3.0872483221476514,43,61,0.7939791275448586,1.0,False
ARROW,11,False,ヱヴァンゲリヲン ～約束の扉～,bt,35,28.57142857142857,25.829875518672203,2.741553052756366,44,60,0.7002680712430327,1.0,False
ARROW,11,False,七つの魔剣が支配する,other,13,30.76923076923077,28.132387706855795,2.6368430623749752,45,59,0.7653127064655592,1.0,False
ARROW,11,False,沖ドキ!BLACK,oki,178,41.57303370786517,39.1050949426584,2.4679387652067746,46,58,0.4900121907684778,1.0,False
ARROW,11,False,新鬼武者3,other,65,30.76923076923077,28.322440087145967,2.446790682084803,47,57,0.6795604120731137,1.0,False
ARROW,11,False,ネオアイムジャグラーEX,jug,135,27.40740740740741,25.26421741318571,2.1431899942217,48,56,0.5524347888926326,1.0,False
ARROW,11,False,ハッピージャグラーVIII,jug,90,26.666666666666668,24.581005586592177,2.085661080074491,49,55,0.624901683449306,1.0,False
ARROW,11,False,化物語,other,30,30.0,27.9322853688029,2.0677146311970986,50,54,0.8388836198302811,1.0,False
ARROW,11,False,北斗の拳 転生の章2,other,96,30.208333333333332,28.20133234641007,2.007000986923263,51,53,0.6505264186118717,1.0,False
ARROW,11,False,モンキーターンV,other,237,29.957805907172997,28.102750244311043,1.855055662861954,52,52,0.5154548412427256,1.0,False
ARROW,11,False,新ハナビ,bt,26,26.923076923076923,25.126262626262623,1.7968142968143006,53,51,0.8220659257114222,1.0,False
ARROW,11,False,聖戦士ダンバイン,other,6,33.33333333333333,31.547619047619047,1.7857142857142811,54,50,1.0,1.0,False
ARROW,11,False,プリズムナナ,other,6,33.33333333333333,31.645569620253166,1.6877637130801624,55,49,1.0,1.0,False
ARROW,11,False,スマスロ ハナビ,bt,20,25.0,23.423423423423422,1.5765765765765778,56,48,0.7956381147075378,1.0,False
ARROW,11,False,チバリヨ2,other,42,26.190476190476193,24.807527801539777,1.3829483889364163,57,47,0.8582091303041017,1.0,False
ARROW,11,False,スマスロ炎炎ノ消防隊2,other,20,30.0,28.700361010830328,1.2996389891696722,58,46,1.0,1.0,False
ARROW,11,False,ラブ嬢3～Wご指名はいかがですか?～,other,54,31.48148148148148,30.208993033565545,1.2724884479159364,59,45,0.8822348467632484,1.0,False
ARROW,11,False,ネオプラネット,other,7,28.57142857142857,27.491408934707906,1.0800196367206638,60,44,1.0,1.0,False
ARROW,11,False,ファンキージャグラー2,jug,162,24.691358024691358,23.67549668874172,1.0158613359496371,61,43,0.7814255953775018,1.0,False
ARROW,11,False,ギルティクラウン2,other,7,28.57142857142857,27.699530516431924,0.8718980549966453,62,42,1.0,1.0,False
ARROW,11,False,スマスロ秘宝伝,other,11,27.27272727272727,26.666666666666668,0.606060606060602,63,41,1.0,1.0,False
ARROW,11,False,ダーリン・イン・ザ・フランキス,other,13,30.76923076923077,30.174563591022448,0.5946671782083222,64,40,1.0,1.0,False
ARROW,11,False,東京リベンジャーズ,other,52,30.76923076923077,30.22653721682848,0.5426935524022909,65,39,1.0,1.0,False
ARROW,11,False,スーパーブラックジャック,other,84,30.952380952380953,30.436507936507933,0.5158730158730194,66,38,0.9059647916946667,1.0,False
