hall,machine_name,category,n_appearances,dds_appeared,residuals_at_each_dd,n_machine_significant_appearances
レイトギャップ,スマスロ真・北斗無双,other,4,6;15;19;26,+44.2;-28.5;+21.5;-20.8,0
みとや,うみねこのなく頃に2,bt,3,14;22;29,-19.3;+30.7;-19.3,0
みとや,とある科学の超電磁砲2,other,3,14;22;29,+24.5;-16.0;-32.6,0
みとや,押忍！番長4,other,3,14;22;29,+24.3;+37.1;-17.1,0
みとや,緑ドン VIVA!情熱南米編 REVIVAL,other,3,14;22;29,-20.2;-18.3;+17.1,0
レイトギャップ,アイドルマスター ミリオンライブ！ ネクストプロローグ,other,3,6;15;26,+28.5;-28.6;-16.1,0
レイトギャップ,アレックス ブライト,bt,3,6;19;23,-15.9;-15.9;+20.5,0
レイトギャップ,ギルティクラウン2,other,3,15;23;26,-22.0;-20.6;+26.9,0
レイトギャップ,ディスクアップ2,bt,3,6;23;26,-26.2;-27.8;-14.5,0
レイトギャップ,押忍!番長ZERO,other,3,6;19;26,-20.9;-19.8;-16.7,0
レイトギャップ,無職転生 ～異世界行ったら本気だす～,other,3,19;23;26,+48.3;-31.7;-15.0,0
レイトギャップ,真打 吉宗,other,3,6;23;26,-12.5;-29.2;-12.5,0
蒲田7,A‐SLOT+ 異世界かるてっと,bt,3,7;17;30,-10.6;+22.7;-10.6,0
蒲田7,ハイビリターン‐30,bt,3,7;17;30,+35.2;-22.0;-22.0,0
蒲田7,バイオハザード RE:2,other,3,7;17;30,+22.4;-10.9;+39.1,0
蒲田7,ヨルムンガンド,other,3,7;17;30,-11.7;-31.7;+28.3,0
蒲田7,押忍!番長ZERO,other,3,7;17;30,+34.2;+17.5;-15.8,0
蒲田7,ミリオンゴッド‐神々の軌跡‐,other,2,7;30,+14.5;+24.5,1
みとや,ガールズ&パンツァー 最終章,other,2,14;22,+22.7;-20.6,0
みとや,ゴジラ対エヴァンゲリオン,other,2,22;29,-13.9;+11.7,0
みとや,スマスロ サンダーV,bt,2,14;22,-20.9;+12.4,0
みとや,スマスロ ハナビ,bt,2,22;29,+10.7;+23.2,0
みとや,ヱヴァンゲリヲン ～約束の扉～,bt,2,14;29,+18.1;-16.4,0
みとや,七つの魔剣が支配する,other,2,22;29,-14.2;-15.9,0
みとや,回胴黙示録カイジ 狂宴,other,2,14;29,-28.1;-28.1,0
みとや,新ハナビ,bt,2,22;29,-13.3;+13.0,0
みとや,機動戦士ガンダムSEED,other,2,14;22,+17.6;-19.9,0
みとや,無職転生 ～異世界行ったら本気だす～,other,2,14;22,+31.5;+26.0,0
みとや,真打 吉宗,other,2,14;22,-35.2;+14.8,0
みとや,頭文字D 2nd,other,2,14;29,-23.9;-33.0,0
レイトギャップ,SHAKE BONUS TRIGGER,bt,2,15;19,+37.8;-19.4,0
レイトギャップ,ありふれた職業で世界最強,other,2,15;26,+26.8;+18.4,0
レイトギャップ,ひぐらしのなく頃に 業,bt,2,6;23,+23.9;+13.8,0
レイトギャップ,ようこそ実力至上主義の教室へ,other,2,15;23,-26.6;-26.6,0
レイトギャップ,アズールレーン THE ANIMATION,other,2,19;26,+39.3;+19.3,0
レイトギャップ,ガールズ&パンツァー 最終章,other,2,15;19,-22.3;+27.7,0
レイトギャップ,クランキークレスト,bt,2,19;26,-16.5;+31.0,0
レイトギャップ,ゴジラ,other,2,15;26,+22.7;-20.2,0
レイトギャップ,スマスロ サンダーV,bt,2,15;26,+20.2;+24.8,0
レイトギャップ,ゾンビランドサガ,other,2,15;23,+37.8;-28.8,0
レイトギャップ,ダンジョンに出会いを求めるのは間違っているだろうか2,bt,2,6;26,+31.2;-28.8,0
レイトギャップ,ディスクアップ ULTRAREMIX,bt,2,6;15,+29.6;-19.3,0
レイトギャップ,マクロスフロンティア4,other,2,15;23,-26.9;+13.1,0
レイトギャップ,ミリオンゴッド‐神々の軌跡‐,other,2,6;19,+33.3;+26.7,0
レイトギャップ,一方通行 とある魔術の禁書目録,other,2,6;26,-12.9;+27.6,0
レイトギャップ,南国育ち,other,2,23;26,-19.0;+26.8,0
レイトギャップ,忍魂参 ～奥義皆伝ノ章～,other,2,6;15,-20.9;+19.1,0
レイトギャップ,東京リベンジャーズ,other,2,15;23,+14.6;+11.1,0
レイトギャップ,痛いのは嫌なので防御力に極振りしたいと思います。,other,2,6;15,+27.0;-25.1,0
レイトギャップ,聖戦士ダンバイン,other,2,19;23,+32.2;+10.0,0
蒲田7,クランキークレスト,bt,2,17;30,+24.8;+16.5,0
蒲田7,シャーマンキング,other,2,17;30,-12.8;+24.2,0
蒲田7,スマスロ炎炎ノ消防隊2,other,2,7;30,-9.2;+17.1,0
蒲田7,ディスクアップ2,bt,2,7;30,-8.3;-6.0,0
蒲田7,押忍！番長4,other,2,7;30,+29.9;+27.6,0
