hall,dd,is_novel,machine_name,category,n,hit104_rate,baseline_hit104_rate,residual,rank_desc,rank_asc,p_value,q_value,is_machine_significant
レイトギャップ,6,False,スマスロ真・北斗無双,other,11,72.72727272727273,28.517110266159694,44.21016246111304,1,118,0.001841513862179575,0.10864931786859493,False
レイトギャップ,6,False,ミリオンゴッド‐神々の軌跡‐,other,15,60.0,26.666666666666668,33.33333333333333,2,117,0.0053499507569550984,0.13447540273751016,False
レイトギャップ,6,False,ダンジョンに出会いを求めるのは間違っているだろうか2,bt,5,60.0,28.82882882882883,31.17117117117117,3,116,0.12993610143952455,0.6607039949864466,False
レイトギャップ,6,False,ディスクアップ ULTRAREMIX,bt,20,70.0,40.39408866995074,29.60591133004926,4,115,0.009715949147717838,0.1910803332384508,False
レイトギャップ,6,False,アイドルマスター ミリオンライブ！ ネクストプロローグ,other,7,57.14285714285714,28.64864864864865,28.49420849420849,5,114,0.09626663197658002,0.6259434939283396,False
レイトギャップ,6,False,化物語,other,24,58.333333333333336,30.673316708229425,27.66001662510391,6,113,0.005698110285487718,0.13447540273751016,False
レイトギャップ,6,False,痛いのは嫌なので防御力に極振りしたいと思います。,other,17,58.82352941176471,31.8,27.02352941176471,7,112,0.017495752263162096,0.20644987670531276,False
レイトギャップ,6,False,戦姫絶唱シンフォギア 正義の歌,other,21,47.61904761904761,23.421588594704684,24.19745902434293,8,111,0.014236931807867483,0.20644987670531276,False
レイトギャップ,6,False,ひぐらしのなく頃に 業,bt,11,54.54545454545454,30.64516129032258,23.90029325513196,9,110,0.09611684559926041,0.6259434939283396,False
レイトギャップ,6,False,甲鉄城のカバネリ,other,18,55.55555555555556,34.686346863468636,20.86920869208692,10,109,0.07803206676355287,0.6054082684704674,False
レイトギャップ,6,False,北斗の拳 転生の章2,other,78,48.717948717948715,28.275551553354344,20.44239716459437,11,108,6.826385621186163e-05,0.008055135032999672,True
レイトギャップ,6,False,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,other,14,50.0,30.878859857482183,19.121140142517817,12,107,0.1423363536731184,0.6607039949864466,False
レイトギャップ,6,False,機動戦士ガンダムSEED,other,26,46.15384615384615,27.04,19.113846153846154,13,106,0.026189937111977625,0.2600272487272368,False
レイトギャップ,6,False,ソードアート・オンライン,other,15,46.666666666666664,27.76349614395887,18.903170522707793,14,105,0.1400268364002512,0.6607039949864466,False
レイトギャップ,6,False,新ハナビ,bt,16,43.75,28.09611829944547,15.653881700554528,15,104,0.1644635698150062,0.6607039949864466,False
レイトギャップ,6,False,ファミスタ回胴版!!,bt,9,44.44444444444444,29.545454545454547,14.898989898989896,16,103,0.29525232549866914,0.7573864001922382,False
レイトギャップ,6,False,ダンベル何キロ持てる？,other,25,36.0,21.524663677130047,14.475336322869953,17,102,0.08208925674175828,0.6054082684704674,False
レイトギャップ,6,False,スマスロ ハナビ,bt,16,37.5,23.46723044397463,14.032769556025372,18,101,0.2285484816297902,0.6742180208078811,False
レイトギャップ,6,False,うしおととら 白面決戦,other,8,50.0,36.03603603603604,13.963963963963963,19,100,0.46633532177529524,0.9742829061384982,False
レイトギャップ,6,False,ダーリン・イン・ザ・フランキス,other,20,40.0,26.22641509433962,13.773584905660378,20,99,0.19650982769252576,0.6607039949864466,False
レイトギャップ,6,False,ウルトラミラクルジャグラー,jug,60,38.333333333333336,24.864572047670638,13.468761285662698,21,98,0.015804192105871064,0.20644987670531276,False
レイトギャップ,6,False,HEY！エリートサラリーマン鏡,other,24,45.83333333333333,32.69230769230769,13.141025641025635,22,97,0.18844410421649913,0.6607039949864466,False
レイトギャップ,6,False,わたしの幸せな結婚,other,21,38.095238095238095,25.987525987525988,12.107712107712107,23,96,0.20903358562943988,0.6607039949864466,False
レイトギャップ,6,False,緑ドン VIVA!情熱南米編 REVIVAL,other,21,38.095238095238095,26.4990328820116,11.596205213226494,24,95,0.21642597179923875,0.6607039949864466,False
レイトギャップ,6,False, サラリーマン金太郎,other,10,40.0,28.825622775800714,11.174377224199286,25,94,0.484238728077006,0.9742829061384982,False
レイトギャップ,6,False,ヱヴァンゲリヲン ～約束の扉～,bt,19,36.84210526315789,25.800376647834273,11.041728615323617,26,93,0.2901107383785879,0.7573864001922382,False
レイトギャップ,6,False,甲鉄城のカバネリ 海門(うなと)決戦,other,27,40.74074074074074,29.935622317596568,10.805118423144172,27,92,0.21011714070741377,0.6607039949864466,False
レイトギャップ,6,False,革命機ヴァルヴレイヴ2,other,98,42.857142857142854,32.653804149981795,10.203338707161059,28,91,0.03026111056866261,0.27467777285401446,False
レイトギャップ,6,False,マギアレコード 魔法少女まどか☆マギカ外伝,other,52,42.30769230769231,32.136222910216716,10.17146939747559,29,90,0.1352110299651606,0.6607039949864466,False
レイトギャップ,6,False,シャーマンキング,other,15,40.0,29.954954954954953,10.045045045045047,30,89,0.40050625937369966,0.8916931812471048,False
レイトギャップ,6,False,チバリヨ2プラス,other,51,39.21568627450981,29.64824120603015,9.567445068479657,31,88,0.12507615848026782,0.6607039949864466,False
レイトギャップ,6,False,咲‐Saki‐ 頂上決戦,other,21,38.095238095238095,28.793774319066145,9.30146377617195,32,87,0.33662168703185424,0.8275283139533083,False
レイトギャップ,6,False,回胴黙示録カイジ 狂宴,other,14,42.857142857142854,33.76623376623377,9.090909090909086,33,86,0.5716844302356816,0.9920406289383886,False
レイトギャップ,6,False,ToLOVEるダークネス TRANCE ver.8.7,other,39,43.58974358974359,34.56345634563456,9.026287244109028,34,85,0.2384971998597343,0.6747948415354319,False
