hall,machine_name,n_machine_days,baseline_plus_rate,baseline_hit104_rate,diff_p,diff_effect,plus_p,plus_effect,hit104_p,hit104_effect
みとや,甲鉄城のカバネリ,1649,40.39,34.32,0.2763352992437682,0.0025420643393471586,0.15325472588406047,0.06900157992352399,0.44519061443229885,0.015268206543025064
みとや,甲鉄城のカバネリ 海門(うなと)決戦,1092,44.87,37.82,0.02728592543992239,0.015382231957268075,0.07808143294173153,0.10196275496210654,0.0062540226191443605,0.14340352343519058
みとや,ジャグラーガールズ,3211,39.61,23.45,0.0009677229489946723,0.009377698596893249,4.79353953416105e-07,0.1299602961121981,0.005705197671160221,0.08491058304798409
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,830,38.43,25.42,0.0072167310537486346,0.027805842671739613,0.0006193716743682265,0.19453857268134664,0.00024241999309770082,0.20436672959207217
蒲田7,甲鉄城のカバネリ,1908,50.1,44.03,0.00011151865784964454,0.019856743070267708,0.0014350516283788946,0.12198420138386011,0.01911670305938228,0.09753769781309071
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,3133,40.25,34.85,0.020309126518007183,0.005680519956106192,0.5246720344487216,0.0,0.39914075179748604,0.02030067073669053
蒲田7,ジャグラーガールズ,3166,41.72,27.7,0.0005684727133964483,0.010115414068571613,0.00017120304621424354,0.10639618750160977,0.004126224676444629,0.08782181679603049
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,705,34.89,24.96,0.2550737238982564,0.006919786648563951,0.4037483491870757,0.04121617745355023,0.4662925426759734,0.0
蒲田1,甲鉄城のカバネリ,1621,48.43,42.75,6.889026002757089e-05,0.02444000366522562,7.867642893101123e-06,0.16805233038082693,0.0031119735627700832,0.12542502734292857
蒲田1,甲鉄城のカバネリ 海門(うなと)決戦,1024,39.84,34.96,0.6242956474497621,0.0,0.936792598381253,0.0,0.9093886725365702,0.0
蒲田1,ジャグラーガールズ,2782,39.36,24.55,0.049958227174268566,0.005007997419461238,0.013782485358260002,0.08383606472640495,0.0024223623907158147,0.0975063918860206
蒲田1,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,471,36.52,26.11,0.05045136351428986,0.03120368706349767,0.23291387759860122,0.10525734921108176,0.15906349617392804,0.1270095180634104
楽園,甲鉄城のカバネリ,3486,41.31,35.57,0.06795944938079695,0.0035490163626930343,0.05889533976523116,0.06099660598977528,0.06782075543811922,0.059320702084356164
楽園,甲鉄城のカバネリ 海門(うなと)決戦,1466,38.68,30.49,0.9004015061490979,0.0,0.3138605870900181,0.046598369007069915,0.6418902103661226,0.0
楽園,ジャグラーガールズ,2147,39.59,25.24,0.396211681043919,0.0006589443333069529,0.3581643772878291,0.03193536750571521,0.8235616392544163,0.0
楽園,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,959,36.6,28.26,0.03789439579721841,0.01625671947472169,0.13963681161928682,0.09348977229874576,0.30027893975643133,0.06037652018128981
