hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
ARROW,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-19,,,,,empty,,,,,,,,False,False,skip: window0_n=42 < 200; window1_n=0 < 200
ARROW,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-19,,,,,empty,,,,,,,,False,False,skip: window0_n=42 < 200; window1_n=0 < 200
ARROW,SHAKE BONUS TRIGGER,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=88 < 200; window1_n=179 < 200
ARROW,SHAKE BONUS TRIGGER,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=88 < 200; window1_n=179 < 200
ARROW,いざ！番長,hit104,2026-04-01..2026-06-29,363,0.3877488585158653,0.06411244988488296,20.0,2026-01-01..2026-03-31,867,0.4258261989886326,0.029516645380522004,14.0,30,0.18434261815252267,0.32947382808404674,False,False,
ARROW,いざ！番長,plus,2026-04-01..2026-06-29,363,0.3943052332711744,0.06109216394628052,22.0,2026-01-01..2026-03-31,867,0.47115393103737047,0.0,1.0,30,0.3296850651820113,0.07521515335723471,False,False,
ARROW,うみねこのなく頃に2,hit104,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=28 < 200
ARROW,うみねこのなく頃に2,plus,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window0_n=83 < 200; window1_n=28 < 200
ARROW,かぐや様は告らせたい,hit104,2026-04-01..2026-06-29,367,0.7208095626702341,0.0,21.0,2026-01-01..2026-03-31,442,0.4632640502669466,0.0,10.0,31,0.15223940100971503,0.4135958627678228,False,False,
ARROW,かぐや様は告らせたい,plus,2026-04-01..2026-06-29,367,0.8256309276845221,0.0,21.0,2026-01-01..2026-03-31,442,0.5584549929512372,0.0,10.0,31,-0.08049602881264234,0.6668574823909881,False,False,
ARROW,からくりサーカス,hit104,2026-03-30..2026-06-27,,,,,2025-12-30..2026-03-29,,,,,,,,False,False,skip: window0_n=44 < 200; window1_n=132 < 200
ARROW,からくりサーカス,plus,2026-03-30..2026-06-27,,,,,2025-12-30..2026-03-29,,,,,,,,False,False,skip: window0_n=44 < 200; window1_n=132 < 200
ARROW,アクダマドライブ,hit104,2026-05-06..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=47 < 200; window1_n=0 < 200
ARROW,アクダマドライブ,plus,2026-05-06..2026-06-29,,,,,empty,,,,,,,,False,False,skip: window0_n=47 < 200; window1_n=0 < 200
ARROW,アズールレーン THE ANIMATION,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=82 < 200; window1_n=90 < 200
ARROW,アズールレーン THE ANIMATION,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=82 < 200; window1_n=90 < 200
ARROW,アレックス ブライト,hit104,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=122 < 200; window1_n=179 < 200
ARROW,アレックス ブライト,plus,2026-04-01..2026-06-29,,,,,2026-01-01..2026-03-31,,,,,,,,False,False,skip: window0_n=122 < 200; window1_n=179 < 200
