hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
レイトギャップ,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=55 < 200; window1_n=0 < 200
レイトギャップ,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=55 < 200; window1_n=0 < 200
レイトギャップ,HEY！エリートサラリーマン鏡,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=38 < 200; window1_n=107 < 200
レイトギャップ,HEY！エリートサラリーマン鏡,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=38 < 200; window1_n=107 < 200
レイトギャップ,SHAKE BONUS TRIGGER,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=89 < 200; window1_n=90 < 200
レイトギャップ,SHAKE BONUS TRIGGER,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=89 < 200; window1_n=90 < 200
レイトギャップ,ToLOVEるダークネス TRANCE ver.8.7,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=135 < 200
レイトギャップ,ToLOVEるダークネス TRANCE ver.8.7,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=135 < 200
レイトギャップ,いざ！番長,hit104,2026-04-02..2026-06-30,340,0.3604627962105148,0.07803174947305345,6.0,2026-01-02..2026-04-01,356,0.7437643723604831,0.0,24.0,31,0.17236503966098987,0.35381439278176463,False,False,
レイトギャップ,いざ！番長,plus,2026-04-02..2026-06-30,340,0.5169135702383126,0.0,6.0,2026-01-02..2026-04-01,356,0.7687849180112201,0.0,16.0,31,0.2963107644981101,0.10553821129855812,False,False,
