hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_dd,window1_range,window1_n,window1_p,window1_effect,window1_top_dd,n_common_dd_levels,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
蒲田1,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=54 < 200; window1_n=0 < 200
蒲田1,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=54 < 200; window1_n=0 < 200
蒲田1,HEY！エリートサラリーマン鏡,hit104,2026-04-04..2026-06-30,,,,,2026-01-02..2026-03-30,,,,,,,,False,False,skip: window0_n=56 < 200; window1_n=116 < 200
蒲田1,HEY！エリートサラリーマン鏡,plus,2026-04-04..2026-06-30,,,,,2026-01-02..2026-03-30,,,,,,,,False,False,skip: window0_n=56 < 200; window1_n=116 < 200
蒲田1,SHAKE BONUS TRIGGER,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=103 < 200; window1_n=130 < 200
蒲田1,SHAKE BONUS TRIGGER,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=103 < 200; window1_n=130 < 200
蒲田1,ToLOVEるダークネス TRANCE ver.8.7,hit104,2026-04-02..2026-06-30,285,0.19763438755220936,0.14798248316250978,30.0,2026-01-02..2026-04-01,418,0.13234691298598358,0.14393110107048715,12.0,31,-0.07846944363659496,0.6747825353676994,False,False,
蒲田1,ToLOVEるダークネス TRANCE ver.8.7,plus,2026-04-02..2026-06-30,285,0.2513990979342506,0.12804788817268023,30.0,2026-01-02..2026-04-01,418,0.14753791167012142,0.1386361680461328,30.0,31,0.008425542681434254,0.9641197843986239,False,False,
蒲田1,いざ！番長,hit104,2026-04-02..2026-06-30,299,0.12838691050188566,0.17166526812187577,3.0,2026-01-02..2026-04-01,555,0.8377200834978166,0.0,17.0,31,-0.30267145918759764,0.09791818951308391,False,False,
蒲田1,いざ！番長,plus,2026-04-02..2026-06-30,299,0.2665455467234107,0.11959933211412327,3.0,2026-01-02..2026-04-01,555,0.8640235205785283,0.0,17.0,31,-0.23934830416614308,0.19469426076885998,False,False,
蒲田1,うみねこのなく頃に2,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=61 < 200
蒲田1,うみねこのなく頃に2,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=61 < 200
蒲田1,かぐや様は告らせたい,hit104,2026-04-02..2026-06-30,248,0.25105737329866373,0.13720623267868529,28.0,2026-01-02..2026-04-01,499,0.005184162588052133,0.21709071359165777,19.0,31,-0.10801534302266619,0.5630033764259986,False,False,
蒲田1,かぐや様は告らせたい,plus,2026-04-02..2026-06-30,248,0.48084133208956525,0.0,28.0,2026-01-02..2026-04-01,499,0.00727398496476192,0.21077875824776313,19.0,31,-0.1496861962152451,0.4215632928433644,False,False,
蒲田1,からくりサーカス,hit104,2026-04-03..2026-06-30,221,0.9464909876509242,0.0,11.0,2026-01-02..2026-04-01,359,0.2334531132669125,0.12019546506157484,29.0,31,-0.05931456909718737,0.7512759428776585,False,False,
蒲田1,からくりサーカス,plus,2026-04-03..2026-06-30,221,0.9303135857504305,0.0,8.0,2026-01-02..2026-04-01,359,0.13870570441677796,0.15280608881369354,27.0,31,-0.0725865408527226,0.6979795457945462,False,False,
蒲田1,アクダマドライブ,hit104,2026-05-06..2026-06-07,,,,,empty,,,,,,,,False,False,skip: window0_n=55 < 200; window1_n=0 < 200
蒲田1,アクダマドライブ,plus,2026-05-06..2026-06-07,,,,,empty,,,,,,,,False,False,skip: window0_n=55 < 200; window1_n=0 < 200
蒲田1,アズールレーン THE ANIMATION,hit104,2026-04-02..2026-06-30,229,0.5237789713647506,0.0,31.0,2026-01-02..2026-04-01,251,0.5384655098009192,0.0,16.0,31,0.23477187515523132,0.2036236789556,False,False,
蒲田1,アズールレーン THE ANIMATION,plus,2026-04-02..2026-06-30,229,0.5439327764036845,0.0,31.0,2026-01-02..2026-04-01,251,0.6820995297817968,0.0,16.0,31,-0.006714519472694428,0.9714028524149624,False,False,
蒲田1,アレックス ブライト,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=79 < 200; window1_n=61 < 200
蒲田1,アレックス ブライト,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=79 < 200; window1_n=61 < 200
蒲田1,ウルトラミラクルジャグラー,hit104,2026-04-02..2026-06-30,356,0.2549710562575099,0.11361159412955385,30.0,2026-01-02..2026-04-01,360,0.6177057716310023,0.0,25.0,31,-0.18374199835728885,0.3224435787507358,False,False,
蒲田1,ウルトラミラクルジャグラー,plus,2026-04-02..2026-06-30,356,0.8662127802359595,0.0,7.0,2026-01-02..2026-04-01,360,0.7213216984262949,0.0,4.0,31,0.03725993636523636,0.8422641369558027,False,False,
蒲田1,キングハナハナ-30,hit104,2026-04-02..2026-06-30,848,0.38065932709965594,0.04459760726986736,29.0,2026-01-02..2026-04-01,836,0.25768859909090097,0.0738886629175832,12.0,31,-0.08563341504614183,0.6469262517428747,False,False,
蒲田1,キングハナハナ-30,plus,2026-04-02..2026-06-30,848,0.12340794569873094,0.10347532673828838,31.0,2026-01-02..2026-04-01,836,0.6641801997699937,0.0,14.0,31,0.2240420687422879,0.22565501988500059,False,False,
蒲田1,ゴッドイーター リザレクション,hit104,2026-04-02..2026-06-30,500,0.7301006773734722,0.0,19.0,2026-01-02..2026-04-01,635,0.27812160057135416,0.07963551384474334,25.0,31,0.07211395767921522,0.6998549865430231,False,False,
蒲田1,ゴッドイーター リザレクション,plus,2026-04-02..2026-06-30,500,0.3952054425312973,0.052111877073382974,19.0,2026-01-02..2026-04-01,635,0.17374990654991282,0.1056003839375444,25.0,31,0.005753507650184302,0.9754944819629496,False,False,
蒲田1,ゴーゴージャグラー3,hit104,2026-04-02..2026-06-30,1313,0.558996014344569,0.0,1.0,2026-01-02..2026-04-01,1324,0.5377982460090012,0.0,3.0,31,-0.27666473344453535,0.13189059943976444,False,False,
蒲田1,ゴーゴージャグラー3,plus,2026-04-02..2026-06-30,1313,0.826314926196125,0.0,31.0,2026-01-02..2026-04-01,1324,0.23119987058337524,0.06327456465850809,17.0,31,-0.028322030600174554,0.8797861462453765,False,False,
蒲田1,シャーマンキング,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=154 < 200; window1_n=187 < 200
蒲田1,シャーマンキング,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=154 < 200; window1_n=187 < 200
蒲田1,ジャグラーガールズ,hit104,2026-04-02..2026-06-30,354,0.13763554175483017,0.15428134728082085,13.0,2026-01-02..2026-04-01,358,0.02253339412132669,0.22048707074872595,30.0,31,0.3161441565302129,0.08316058616352952,False,False,
蒲田1,ジャグラーガールズ,plus,2026-04-02..2026-06-30,354,0.3974053686946358,0.060324702970389894,13.0,2026-01-02..2026-04-01,358,0.15521784711392905,0.14691946849539939,30.0,31,0.21937561878621412,0.23572128226917913,False,False,
蒲田1,スマスロ サンダーV,hit104,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window0_n=102 < 200; window1_n=2 < 200
蒲田1,スマスロ サンダーV,plus,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window0_n=102 < 200; window1_n=2 < 200
蒲田1,スマスロ ハナビ,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=84 < 200
蒲田1,スマスロ ハナビ,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=84 < 200
蒲田1,スマスロ北斗の拳,hit104,2026-04-02..2026-06-30,884,3.0327703473633715e-05,0.21674675862235285,17.0,2026-01-02..2026-04-01,970,0.0007696982097547419,0.17773086308898364,1.0,31,0.06776410050318939,0.7171975705553185,True,False,
蒲田1,スマスロ北斗の拳,plus,2026-04-02..2026-06-30,884,0.00017151427501759564,0.20134795378595854,17.0,2026-01-02..2026-04-01,970,0.0010071495512756492,0.17491406618645525,1.0,31,0.18378051614635346,0.32234038458485054,True,False,
蒲田1,スマスロ炎炎ノ消防隊2,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=145 < 200
蒲田1,スマスロ炎炎ノ消防隊2,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=145 < 200
蒲田1,スマート沖スロ ドラゴンハナハナ～閃光～,hit104,2026-04-02..2026-06-30,333,0.18780796666853003,0.14047689538178143,9.0,2026-01-02..2026-04-01,331,0.7978200182596431,0.0,19.0,31,-0.2844427352024965,0.12093468458895537,False,False,
蒲田1,スマート沖スロ ドラゴンハナハナ～閃光～,plus,2026-04-02..2026-06-30,333,0.07731323096781906,0.18624394919313836,5.0,2026-01-02..2026-04-01,331,0.21614903648086137,0.131031957336062,19.0,31,-0.24954411875754107,0.1757878062022097,False,False,
蒲田1,スーパーブラックジャック,hit104,2026-04-02..2026-06-30,344,0.5011675947748369,0.0,20.0,2026-01-02..2026-04-01,409,0.688227458756099,0.0,16.0,31,0.14829478998584725,0.42594089050356804,False,False,
蒲田1,スーパーブラックジャック,plus,2026-04-02..2026-06-30,344,0.4346839814379313,0.03908473874718359,20.0,2026-01-02..2026-04-01,409,0.7900111997022502,0.0,16.0,31,0.0923389717778363,0.6212694813400991,False,False,
蒲田1,スーパーリオエース2,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=59 < 200; window1_n=0 < 200
蒲田1,スーパーリオエース2,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=59 < 200; window1_n=0 < 200
蒲田1,ソードアート・オンライン,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=147 < 200; window1_n=182 < 200
蒲田1,ソードアート・オンライン,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=147 < 200; window1_n=182 < 200
蒲田1,タクトオーパス デスティニー,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=18 < 200; window1_n=0 < 200
蒲田1,タクトオーパス デスティニー,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=18 < 200; window1_n=0 < 200
蒲田1,チバリヨ2プラス,hit104,2026-04-02..2026-06-30,232,0.22631309617570675,0.15189300991394253,1.0,2026-01-02..2026-04-01,204,0.25851784701369734,0.14764280129360308,13.0,30,0.21776516762760545,0.24767872964676516,False,False,
蒲田1,チバリヨ2プラス,plus,2026-04-02..2026-06-30,232,0.19391862046741584,0.16532277529528816,1.0,2026-01-02..2026-04-01,204,0.2829139196007467,0.13682490884501727,13.0,30,0.2252726916870013,0.23134546462474564,False,False,
蒲田1,ディスクアップ ULTRAREMIX,hit104,2026-04-02..2026-06-30,,,,,2026-01-07..2026-04-01,,,,,,,,False,False,skip: window0_n=124 < 200; window1_n=96 < 200
蒲田1,ディスクアップ ULTRAREMIX,plus,2026-04-02..2026-06-30,,,,,2026-01-07..2026-04-01,,,,,,,,False,False,skip: window0_n=124 < 200; window1_n=96 < 200
蒲田1,デビル メイ クライ5 スタイリッシュトライブ,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=146 < 200; window1_n=163 < 200
蒲田1,デビル メイ クライ5 スタイリッシュトライブ,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=146 < 200; window1_n=163 < 200
蒲田1,ドッチ,hit104,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=40 < 200; window1_n=0 < 200
蒲田1,ドッチ,plus,2026-05-20..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=40 < 200; window1_n=0 < 200
蒲田1,ネオアイムジャグラーEX,hit104,2026-04-02..2026-06-30,1938,0.1966794941845395,0.05720942071433638,29.0,2026-01-02..2026-04-01,1965,0.8492451880986353,0.0,27.0,31,0.10408251069946016,0.5773842425384784,False,False,
蒲田1,ネオアイムジャグラーEX,plus,2026-04-02..2026-06-30,1938,0.6213915776681416,0.0,9.0,2026-01-02..2026-04-01,1965,0.6852023034546171,0.0,18.0,31,-0.05721217752842572,0.7598299788428046,False,False,
蒲田1,ハッピージャグラーVIII,hit104,2026-04-02..2026-06-30,795,0.9778725315822562,0.0,1.0,2026-01-02..2026-04-01,801,0.36267081623097097,0.05083393845883915,5.0,31,0.18517778915457464,0.3186107126316024,False,False,
蒲田1,ハッピージャグラーVIII,plus,2026-04-02..2026-06-30,795,0.7371436602634613,0.0,31.0,2026-01-02..2026-04-01,801,0.16679060194756132,0.09569342140666186,5.0,31,0.1573366985896305,0.39794466319953503,False,False,
蒲田1,バイオハザード RE:3,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=88 < 200; window1_n=0 < 200
蒲田1,バイオハザード RE:3,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=88 < 200; window1_n=0 < 200
蒲田1,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,hit104,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window0_n=141 < 200; window1_n=2 < 200
蒲田1,バジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,plus,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window0_n=141 < 200; window1_n=2 < 200
蒲田1,ビッグドリーム THE GOLDEN PUSHER,hit104,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=55 < 200; window1_n=0 < 200
蒲田1,ビッグドリーム THE GOLDEN PUSHER,plus,2026-06-10..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=55 < 200; window1_n=0 < 200
蒲田1,ファンキージャグラー2,hit104,2026-04-02..2026-06-30,1052,0.5537072514830139,0.0,30.0,2026-01-02..2026-04-01,1076,2.1619897391774373e-05,0.19899348561474303,28.0,31,-0.10587305458876975,0.5708166061853341,False,False,
蒲田1,ファンキージャグラー2,plus,2026-04-02..2026-06-30,1052,0.007965911961280426,0.14398995997185188,31.0,2026-01-02..2026-04-01,1076,0.014500156961354947,0.13404150974317802,28.0,31,0.08569709645123788,0.6466806540896225,True,False,
蒲田1,マイジャグラーV,hit104,2026-04-02..2026-06-30,2206,0.006652551585558229,0.10108059273554185,13.0,2026-01-02..2026-04-01,2246,0.05998996312221077,0.07571659465687554,11.0,31,0.16858877051519627,0.36461728350113604,True,False,
蒲田1,マイジャグラーV,plus,2026-04-02..2026-06-30,2206,0.14758910617014606,0.06050059729978213,13.0,2026-01-02..2026-04-01,2246,0.0019648725960836988,0.1101122435877592,11.0,31,0.27720969183940747,0.1311000584659344,False,False,
蒲田1,マギアレコード 魔法少女まどか☆マギカ外伝,hit104,2026-04-02..2026-06-30,488,0.4357929885206104,0.03291706520184765,12.0,2026-01-02..2026-04-01,596,0.053343495205581584,0.15012150151922077,6.0,31,0.1485818297638818,0.42503576444097524,False,False,
蒲田1,マギアレコード 魔法少女まどか☆マギカ外伝,plus,2026-04-02..2026-06-30,488,0.11567112920053242,0.13894863689849193,9.0,2026-01-02..2026-04-01,596,0.1028094807660292,0.13000681315697532,9.0,31,0.061894189216004473,0.7408197168063396,False,False,
蒲田1,ミスタージャグラー,hit104,2026-04-02..2026-06-30,353,0.5401254425910307,0.0,7.0,2026-01-02..2026-04-01,357,0.16960183204359305,0.14200410253572068,30.0,31,-0.3000673657478892,0.10098585839071195,False,False,
蒲田1,ミスタージャグラー,plus,2026-04-02..2026-06-30,353,0.477292958556071,0.0,5.0,2026-01-02..2026-04-01,357,0.15312560742431258,0.14788226268552637,30.0,31,-0.10218879718385647,0.5843667363408475,False,False,
