hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
ザシティ,土,bt,13,4,9,0.3076923076923077,-3.0560076549479285,-2.9794149512459356
ザシティ,土,jug,9,3,6,0.3333333333333333,-0.7188231645437243,-1.5147069098022783
ザシティ,土,other,47,22,25,0.46808510638297873,-0.2513796122042415,-0.5226824457593686
ザシティ,日,bt,13,6,7,0.46153846153846156,1.0214750202504232,-0.8403361344537785
ザシティ,日,jug,9,5,4,0.5555555555555556,-0.4204711009016846,0.2776125322228822
ザシティ,日,other,47,20,27,0.425531914893617,-0.7202999789949829,-0.6086427267194168
ザシティ,月,bt,13,6,7,0.46153846153846156,0.42704518720806384,-0.1384466288245889
ザシティ,月,jug,9,5,4,0.5555555555555556,0.791519452944907,1.079500553184765
ザシティ,月,other,47,22,25,0.46808510638297873,1.436157822958335,-0.3463203463203506
ザシティ,木,bt,13,7,6,0.5384615384615384,1.874927332280563,0.11522890065400304
ザシティ,木,jug,9,7,2,0.7777777777777778,2.1676030308687486,1.9351679008800176
ザシティ,木,other,47,26,21,0.5531914893617021,1.0444290498979993,0.5072700679686761
ザシティ,水,bt,13,4,9,0.3076923076923077,-1.5955126840995675,-2.927215189873415
ザシティ,水,jug,9,5,4,0.5555555555555556,-0.9287096712723437,0.0597812488830094
ザシティ,水,other,47,20,27,0.425531914893617,-1.8228935225156255,-0.9983602351445136
ザシティ,火,bt,13,8,5,0.6153846153846154,-0.41231255016495977,0.6521739130434767
ザシティ,火,jug,9,5,4,0.5555555555555556,-0.2892890276087255,0.13354015899722782
ザシティ,火,other,47,25,22,0.5319148936170213,-0.2544492345621554,0.19862021974277866
ザシティ,金,bt,13,8,5,0.6153846153846154,2.185316758892104,3.054187192118224
ザシティ,金,jug,9,4,5,0.4444444444444444,-0.6099113962304402,-1.356540349993704
ザシティ,金,other,47,24,23,0.5106382978723404,1.153748424337249,0.1896633475580849
