hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
ヒロキ,土,bt,23,13,10,0.5652173913043478,-1.4627792370742883,0.8333333333333321
ヒロキ,土,jug,8,4,4,0.5,-1.257020904797428,-0.8053290348170172
ヒロキ,土,other,82,35,47,0.4268292682926829,-0.40646346137578776,-1.1327643356483552
ヒロキ,日,bt,23,8,15,0.34782608695652173,-1.3206988301302012,-1.1694024246325476
ヒロキ,日,jug,8,2,6,0.25,-2.260498265911849,-2.817809120432745
ヒロキ,日,other,82,38,44,0.4634146341463415,0.06104635620554108,-0.4565347156950832
ヒロキ,月,bt,23,11,12,0.4782608695652174,-0.6977548472807314,-0.7294117647058833
ヒロキ,月,jug,8,3,5,0.375,-0.4021544739505596,-0.38818753820904917
ヒロキ,月,other,82,44,38,0.5365853658536586,-0.16412724615685903,0.47526477905513076
ヒロキ,木,bt,23,15,8,0.6521739130434783,1.0731862044348472,1.9919062385031765
ヒロキ,木,jug,8,5,3,0.625,-0.13175035014366498,0.9419904697288981
ヒロキ,木,other,82,39,43,0.47560975609756095,-0.05963089030228089,-0.3338813985998943
ヒロキ,水,bt,23,11,12,0.4782608695652174,-0.08537818475949151,-0.010244052351982447
ヒロキ,水,jug,8,8,0,1.0,2.232909076971795,1.777071625179321
ヒロキ,水,other,82,43,39,0.524390243902439,0.0410467730558718,0.35577098600901635
ヒロキ,火,bt,23,17,6,0.7391304347826086,2.9782685292085427,3.0125819599503814
ヒロキ,火,jug,8,6,2,0.75,0.8346933723003409,1.07175722623343
ヒロキ,火,other,82,42,40,0.5121951219512195,0.8164612148562135,0.12306424071129918
ヒロキ,金,bt,23,12,11,0.5217391304347826,0.04638335536966633,0.4039571310799701
ヒロキ,金,jug,8,5,3,0.625,1.6250770598731181,2.016231094813433
ヒロキ,金,other,82,43,39,0.524390243902439,0.6197945411868043,0.034070048046148216
