hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
レイトギャップ,土,bt,23,15,8,0.6521739130434783,2.5264237334691253,2.2187500000000036
レイトギャップ,土,hana,1,0,1,0.0,-1.5592772873525291,-1.5592772873525291
レイトギャップ,土,jug,8,4,4,0.5,0.2857593799791496,-0.02616247045875575
レイトギャップ,土,oki,4,2,2,0.5,0.4367075004322931,0.10659937944685538
レイトギャップ,土,other,96,55,41,0.5729166666666666,0.8702076185885564,1.559227243682896
レイトギャップ,日,bt,23,7,16,0.30434782608695654,-1.3495338213568788,-2.8673835125448015
レイトギャップ,日,hana,1,0,1,0.0,-8.010890190578333,-8.010890190578333
レイトギャップ,日,jug,8,1,7,0.125,-1.4717972534809376,-1.2349589736341446
レイトギャップ,日,oki,4,2,2,0.5,-1.3660027090240092,-0.5319311585133661
レイトギャップ,日,other,96,44,52,0.4583333333333333,-0.4161487021572062,-0.5702277977385197
レイトギャップ,月,bt,23,13,10,0.5652173913043478,2.042975630128036,2.7851002865329555
レイトギャップ,月,hana,1,1,0,1.0,3.543362008835153,3.543362008835153
レイトギャップ,月,jug,8,5,3,0.625,1.5935862154661753,1.3184914058080786
レイトギャップ,月,oki,4,2,2,0.5,-0.5117907205252932,-0.746395352741871
レイトギャップ,月,other,96,46,50,0.4791666666666667,0.4650748372634956,-0.32248743410151093
レイトギャップ,木,bt,23,12,11,0.5217391304347826,-1.0399834570728184,0.3907915304817351
レイトギャップ,木,hana,1,1,0,1.0,14.1437050620084,14.1437050620084
レイトギャップ,木,jug,8,2,6,0.25,0.03871011044691919,-0.4709517788326174
レイトギャップ,木,oki,4,2,2,0.5,-0.7365905629734506,-0.6668319341527287
レイトギャップ,木,other,96,40,56,0.4166666666666667,-0.3079072192599,-0.7892185109401915
レイトギャップ,水,bt,23,7,16,0.30434782608695654,-4.8849341267387505,-2.8350149211311653
レイトギャップ,水,hana,1,1,0,1.0,0.6342710997442502,0.6342710997442502
レイトギャップ,水,jug,8,6,2,0.75,0.707532389124053,0.8758252457465687
レイトギャップ,水,oki,4,3,1,0.75,0.4143463657127837,1.5297671651262732
レイトギャップ,水,other,96,41,55,0.4270833333333333,-0.5520799295089911,-0.8548744858441957
レイトギャップ,火,bt,23,15,8,0.6521739130434783,4.358471740425506,3.501180173092056
レイトギャップ,火,hana,1,1,0,1.0,0.41204887752202524,0.41204887752202524
レイトギャップ,火,jug,8,1,7,0.125,-0.8017029625762224,-1.3820022451823455
レイトギャップ,火,oki,4,1,3,0.25,-0.47585774084923926,-0.7180497028675212
レイトギャップ,火,other,96,50,46,0.5208333333333334,-0.3873128009145628,0.16095596268842094
レイトギャップ,金,bt,23,8,15,0.34782608695652173,-1.3350704624753278,-2.663578459756806
レイトギャップ,金,hana,1,0,1,0.0,-7.365728900255753,-7.365728900255753
レイトギャップ,金,jug,8,4,4,0.5,-0.33803720156127115,0.11554048700558717
レイトギャップ,金,oki,4,4,0,1.0,2.1319348940415352,1.380112351693061
レイトギャップ,金,other,96,52,44,0.5416666666666666,0.5431288142825639,0.4608089034147067
