hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
楽園,土,bt,34,9,25,0.2647058823529412,-2.623496291459671,-2.361468007441598
楽園,土,hana,3,1,2,0.3333333333333333,-1.0831315379421735,-1.6851987226347624
楽園,土,jug,7,3,4,0.42857142857142855,-0.7044397257616016,-0.3714231286092762
楽園,土,oki,3,2,1,0.6666666666666666,0.8670472337775313,1.4574726414463797
楽園,土,other,134,61,73,0.4552238805970149,-0.17215833485690124,-0.3123088700065164
楽園,日,bt,34,8,26,0.23529411764705882,-2.2295473275584734,-2.878613042439767
楽園,日,hana,3,0,3,0.0,-3.9729527626424272,-4.986096972439018
楽園,日,jug,7,1,6,0.14285714285714285,-1.992011715558659,-2.0516464958680842
楽園,日,oki,3,2,1,0.6666666666666666,2.100223635421745,1.3304217897351123
楽園,日,other,134,45,89,0.3358208955223881,-1.302005120556136,-2.1314683682236204
楽園,月,bt,34,18,16,0.5294117647058824,0.49653161401839524,0.0934783173451077
楽園,月,hana,3,3,0,1.0,1.8687311665308322,2.3295377217257176
楽園,月,jug,7,4,3,0.5714285714285714,0.6244908257875537,0.9384920010510562
楽園,月,oki,3,2,1,0.6666666666666666,1.0607654092234295,1.353864210730272
楽園,月,other,134,81,53,0.6044776119402985,1.22531988865856,0.9965802229284311
楽園,木,bt,34,24,10,0.7058823529411765,1.8353541231915929,2.28729021867802
楽園,木,hana,3,3,0,1.0,1.494737125272047,1.8210183715738246
楽園,木,jug,7,3,4,0.42857142857142855,-0.6159985854180877,-1.2643960386478135
楽園,木,oki,3,0,3,0.0,-0.7128246901724964,-0.439560439560438
楽園,木,other,134,62,72,0.4626865671641791,0.03432463632827187,-0.7903522611256371
楽園,水,bt,34,22,12,0.6470588235294118,1.5836603742476374,1.0728285467353178
楽園,水,hana,3,3,0,1.0,4.288622205932415,4.8359710722146545
楽園,水,jug,7,7,0,1.0,1.6250860944689371,0.9872589851382898
楽園,水,oki,3,1,2,0.3333333333333333,-1.7749933459399745,-0.9560843595806716
楽園,水,other,134,67,67,0.5,0.14788594658298457,0.06435664663512775
楽園,火,bt,34,24,10,0.7058823529411765,2.1718370494567845,1.8687942548857848
楽園,火,hana,3,2,1,0.6666666666666666,0.856092500997511,1.128718130311615
楽園,火,jug,7,4,3,0.5714285714285714,0.022890327811494564,0.2373435776501438
楽園,火,oki,3,1,2,0.3333333333333333,-0.7258317735508063,-0.4413417308950116
楽園,火,other,134,73,61,0.5447761194029851,0.7492154309023175,0.8054477248497189
楽園,金,bt,34,20,14,0.5882352941176471,0.02522431954364927,0.7995304401128944
楽園,金,hana,3,1,2,0.3333333333333333,-2.4072674234734137,-3.439890996750865
楽園,金,jug,7,5,2,0.7142857142857143,1.042417705289408,1.1647657632480843
楽園,金,oki,3,1,2,0.3333333333333333,-1.3049879093435155,-2.106227106227106
楽園,金,other,134,68,66,0.5074626865671642,-0.1688830223903516,0.09114896193271527
