hall,machine_name,weekday,n,hit104_rate,baseline_hit104_rate,residual,category
楽園, サラリーマン金太郎,月,34,17.647058823529413,26.222222222222225,-8.575163398692812,other
楽園, サラリーマン金太郎,火,27,25.925925925925924,26.222222222222225,-0.29629629629630116,other
楽園, サラリーマン金太郎,水,29,27.586206896551722,26.222222222222225,1.3639846743294974,other
楽園, サラリーマン金太郎,木,28,42.857142857142854,26.222222222222225,16.63492063492063,other
楽園, サラリーマン金太郎,金,30,30.0,26.222222222222225,3.777777777777775,other
楽園, サラリーマン金太郎,土,43,20.930232558139537,26.222222222222225,-5.2919896640826884,other
楽園, サラリーマン金太郎,日,34,23.52941176470588,26.222222222222225,-2.6928104575163445,other
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,月,81,33.33333333333333,34.8111658456486,-1.477832512315274,bt
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,火,67,43.28358208955223,34.8111658456486,8.47241624390363,bt
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,水,88,31.818181818181817,34.8111658456486,-2.992984027466786,bt
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,木,78,39.743589743589745,34.8111658456486,4.932423897941142,bt
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,金,91,31.868131868131865,34.8111658456486,-2.9430339775167376,bt
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,土,104,35.57692307692308,34.8111658456486,0.7657572312744776,bt
楽園,A‐SLOT+ この素晴らしい世界に祝福を！,日,100,31.0,34.8111658456486,-3.8111658456486026,bt
楽園,A‐SLOT+ 異世界かるてっと,月,16,37.5,34.21052631578947,3.2894736842105274,bt
楽園,A‐SLOT+ 異世界かるてっと,火,16,43.75,34.21052631578947,9.539473684210527,bt
楽園,A‐SLOT+ 異世界かるてっと,水,18,50.0,34.21052631578947,15.789473684210527,bt
楽園,A‐SLOT+ 異世界かるてっと,木,16,31.25,34.21052631578947,-2.9605263157894726,bt
楽園,A‐SLOT+ 異世界かるてっと,金,16,25.0,34.21052631578947,-9.210526315789473,bt
楽園,A‐SLOT+ 異世界かるてっと,土,16,18.75,34.21052631578947,-15.460526315789473,bt
楽園,A‐SLOT+ 異世界かるてっと,日,16,31.25,34.21052631578947,-2.9605263157894726,bt
楽園,GI優駿倶楽部黄金,月,24,37.5,35.05747126436782,2.4425287356321803,other
楽園,GI優駿倶楽部黄金,火,19,26.31578947368421,35.05747126436782,-8.74168179068361,other
楽園,GI優駿倶楽部黄金,水,14,28.57142857142857,35.05747126436782,-6.48604269293925,other
楽園,GI優駿倶楽部黄金,木,23,30.434782608695656,35.05747126436782,-4.622688655672164,other
楽園,GI優駿倶楽部黄金,金,24,41.66666666666667,35.05747126436782,6.609195402298852,other
楽園,GI優駿倶楽部黄金,土,34,44.11764705882353,35.05747126436782,9.06017579445571,other
楽園,GI優駿倶楽部黄金,日,36,30.555555555555557,35.05747126436782,-4.5019157088122626,other
楽園,HEY！エリートサラリーマン鏡,月,183,39.34426229508197,34.494773519163765,4.8494887759182035,other
楽園,HEY！エリートサラリーマン鏡,火,174,32.18390804597701,34.494773519163765,-2.3108654731867517,other
楽園,HEY！エリートサラリーマン鏡,水,201,34.82587064676617,34.494773519163765,0.33109712760240484,other
楽園,HEY！エリートサラリーマン鏡,木,158,26.582278481012654,34.494773519163765,-7.9124950381511105,other
楽園,HEY！エリートサラリーマン鏡,金,186,38.70967741935484,34.494773519163765,4.214903900191075,other
楽園,HEY！エリートサラリーマン鏡,土,265,36.60377358490566,34.494773519163765,2.1090000657418955,other
楽園,HEY！エリートサラリーマン鏡,日,268,32.08955223880597,34.494773519163765,-2.405221280357793,other
楽園,OVERLORD絶対支配者光臨II,月,17,52.94117647058824,30.17241379310345,22.76876267748479,other
楽園,OVERLORD絶対支配者光臨II,火,10,20.0,30.17241379310345,-10.172413793103448,other
楽園,OVERLORD絶対支配者光臨II,水,7,28.57142857142857,30.17241379310345,-1.600985221674879,other
楽園,OVERLORD絶対支配者光臨II,木,8,25.0,30.17241379310345,-5.172413793103448,other
楽園,OVERLORD絶対支配者光臨II,金,14,14.285714285714285,30.17241379310345,-15.886699507389164,other
楽園,OVERLORD絶対支配者光臨II,土,36,27.77777777777778,30.17241379310345,-2.39463601532567,other
楽園,OVERLORD絶対支配者光臨II,日,24,33.33333333333333,30.17241379310345,3.16091954022988,other
楽園,Re:ゼロから始める異世界生活 season2,月,38,31.57894736842105,25.454545454545453,6.124401913875598,other
楽園,Re:ゼロから始める異世界生活 season2,火,25,28.000000000000004,25.454545454545453,2.5454545454545503,other
楽園,Re:ゼロから始める異世界生活 season2,水,41,14.634146341463413,25.454545454545453,-10.82039911308204,other
楽園,Re:ゼロから始める異世界生活 season2,木,29,13.793103448275861,25.454545454545453,-11.661442006269592,other
楽園,Re:ゼロから始める異世界生活 season2,金,39,20.51282051282051,25.454545454545453,-4.941724941724942,other
楽園,Re:ゼロから始める異世界生活 season2,土,54,31.48148148148148,25.454545454545453,6.026936026936028,other
楽園,Re:ゼロから始める異世界生活 season2,日,49,32.6530612244898,25.454545454545453,7.198515769944343,other
楽園,SHAKE BONUS TRIGGER,月,62,29.03225806451613,32.05417607223476,-3.0219180077186287,bt
楽園,SHAKE BONUS TRIGGER,火,64,34.375,32.05417607223476,2.3208239277652396,bt
楽園,SHAKE BONUS TRIGGER,水,64,35.9375,32.05417607223476,3.8833239277652396,bt
楽園,SHAKE BONUS TRIGGER,木,62,37.096774193548384,32.05417607223476,5.042598121313624,bt
楽園,SHAKE BONUS TRIGGER,金,63,28.57142857142857,32.05417607223476,-3.482747500806191,bt
楽園,SHAKE BONUS TRIGGER,土,64,25.0,32.05417607223476,-7.05417607223476,bt
楽園,SHAKE BONUS TRIGGER,日,64,34.375,32.05417607223476,2.3208239277652396,bt
楽園,SLOTドルアーガの塔,月,54,29.629629629629626,32.45382585751979,-2.8241962278901624,bt
楽園,SLOTドルアーガの塔,火,50,34.0,32.45382585751979,1.5461741424802113,bt
楽園,SLOTドルアーガの塔,水,53,33.9622641509434,32.45382585751979,1.508438293423609,bt
楽園,SLOTドルアーガの塔,木,54,33.33333333333333,32.45382585751979,0.8795074758135399,bt
楽園,SLOTドルアーガの塔,金,55,41.81818181818181,32.45382585751979,9.364355960662024,bt
楽園,SLOTドルアーガの塔,土,57,22.807017543859647,32.45382585751979,-9.646808313660141,bt
楽園,SLOTドルアーガの塔,日,56,32.142857142857146,32.45382585751979,-0.31096871466264275,bt
楽園,Sister Quest,月,33,36.36363636363637,25.403225806451612,10.960410557184755,other
楽園,Sister Quest,火,40,25.0,25.403225806451612,-0.4032258064516121,other
楽園,Sister Quest,水,23,21.73913043478261,25.403225806451612,-3.664095371669003,other
楽園,Sister Quest,木,21,28.57142857142857,25.403225806451612,3.1682027649769573,other
楽園,Sister Quest,金,36,13.88888888888889,25.403225806451612,-11.514336917562723,other
楽園,Sister Quest,土,47,31.914893617021278,25.403225806451612,6.511667810569666,other
楽園,Sister Quest,日,48,20.833333333333336,25.403225806451612,-4.569892473118276,other
楽園,ToLOVEるダークネス,月,181,34.806629834254146,30.941358024691358,3.8652718095627883,other
楽園,ToLOVEるダークネス,火,163,28.22085889570552,30.941358024691358,-2.720499128985839,other
楽園,ToLOVEるダークネス,水,164,26.21951219512195,30.941358024691358,-4.721845829569407,other
楽園,ToLOVEるダークネス,木,156,35.256410256410255,30.941358024691358,4.315052231718898,other
楽園,ToLOVEるダークネス,金,172,31.3953488372093,30.941358024691358,0.4539908125179437,other
楽園,ToLOVEるダークネス,土,230,32.608695652173914,30.941358024691358,1.6673376274825564,other
楽園,ToLOVEるダークネス,日,230,28.26086956521739,30.941358024691358,-2.680488459473967,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,月,98,41.83673469387755,35.68147013782542,6.155264556052131,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,火,86,29.069767441860467,35.68147013782542,-6.611702695964954,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,水,85,31.76470588235294,35.68147013782542,-3.916764255472483,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,木,76,31.57894736842105,35.68147013782542,-4.10252276940437,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,金,90,32.22222222222222,35.68147013782542,-3.4592479156032,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,土,109,39.44954128440367,35.68147013782542,3.768071146578251,other
楽園,ToLOVEるダークネス TRANCE ver.8.7,日,109,40.36697247706422,35.68147013782542,4.685502339238802,other
楽園,ありふれた職業で世界最強,月,99,33.33333333333333,27.42382271468144,5.90951061865189,other
楽園,ありふれた職業で世界最強,火,88,29.545454545454547,27.42382271468144,2.121631830773108,other
楽園,ありふれた職業で世界最強,水,90,21.11111111111111,27.42382271468144,-6.312711603570328,other
楽園,ありふれた職業で世界最強,木,84,27.380952380952383,27.42382271468144,-0.04287033372905569,other
楽園,ありふれた職業で世界最強,金,108,20.37037037037037,27.42382271468144,-7.053452344311069,other
楽園,ありふれた職業で世界最強,土,126,26.984126984126984,27.42382271468144,-0.43969573055445466,other
楽園,ありふれた職業で世界最強,日,127,32.28346456692913,27.42382271468144,4.8596418522476945,other
楽園,いざ！番長,月,161,33.54037267080746,28.234265734265733,5.306106936541724,other
楽園,いざ！番長,火,162,26.543209876543212,28.234265734265733,-1.691055857722521,other
楽園,いざ！番長,水,162,27.160493827160494,28.234265734265733,-1.0737719071052396,other
楽園,いざ！番長,木,135,28.888888888888886,28.234265734265733,0.6546231546231525,other
楽園,いざ！番長,金,163,32.515337423312886,28.234265734265733,4.2810716890471525,other
楽園,いざ！番長,土,180,27.22222222222222,28.234265734265733,-1.0120435120435118,other
楽園,いざ！番長,日,181,22.65193370165746,28.234265734265733,-5.582332032608274,other
楽園,うみねこのなく頃に2,月,65,32.30769230769231,33.91304347826087,-1.6053511705685608,bt
楽園,うみねこのなく頃に2,火,62,38.70967741935484,33.91304347826087,4.7966339410939725,bt
楽園,うみねこのなく頃に2,水,68,30.88235294117647,33.91304347826087,-3.0306905370843964,bt
楽園,うみねこのなく頃に2,木,66,31.818181818181817,33.91304347826087,-2.094861660079051,bt
楽園,うみねこのなく頃に2,金,66,28.78787878787879,33.91304347826087,-5.1251646903820784,bt
楽園,うみねこのなく頃に2,土,66,37.878787878787875,33.91304347826087,3.965744400527008,bt
楽園,うみねこのなく頃に2,日,67,37.3134328358209,33.91304347826087,3.40038935756003,bt
楽園,かぐや様は告らせたい,月,502,26.89243027888446,27.35270594508131,-0.4602756661968499,other
楽園,かぐや様は告らせたい,火,491,28.920570264765782,27.35270594508131,1.567864319684471,other
楽園,かぐや様は告らせたい,水,484,25.6198347107438,27.35270594508131,-1.7328712343375123,other
楽園,かぐや様は告らせたい,木,452,24.557522123893804,27.35270594508131,-2.795183821187507,other
楽園,かぐや様は告らせたい,金,514,30.93385214007782,27.35270594508131,3.58114619499651,other
楽園,かぐや様は告らせたい,土,666,27.177177177177175,27.35270594508131,-0.17552876790413663,other
楽園,かぐや様は告らせたい,日,642,27.102803738317753,27.35270594508131,-0.2499022067635579,other
楽園,からくりサーカス,月,652,36.04294478527607,34.40357218796513,1.6393725973109383,other
楽園,からくりサーカス,火,585,36.58119658119658,34.40357218796513,2.177624393231447,other
楽園,からくりサーカス,水,562,39.14590747330961,34.40357218796513,4.742335285344481,other
楽園,からくりサーカス,木,541,35.48983364140481,34.40357218796513,1.0862614534396755,other
楽園,からくりサーカス,金,597,33.33333333333333,34.40357218796513,-1.0702388546318033,other
楽園,からくりサーカス,土,871,32.721010332950634,34.40357218796513,-1.682561855014498,other
楽園,からくりサーカス,日,895,30.502793296089386,34.40357218796513,-3.9007788918757456,other
楽園,けものフレンズ,月,54,44.44444444444444,38.56041131105398,5.88403313339046,other
楽園,けものフレンズ,火,56,39.285714285714285,38.56041131105398,0.7253029746603019,other
楽園,けものフレンズ,水,49,32.6530612244898,38.56041131105398,-5.907350086564186,other
楽園,けものフレンズ,木,52,32.69230769230769,38.56041131105398,-5.868103618746289,other
楽園,けものフレンズ,金,57,36.84210526315789,38.56041131105398,-1.7183060478960925,other
楽園,けものフレンズ,土,59,47.45762711864407,38.56041131105398,8.897215807590086,other
楽園,けものフレンズ,日,62,35.483870967741936,38.56041131105398,-3.076540343312047,other
楽園,この素晴らしい世界に祝福を！,月,208,23.076923076923077,29.724137931034484,-6.647214854111407,other
楽園,この素晴らしい世界に祝福を！,火,199,32.1608040201005,29.724137931034484,2.4366660890660157,other
楽園,この素晴らしい世界に祝福を！,水,199,34.17085427135678,29.724137931034484,4.446716340322297,other
楽園,この素晴らしい世界に祝福を！,木,180,26.666666666666668,29.724137931034484,-3.057471264367816,other
楽園,この素晴らしい世界に祝福を！,金,204,32.84313725490196,29.724137931034484,3.1189993238674774,other
楽園,この素晴らしい世界に祝福を！,土,226,25.221238938053098,29.724137931034484,-4.502898992981386,other
楽園,この素晴らしい世界に祝福を！,日,234,33.76068376068376,29.724137931034484,4.0365458296492776,other
楽園,とある科学の超電磁砲2,月,113,26.548672566371685,28.833693304535636,-2.2850207381639507,other
楽園,とある科学の超電磁砲2,火,111,34.234234234234236,28.833693304535636,5.4005409296986,other
楽園,とある科学の超電磁砲2,水,124,35.483870967741936,28.833693304535636,6.6501776632063,other
楽園,とある科学の超電磁砲2,木,108,27.77777777777778,28.833693304535636,-1.0559155267578575,other
楽園,とある科学の超電磁砲2,金,136,23.52941176470588,28.833693304535636,-5.304281539829756,other
楽園,とある科学の超電磁砲2,土,167,32.33532934131736,28.833693304535636,3.5016360367817256,other
楽園,とある科学の超電磁砲2,日,167,23.353293413173652,28.833693304535636,-5.480399891361984,other
楽園,とある魔術の禁書目録,月,26,23.076923076923077,29.55665024630542,-6.479727169382343,other
楽園,とある魔術の禁書目録,火,28,35.714285714285715,29.55665024630542,6.157635467980295,other
楽園,とある魔術の禁書目録,水,24,33.33333333333333,29.55665024630542,3.7766830870279087,other
楽園,とある魔術の禁書目録,木,29,20.689655172413794,29.55665024630542,-8.866995073891626,other
楽園,とある魔術の禁書目録,金,26,46.15384615384615,29.55665024630542,16.597195907540733,other
楽園,とある魔術の禁書目録,土,36,22.22222222222222,29.55665024630542,-7.3344280240831985,other
楽園,とある魔術の禁書目録,日,34,29.411764705882355,29.55665024630542,-0.1448855404230649,other
楽園,にゃんこ大戦争 超神速,月,18,44.44444444444444,30.666666666666664,13.777777777777779,other
楽園,にゃんこ大戦争 超神速,火,20,30.0,30.666666666666664,-0.6666666666666643,other
楽園,にゃんこ大戦争 超神速,水,13,15.384615384615385,30.666666666666664,-15.28205128205128,other
楽園,にゃんこ大戦争 超神速,木,17,29.411764705882355,30.666666666666664,-1.2549019607843093,other
楽園,にゃんこ大戦争 超神速,金,21,28.57142857142857,30.666666666666664,-2.095238095238095,other
楽園,にゃんこ大戦争 超神速,土,30,36.666666666666664,30.666666666666664,6.0,other
楽園,にゃんこ大戦争 超神速,日,31,25.806451612903224,30.666666666666664,-4.86021505376344,other
楽園,ひぐらしのなく頃に祭2,月,73,28.767123287671232,33.586337760910816,-4.819214473239583,bt
楽園,ひぐらしのなく頃に祭2,火,75,28.000000000000004,33.586337760910816,-5.586337760910812,bt
楽園,ひぐらしのなく頃に祭2,水,72,34.72222222222222,33.586337760910816,1.1358844613114059,bt
楽園,ひぐらしのなく頃に祭2,木,72,26.38888888888889,33.586337760910816,-7.197448872021926,bt
楽園,ひぐらしのなく頃に祭2,金,77,38.961038961038966,33.586337760910816,5.3747012001281504,bt
楽園,ひぐらしのなく頃に祭2,土,80,36.25,33.586337760910816,2.6636622390891844,bt
楽園,ひぐらしのなく頃に祭2,日,78,41.02564102564102,33.586337760910816,7.439303264730206,bt
楽園,ようこそ実力至上主義の教室へ,月,28,35.714285714285715,25.96685082872928,9.747434885556434,other
楽園,ようこそ実力至上主義の教室へ,火,20,10.0,25.96685082872928,-15.966850828729282,other
楽園,ようこそ実力至上主義の教室へ,水,19,21.052631578947366,25.96685082872928,-4.914219249781915,other
楽園,ようこそ実力至上主義の教室へ,木,14,14.285714285714285,25.96685082872928,-11.681136543014997,other
楽園,ようこそ実力至上主義の教室へ,金,25,20.0,25.96685082872928,-5.966850828729282,other
