hall,weekday,category,n_machines,n_positive,n_negative,agreement_rate,mean_residual,median_residual
蒲田1,土,bt,13,7,6,0.5384615384615384,-0.34275478626135525,1.608187134502927
蒲田1,土,hana,2,1,1,0.5,-0.19162915086055854,-0.19162915086055854
蒲田1,土,jug,9,6,3,0.6666666666666666,0.9604049072334979,0.9940481755009216
蒲田1,土,oki,4,3,1,0.75,2.7897993966944235,3.3730588826009544
蒲田1,土,other,76,47,29,0.618421052631579,0.6892999015005198,1.256839351310818
蒲田1,日,bt,13,9,4,0.6923076923076923,2.9095648239097147,1.9425675675675649
蒲田1,日,hana,2,1,1,0.5,0.09481897939062733,0.09481897939062733
蒲田1,日,jug,9,0,9,0.0,-1.754005777895921,-1.2866535788850442
蒲田1,日,oki,4,3,1,0.75,2.315302667608708,0.23487623524033374
蒲田1,日,other,76,43,33,0.5657894736842105,-0.042036463972241596,0.5384105973421214
蒲田1,月,bt,13,6,7,0.46153846153846156,0.9092647925998991,-1.4915797914996034
蒲田1,月,hana,2,1,1,0.5,-0.26304687053812437,-0.26304687053812437
蒲田1,月,jug,9,4,5,0.4444444444444444,-0.32625821550312906,-0.17974492001729203
蒲田1,月,oki,4,2,2,0.5,-3.996128080339873,-3.168914715692104
蒲田1,月,other,76,37,39,0.4868421052631579,0.37951578894768884,-0.1593295186867678
蒲田1,木,bt,13,7,6,0.5384615384615384,1.084253079616477,0.955165692007796
蒲田1,木,hana,2,2,0,1.0,0.8988431314077321,0.8988431314077321
蒲田1,木,jug,9,5,4,0.5555555555555556,0.145646735377065,0.23891997358188632
蒲田1,木,oki,4,2,2,0.5,0.24787237764969827,-0.6831590514052497
蒲田1,木,other,76,35,41,0.4605263157894737,-0.5157023956442967,-0.5675630569561854
蒲田1,水,bt,13,7,6,0.5384615384615384,-1.3222375995747855,0.3008139672053787
蒲田1,水,hana,2,2,0,1.0,0.8567255050386002,0.8567255050386002
蒲田1,水,jug,9,6,3,0.6666666666666666,0.7768749455687285,0.8101896756115963
蒲田1,水,oki,4,3,1,0.75,0.6014672612749763,0.7967491055267608
蒲田1,水,other,76,38,38,0.5,0.16320352404889843,0.012791901907970527
蒲田1,火,bt,13,7,6,0.5384615384615384,-1.3823275888160893,1.119617224880379
蒲田1,火,hana,2,1,1,0.5,-0.3782863696361147,-0.3782863696361147
蒲田1,火,jug,9,5,4,0.5555555555555556,0.24687045890555442,0.5573359599116223
蒲田1,火,oki,4,2,2,0.5,-1.2967581851929841,-0.03948266650137633
蒲田1,火,other,76,47,29,0.618421052631579,1.1907599456556732,1.0197356218081097
蒲田1,金,bt,13,6,7,0.46153846153846156,-1.8693804438153045,-2.393063583815028
蒲田1,金,hana,2,0,2,0.0,-1.0693986102267363,-1.0693986102267363
蒲田1,金,jug,9,4,5,0.4444444444444444,-0.03689453827344301,-0.01642047209141495
蒲田1,金,oki,4,1,3,0.25,-2.217123642911184,-1.0561189773553625
蒲田1,金,other,76,29,47,0.3815789473684211,-2.1299733773889864,-1.427602767641794
