hall,machine_name,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate,baseline_hit104_rate,baseline_plus_rate
みとや,甲鉄城のカバネリ,day_of_week,hit104,月,0,227,62.14977973568282,38.76651982378855,33.03964757709251,34.32,40.39
みとや,甲鉄城のカバネリ,day_of_week,hit104,火,1,223,238.1928251121076,44.843049327354265,39.01345291479821,34.32,40.39
みとや,甲鉄城のカバネリ,day_of_week,hit104,水,2,220,-152.88181818181818,31.818181818181817,26.36363636363636,34.32,40.39
みとや,甲鉄城のカバネリ,day_of_week,hit104,木,3,219,-9.013698630136986,38.35616438356164,32.42009132420091,34.32,40.39
みとや,甲鉄城のカバネリ,day_of_week,hit104,金,4,240,29.75,36.666666666666664,32.916666666666664,34.32,40.39
みとや,甲鉄城のカバネリ,day_of_week,hit104,土,5,261,269.632183908046,45.593869731800766,38.69731800766284,34.32,40.39
みとや,甲鉄城のカバネリ,day_of_week,hit104,日,6,259,46.42857142857143,45.173745173745175,36.67953667953668,34.32,40.39
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,163,80.8957055214724,38.65030674846626,31.901840490797547,37.82,44.87
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,163,857.8588957055215,52.760736196319016,43.558282208588956,37.82,44.87
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,159,116.71069182389937,40.88050314465409,32.70440251572327,37.82,44.87
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,160,81.2,39.375,33.75,37.82,44.87
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,147,496.3741496598639,49.65986394557823,40.136054421768705,37.82,44.87
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,150,447.7,45.33333333333333,39.33333333333333,37.82,44.87
みとや,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,150,649.8266666666667,48.0,44.0,37.82,44.87
みとや,ジャグラーガールズ,day_of_week,hit104,月,0,460,66.2695652173913,41.52173913043478,25.65217391304348,23.45,39.61
みとや,ジャグラーガールズ,day_of_week,hit104,火,1,463,21.181425485961125,39.740820734341256,21.814254859611232,23.45,39.61
みとや,ジャグラーガールズ,day_of_week,hit104,水,2,451,85.64966740576497,40.79822616407982,25.49889135254989,23.45,39.61
みとや,ジャグラーガールズ,day_of_week,hit104,木,3,455,-38.37362637362637,35.38461538461539,22.197802197802197,23.45,39.61
みとや,ジャグラーガールズ,day_of_week,hit104,金,4,459,-107.83442265795208,36.38344226579521,19.825708061002178,23.45,39.61
みとや,ジャグラーガールズ,day_of_week,hit104,土,5,462,64.73376623376623,43.290043290043286,25.541125541125542,23.45,39.61
みとや,ジャグラーガールズ,day_of_week,hit104,日,6,461,69.01518438177874,40.130151843817785,23.644251626898047,23.45,39.61
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,月,0,120,74.94166666666666,45.0,26.666666666666668,25.42,38.43
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,120,-186.53333333333333,36.666666666666664,21.666666666666668,25.42,38.43
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,121,-58.082644628099175,38.01652892561984,26.446280991735538,25.42,38.43
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,116,64.15517241379311,37.06896551724138,26.72413793103448,25.42,38.43
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,116,67.39655172413794,40.51724137931034,29.310344827586203,25.42,38.43
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,119,-82.94117647058823,37.81512605042017,23.52941176470588,25.42,38.43
みとや,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,日,6,118,9.542372881355933,33.89830508474576,23.728813559322035,25.42,38.43
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,月,0,276,477.536231884058,50.72463768115942,44.927536231884055,44.03,50.1
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,火,1,277,480.5054151624549,50.54151624548736,44.04332129963899,44.03,50.1
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,水,2,274,331.021897810219,44.89051094890511,39.05109489051095,44.03,50.1
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,木,3,270,568.5185185185185,50.74074074074074,45.18518518518518,44.03,50.1
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,金,4,266,569.172932330827,56.015037593984964,50.0,44.03,50.1
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,土,5,278,217.98561151079136,47.482014388489205,40.647482014388494,44.03,50.1
蒲田7,甲鉄城のカバネリ,day_of_week,hit104,日,6,267,337.07865168539325,50.56179775280899,44.569288389513105,44.03,50.1
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,月,0,462,-73.16017316017316,38.311688311688314,32.683982683982684,34.85,40.25
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,火,1,462,-164.06926406926408,38.311688311688314,35.064935064935064,34.85,40.25
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,水,2,457,26.695842450765863,39.82494529540481,34.57330415754923,34.85,40.25
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,木,3,455,8.791208791208792,41.098901098901095,36.48351648351648,34.85,40.25
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,金,4,417,-299.5203836930456,38.1294964028777,32.61390887290168,34.85,40.25
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,土,5,457,158.8621444201313,46.389496717724285,39.606126914660834,34.85,40.25
蒲田7,甲鉄城のカバネリ 海門(うなと)決戦,day_of_week,hit104,日,6,423,-324.3498817966903,39.479905437352244,32.62411347517731,34.85,40.25
蒲田7,ジャグラーガールズ,day_of_week,hit104,月,0,459,124.18300653594771,38.12636165577342,24.40087145969499,27.7,41.72
蒲田7,ジャグラーガールズ,day_of_week,hit104,火,1,463,195.24838012958963,39.740820734341256,25.70194384449244,27.7,41.72
蒲田7,ジャグラーガールズ,day_of_week,hit104,水,2,456,184.4298245614035,42.32456140350877,26.096491228070175,27.7,41.72
蒲田7,ジャグラーガールズ,day_of_week,hit104,木,3,441,270.5215419501134,40.58956916099773,29.024943310657598,27.7,41.72
蒲田7,ジャグラーガールズ,day_of_week,hit104,金,4,447,207.82997762863533,39.14988814317674,28.41163310961969,27.7,41.72
蒲田7,ジャグラーガールズ,day_of_week,hit104,土,5,459,329.4117647058824,45.53376906318083,30.065359477124183,27.7,41.72
蒲田7,ジャグラーガールズ,day_of_week,hit104,日,6,441,387.3015873015873,46.71201814058957,30.385487528344672,27.7,41.72
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,月,0,99,0.0,37.37373737373738,28.28282828282828,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,火,1,99,-47.474747474747474,34.34343434343434,24.242424242424242,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,水,2,102,-18.627450980392158,34.31372549019608,24.509803921568626,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,木,3,102,11.764705882352942,34.31372549019608,24.509803921568626,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,金,4,101,155.44554455445544,34.65346534653465,25.742574257425744,24.96,34.89
蒲田7,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,day_of_week,hit104,土,5,103,4.854368932038835,39.80582524271845,25.24271844660194,24.96,34.89
