hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,n_common_weekdays,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
ARROW,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-19,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
ARROW,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-19,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
ARROW,SHAKE BONUS TRIGGER,hit104,2026-04-01..2026-06-29,88,0.1439226020571151,0.20064371660661334,水,2026-01-01..2026-03-31,179,0.06856663231066666,0.1787024923004155,火,7,-0.3243374865704013,0.477885479739931,False,False,
ARROW,SHAKE BONUS TRIGGER,plus,2026-04-01..2026-06-29,88,0.49903965404955297,0.0,月,2026-01-01..2026-03-31,179,0.24864719035018473,0.1012546148684495,火,7,-0.32732683535398865,0.4735969360680639,False,False,
ARROW,いざ！番長,hit104,2026-04-01..2026-06-29,363,0.006976761408316339,0.17979105019166172,土,2026-01-01..2026-03-31,867,0.002346404181812812,0.1289355833190536,水,7,0.28571428571428575,0.5345092286010406,True,False,
ARROW,いざ！番長,plus,2026-04-01..2026-06-29,363,0.0002833768254981663,0.23161863378703923,土,2026-01-01..2026-03-31,867,0.011023080954100923,0.11041531810373227,水,7,0.28571428571428575,0.5345092286010406,True,False,
ARROW,うみねこのなく頃に2,hit104,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window1_n=28 < 40
ARROW,うみねこのなく頃に2,plus,2026-04-01..2026-06-29,,,,,2026-03-04..2026-03-31,,,,,,,,False,False,skip: window1_n=28 < 40
ARROW,かぐや様は告らせたい,hit104,2026-04-01..2026-06-29,367,0.10968286412916795,0.10914089669292457,土,2026-01-01..2026-03-31,442,0.3526898186380998,0.03850776435580606,水,7,0.28571428571428575,0.5345092286010406,False,False,
ARROW,かぐや様は告らせたい,plus,2026-04-01..2026-06-29,367,0.025728907483992296,0.15111062493095093,土,2026-01-01..2026-03-31,442,0.6127442283153091,0.0,水,7,0.0,1.0,True,False,
