hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,n_common_weekdays,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
蒲田1,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
蒲田1,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
蒲田1,HEY！エリートサラリーマン鏡,hit104,2026-04-04..2026-06-30,56,0.8254503879266152,0.0,水,2026-01-02..2026-03-30,116,0.5322770479794836,0.0,木,7,-0.4504687313477795,0.310429301851323,False,False,
蒲田1,HEY！エリートサラリーマン鏡,plus,2026-04-04..2026-06-30,56,0.6085309436146087,0.0,火,2026-01-02..2026-03-30,116,0.49806379015367364,0.0,金,7,-0.702731220902536,0.07823745383207162,False,False,
蒲田1,SHAKE BONUS TRIGGER,hit104,2026-04-02..2026-06-30,103,0.3332042127022766,0.08908559957054961,水,2026-01-02..2026-04-01,130,0.5487110398532569,0.0,日,7,0.396412483586046,0.37863470950041306,False,False,
蒲田1,SHAKE BONUS TRIGGER,plus,2026-04-02..2026-06-30,103,0.6289897019778303,0.0,水,2026-01-02..2026-04-01,130,0.6048672717114776,0.0,日,7,-0.1090909090909091,0.8159015582287615,False,False,
蒲田1,ToLOVEるダークネス TRANCE ver.8.7,hit104,2026-04-02..2026-06-30,285,0.09815182803568702,0.12833558864864958,月,2026-01-02..2026-04-01,418,0.3144571157241737,0.050304440733277674,日,7,-0.25,0.5887244480896832,False,False,
蒲田1,ToLOVEるダークネス TRANCE ver.8.7,plus,2026-04-02..2026-06-30,285,0.09296766254886576,0.13046200582771947,月,2026-01-02..2026-04-01,418,0.5176754303613897,0.0,日,7,-0.14824986333222023,0.7510797526579065,False,False,
蒲田1,いざ！番長,hit104,2026-04-02..2026-06-30,299,0.04451398056402985,0.15203689738372056,日,2026-01-02..2026-04-01,555,0.2758017083135826,0.05211281612844414,火,7,0.07142857142857144,0.879048193148154,True,False,
蒲田1,いざ！番長,plus,2026-04-02..2026-06-30,299,0.043552324303612805,0.1526896254639514,日,2026-01-02..2026-04-01,555,0.2700129382365702,0.053325767459255706,火,7,0.10714285714285716,0.8191508555699912,True,False,
蒲田1,うみねこのなく頃に2,hit104,2026-04-02..2026-06-30,226,0.08522130180101303,0.15021789808939573,日,2026-03-04..2026-04-01,61,0.5535942696044371,0.0,火,7,-0.2660662432388705,0.5641284674417238,False,False,
蒲田1,うみねこのなく頃に2,plus,2026-04-02..2026-06-30,226,0.1724075157604048,0.11535966460450693,日,2026-03-04..2026-04-01,61,0.5502230008371192,0.0,木,7,-0.8468812149338255,0.016197127467871626,False,False,
蒲田1,かぐや様は告らせたい,hit104,2026-04-02..2026-06-30,248,0.24383266230723064,0.08766629708415122,土,2026-01-02..2026-04-01,499,0.5270171226587044,0.0,土,7,0.28571428571428575,0.5345092286010406,False,False,
蒲田1,かぐや様は告らせたい,plus,2026-04-02..2026-06-30,248,0.36090993786785014,0.047656226568929295,日,2026-01-02..2026-04-01,499,0.7252125203339219,0.0,土,7,0.39285714285714296,0.3833168704269727,False,False,
蒲田1,からくりサーカス,hit104,2026-04-03..2026-06-30,221,0.8927398809528324,0.0,木,2026-01-02..2026-04-01,359,0.5540932751451833,0.0,金,7,0.21428571428571433,0.6445115810207203,False,False,
蒲田1,からくりサーカス,plus,2026-04-03..2026-06-30,221,0.5826720858603309,0.0,木,2026-01-02..2026-04-01,359,0.24718891398471046,0.072101621972501,金,7,0.28571428571428575,0.5345092286010406,False,False,
蒲田1,アクダマドライブ,hit104,2026-05-06..2026-06-07,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
蒲田1,アクダマドライブ,plus,2026-05-06..2026-06-07,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
蒲田1,アズールレーン THE ANIMATION,hit104,2026-04-02..2026-06-30,229,0.7430842332561038,0.0,土,2026-01-02..2026-04-01,251,0.784398883082863,0.0,月,7,-0.21428571428571433,0.6445115810207203,False,False,
蒲田1,アズールレーン THE ANIMATION,plus,2026-04-02..2026-06-30,229,0.6193465756673089,0.0,土,2026-01-02..2026-04-01,251,0.7609791822100138,0.0,月,7,-0.25,0.5887244480896832,False,False,
蒲田1,アレックス ブライト,hit104,2026-04-02..2026-06-30,79,0.33631638943513004,0.0986334726611047,金,2026-01-02..2026-04-01,61,0.3959289811758819,0.049768151564807586,土,7,0.41443123283995714,0.35526894376605234,False,False,
蒲田1,アレックス ブライト,plus,2026-04-02..2026-06-30,79,0.3327488457834397,0.10103575324389844,土,2026-01-02..2026-04-01,61,0.14668036762491607,0.2385609904448236,土,7,0.36037498507822363,0.4271488085609065,False,False,
蒲田1,ウルトラミラクルジャグラー,hit104,2026-04-02..2026-06-30,356,0.21296563904894095,0.08122463261400344,土,2026-01-02..2026-04-01,360,0.25053320661242284,0.07114491963608843,水,7,-0.3214285714285715,0.4820720382996778,False,False,
蒲田1,ウルトラミラクルジャグラー,plus,2026-04-02..2026-06-30,356,0.06854344814314539,0.12673554936214387,土,2026-01-02..2026-04-01,360,0.9148249300682311,0.0,木,7,-0.23640271442232513,0.6097900468148635,False,False,
蒲田1,キングハナハナ-30,hit104,2026-04-02..2026-06-30,848,0.028818325157387737,0.09759272602748972,水,2026-01-02..2026-04-01,836,0.06207529241422634,0.08468365496006769,月,7,0.4504687313477795,0.310429301851323,False,False,
蒲田1,キングハナハナ-30,plus,2026-04-02..2026-06-30,848,0.010761362024095748,0.11196832468851355,水,2026-01-02..2026-04-01,836,0.3870389013409124,0.019724767859456593,月,7,0.3571428571428572,0.431611352038328,True,False,
蒲田1,ゴッドイーター リザレクション,hit104,2026-04-02..2026-06-30,500,0.5344421095029102,0.0,火,2026-01-02..2026-04-01,635,0.2730574758581916,0.049274382185179565,土,7,0.10714285714285716,0.8191508555699912,False,False,
蒲田1,ゴッドイーター リザレクション,plus,2026-04-02..2026-06-30,500,0.5363513072327075,0.0,日,2026-01-02..2026-04-01,635,0.21507169926182806,0.06046791180847078,土,7,0.28571428571428575,0.5345092286010406,False,False,
蒲田1,ゴーゴージャグラー3,hit104,2026-04-02..2026-06-30,1313,0.6520647617549107,0.0,水,2026-01-02..2026-04-01,1324,0.3506943389604856,0.02272422764154535,火,7,0.42857142857142866,0.3373683110858243,False,False,
蒲田1,ゴーゴージャグラー3,plus,2026-04-02..2026-06-30,1313,0.20642404676262227,0.0432443966849673,土,2026-01-02..2026-04-01,1324,0.3592191538698351,0.02125200950806645,水,7,0.642857142857143,0.11939237342741109,False,True,
蒲田1,シャーマンキング,hit104,2026-04-02..2026-06-30,154,0.7674249045720613,0.0,水,2026-01-02..2026-04-01,187,0.9818361750614916,0.0,月,7,0.21428571428571433,0.6445115810207203,False,False,
蒲田1,シャーマンキング,plus,2026-04-02..2026-06-30,154,0.7914505136607265,0.0,水,2026-01-02..2026-04-01,187,0.9417067906882275,0.0,月,7,0.14414999403128945,0.7578179356488596,False,False,
蒲田1,ジャグラーガールズ,hit104,2026-04-02..2026-06-30,354,0.31141372682655927,0.05547008657178291,土,2026-01-02..2026-04-01,358,0.0693480594948354,0.1260183843591652,月,7,-0.14285714285714288,0.7599453002180927,False,False,
蒲田1,ジャグラーガールズ,plus,2026-04-02..2026-06-30,354,0.2972853638304552,0.059390975938055944,土,2026-01-02..2026-04-01,358,0.09530863726144645,0.11554943656973997,月,7,0.01801874925391118,0.9694153868031988,False,False,
蒲田1,スマスロ サンダーV,hit104,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=2 < 40
蒲田1,スマスロ サンダーV,plus,2026-04-02..2026-06-30,,,,,2026-04-01..2026-04-01,,,,,,,,False,False,skip: window1_n=2 < 40
蒲田1,スマスロ ハナビ,hit104,2026-04-02..2026-06-30,211,0.4767441411801726,0.0,火,2026-03-04..2026-04-01,84,0.7768485494478347,0.0,月,7,-0.18531232916527532,0.6907777961916856,False,False,
蒲田1,スマスロ ハナビ,plus,2026-04-02..2026-06-30,211,0.5359600848439232,0.0,火,2026-03-04..2026-04-01,84,0.9806626799139223,0.0,月,7,-0.46780074285319984,0.28980119322945946,False,False,
蒲田1,スマスロ北斗の拳,hit104,2026-04-02..2026-06-30,884,0.06299451744182254,0.08207103477692171,水,2026-01-02..2026-04-01,970,0.0014188745905449269,0.12693618829972306,日,7,0.0,1.0,False,False,
蒲田1,スマスロ北斗の拳,plus,2026-04-02..2026-06-30,884,0.14395128031064075,0.06352739837081685,火,2026-01-02..2026-04-01,970,0.005968549772654313,0.11175283125275481,日,7,0.39285714285714296,0.3833168704269727,False,False,
