hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,n_common_weekdays,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
レイトギャップ,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
レイトギャップ,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
レイトギャップ,HEY！エリートサラリーマン鏡,hit104,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=38 < 40
レイトギャップ,HEY！エリートサラリーマン鏡,plus,2026-04-02..2026-06-30,,,,,2026-01-02..2026-04-01,,,,,,,,False,False,skip: window0_n=38 < 40
レイトギャップ,SHAKE BONUS TRIGGER,hit104,2026-04-02..2026-06-30,89,0.639342562344994,0.0,土,2026-01-02..2026-04-01,90,0.9109000564773164,0.0,土,7,0.5871806747340591,0.16572001226175198,False,True,
レイトギャップ,SHAKE BONUS TRIGGER,plus,2026-04-02..2026-06-30,89,0.7556026020652243,0.0,火,2026-01-02..2026-04-01,90,0.8274404006881213,0.0,土,7,0.705049738919203,0.07682686516560443,False,True,
レイトギャップ,ToLOVEるダークネス TRANCE ver.8.7,hit104,2026-04-02..2026-06-30,135,0.9118332895014223,0.0,金,2026-01-02..2026-04-01,273,0.42892615929735955,0.0,火,7,-0.39285714285714296,0.3833168704269727,False,False,
レイトギャップ,ToLOVEるダークネス TRANCE ver.8.7,plus,2026-04-02..2026-06-30,135,0.9748295876131357,0.0,水,2026-01-02..2026-04-01,273,0.3783036869809922,0.038025821132586374,火,7,-0.3214285714285715,0.4820720382996778,False,False,
レイトギャップ,いざ！番長,hit104,2026-04-02..2026-06-30,340,0.40982994612964974,0.017412557356212287,月,2026-01-02..2026-04-01,356,0.6896066409068897,0.0,火,7,0.054056247761733546,0.9083652825239955,False,False,
レイトギャップ,いざ！番長,plus,2026-04-02..2026-06-30,340,0.48643131578183374,0.0,木,2026-01-02..2026-04-01,356,0.3338085049253188,0.04878805598256667,土,7,0.16216874328520064,0.7282995630820221,False,False,
レイトギャップ,うみねこのなく頃に2,hit104,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=29 < 40
レイトギャップ,うみねこのなく頃に2,plus,2026-04-02..2026-06-30,,,,,2026-03-04..2026-04-01,,,,,,,,False,False,skip: window1_n=29 < 40
レイトギャップ,かぐや様は告らせたい,hit104,2026-04-02..2026-06-30,630,0.4819553423942713,0.0,月,2026-01-02..2026-04-01,744,0.9162519923300072,0.0,日,7,0.03571428571428572,0.9394082054712856,False,False,
レイトギャップ,かぐや様は告らせたい,plus,2026-04-02..2026-06-30,630,0.44311399861631606,0.0,月,2026-01-02..2026-04-01,744,0.9579081147609064,0.0,金,7,-0.4684874806016907,0.2889967715971478,False,False,
レイトギャップ,からくりサーカス,hit104,2026-04-02..2026-06-30,311,0.10197597255981596,0.12139879104510361,水,2026-01-02..2026-04-01,706,0.4295094178847072,0.0,水,7,0.23424374030084538,0.6131550369752419,False,False,
レイトギャップ,からくりサーカス,plus,2026-04-02..2026-06-30,311,0.13771163133521036,0.10901422379846444,日,2026-01-02..2026-04-01,706,0.7592936797276327,0.0,水,7,-0.03571428571428572,0.9394082054712856,False,False,
