hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,n_common_weekdays,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
楽園,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
楽園,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
楽園,GALFY,hit104,2026-06-24..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=19 < 40; window1_n=0 < 40
楽園,GALFY,plus,2026-06-24..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window0_n=19 < 40; window1_n=0 < 40
楽園,HEY！エリートサラリーマン鏡,hit104,2026-04-02..2026-06-30,263,0.0317317216298855,0.1724943101069665,月,2026-01-02..2026-04-01,273,0.9426230432040779,0.0,月,7,0.6181818181818182,0.1389794392475101,True,True,
楽園,HEY！エリートサラリーマン鏡,plus,2026-04-02..2026-06-30,263,0.10969658379990403,0.1288950916245281,金,2026-01-02..2026-04-01,273,0.634206518882422,0.0,月,7,0.6847124716486249,0.08966645319106842,False,True,
楽園,SHAKE BONUS TRIGGER,hit104,2026-04-02..2026-06-30,178,0.851984045642168,0.0,水,2026-01-02..2026-04-01,179,0.5014902230459917,0.0,日,7,-0.4504687313477795,0.310429301851323,False,False,
楽園,SHAKE BONUS TRIGGER,plus,2026-04-02..2026-06-30,178,0.8951043867482341,0.0,水,2026-01-02..2026-04-01,179,0.5478685329979252,0.0,日,7,0.19090909090909092,0.6817763029215114,False,False,
楽園,SLOTドルアーガの塔,hit104,2026-04-02..2026-06-30,88,0.773532475576745,0.0,金,2026-01-02..2026-04-01,133,0.5608205390314487,0.0,金,7,0.8532469179729296,0.014618256267642514,False,True,
楽園,SLOTドルアーガの塔,plus,2026-04-02..2026-06-30,88,0.9345942200973889,0.0,金,2026-01-02..2026-04-01,133,0.3527957162657598,0.06859247146508218,金,7,0.545544725589981,0.20528150522872632,False,True,
楽園,Sister Quest,hit104,2026-04-03..2026-06-30,59,0.13048396560168576,0.2546794875931635,日,2026-02-13..2026-03-31,40,0.192559435964205,0.25445077387216497,水,7,-0.5727272727272728,0.17898547745372054,False,False,
