hall,machine_name,outcome,window0_range,window0_n,window0_p,window0_effect,window0_top_weekday,window1_range,window1_n,window1_p,window1_effect,window1_top_weekday,n_common_weekdays,spearman_rho,spearman_p,recent_significant,consistent_with_prior_window,note
金時,A‐SLOT+ 異世界かるてっと,hit104,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,A‐SLOT+ 異世界かるてっと,plus,2026-05-06..2026-06-30,,,,,empty,,,,,,,,False,False,skip: window1_n=0 < 40
金時,SHAKE BONUS TRIGGER,hit104,2026-04-02..2026-06-30,88,0.9828148952981475,0.0,木,2026-01-02..2026-04-01,90,0.3642490802483964,0.07380838246891282,水,7,-0.21913708101542798,0.6368489879690543,False,False,
金時,SHAKE BONUS TRIGGER,plus,2026-04-02..2026-06-30,88,0.7914038113561578,0.0,水,2026-01-02..2026-04-01,90,0.5302711904030979,0.0,水,7,0.4565217391304348,0.30315435910748695,False,False,
金時,かぐや様は告らせたい,hit104,2026-04-02..2026-06-30,141,0.5860172474302145,0.0,水,2026-01-02..2026-03-31,146,0.7292418177677598,0.0,木,7,-0.42857142857142866,0.3373683110858243,False,False,
金時,かぐや様は告らせたい,plus,2026-04-02..2026-06-30,141,0.7952934396282776,0.0,水,2026-01-02..2026-03-31,146,0.7385786413638173,0.0,木,7,-0.4642857142857144,0.29393410760025196,False,False,
金時,からくりサーカス,hit104,2026-04-03..2026-06-30,69,0.5504635612879134,0.0,水,2026-01-02..2026-03-31,81,0.48838992403993775,0.0,火,7,-0.49543369430686235,0.25822801249072896,False,False,
金時,からくりサーカス,plus,2026-04-03..2026-06-30,69,0.46175575622290765,0.0,水,2026-01-02..2026-03-31,81,0.29250188921818354,0.12462157616369231,金,7,-0.08257228238447706,0.8602983337105609,False,False,
金時,とある科学の超電磁砲2,hit104,2026-04-04..2026-06-30,68,0.7500905692695882,0.0,金,2026-01-02..2026-04-01,80,0.09615990423044915,0.24345877913556968,火,7,-0.09009374626955591,0.8476720796198264,False,False,
金時,とある科学の超電磁砲2,plus,2026-04-04..2026-06-30,68,0.7500905692695882,0.0,金,2026-01-02..2026-04-01,80,0.21648678561844154,0.16805147782061894,火,7,-0.198206241793023,0.6700850339168265,False,False,
金時,アズールレーン THE ANIMATION,hit104,2026-04-02..2026-06-30,76,0.1047197351095612,0.24308352038486963,火,2026-01-02..2026-03-31,83,0.7532399232902632,0.0,火,7,0.8454545454545456,0.016563691746220816,False,True,
金時,アズールレーン THE ANIMATION,plus,2026-04-02..2026-06-30,76,0.1047197351095612,0.24308352038486963,火,2026-01-02..2026-03-31,83,0.8914336129585732,0.0,火,7,0.790909090909091,0.034184319340434616,False,True,
金時,アレックス ブライト,hit104,2026-04-02..2026-06-30,88,0.3966640714022972,0.044564469420720385,水,2026-01-02..2026-04-01,88,0.1525932754269473,0.19551429951261468,土,7,0.4,0.3739339238177471,False,False,
金時,アレックス ブライト,plus,2026-04-02..2026-06-30,88,0.30171556858446547,0.11461327411206286,水,2026-01-02..2026-04-01,88,0.05048604788362105,0.2732730718629166,土,7,-0.19090909090909092,0.6817763029215114,False,False,
金時,ウルトラミラクルジャグラー,hit104,2026-04-02..2026-06-30,266,0.622503710678294,0.0,金,2026-01-02..2026-04-01,266,0.7502352854107902,0.0,水,7,-0.5714285714285715,0.18020198891152767,False,False,
金時,ウルトラミラクルジャグラー,plus,2026-04-02..2026-06-30,266,0.4808621658524569,0.0,日,2026-01-02..2026-04-01,266,0.7722720671856163,0.0,日,7,0.6071428571428572,0.14823116148116164,False,True,
金時,クランキークレスト,hit104,2026-04-03..2026-06-30,77,0.997874727683925,0.0,木,2026-01-02..2026-04-01,83,0.24268150529391416,0.15081478713251986,水,7,-0.07339758434175737,0.8757317520621678,False,False,
金時,クランキークレスト,plus,2026-04-03..2026-06-30,77,0.904584082278668,0.0,水,2026-01-02..2026-04-01,83,0.1926419178338824,0.1781723850643237,土,7,0.41443123283995714,0.35526894376605234,False,False,
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,hit104,2026-04-02..2026-06-30,165,0.6848668456824439,0.0,日,2026-01-02..2026-04-01,167,0.14199004072924018,0.14676409277742364,土,7,-0.7500000000000002,0.05218140045705778,False,False,
金時,クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,plus,2026-04-02..2026-06-30,165,0.30842936490131534,0.08188775060919513,日,2026-01-02..2026-04-01,167,0.5450870982924785,0.0,金,7,-0.6666937223947136,0.10192046024618238,False,False,
金時,ゴッドイーター リザレクション,hit104,2026-04-02..2026-06-30,101,0.07097866347739432,0.2358289467114839,金,2026-01-02..2026-04-01,166,0.6932551908156588,0.0,月,7,-0.5714285714285715,0.18020198891152767,False,False,
金時,ゴッドイーター リザレクション,plus,2026-04-02..2026-06-30,101,0.08006495179857327,0.22851076861453778,金,2026-01-02..2026-04-01,166,0.6989334328655559,0.0,月,7,-0.41443123283995714,0.35526894376605234,False,False,
金時,ゴーゴージャグラー3,hit104,2026-04-02..2026-06-30,608,0.044437484180769475,0.10664261164876097,水,2026-01-02..2026-04-01,620,0.9721366299832102,0.0,土,7,0.03571428571428572,0.9394082054712856,True,False,
金時,ゴーゴージャグラー3,plus,2026-04-02..2026-06-30,608,0.48503473973267275,0.0,月,2026-01-02..2026-04-01,620,0.8417164620564754,0.0,土,7,0.9285714285714288,0.00251947240379469,False,True,
