stage,param_name,param_value,lift@10_A,lift@10_B,lift@10_avg
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 50, ""h_jug_corner59"": 0}",272.81356989247314,206.91494285714288,239.864256374808
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 50, ""h_jug_corner59"": 15}",265.50893548387097,213.14750285714288,239.32821917050694
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 50, ""h_jug_corner59"": 30}",267.0613172043011,204.63481428571427,235.84806574500766
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 50, ""h_jug_corner59"": 50}",268.36563978494627,204.50857714285718,236.43710846390172
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 100, ""h_jug_corner59"": 0}",286.06250000000006,208.6668114285714,247.36465571428573
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 100, ""h_jug_corner59"": 15}",281.95700537634417,208.13965142857143,245.0483284024578
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 100, ""h_jug_corner59"": 30}",274.64770430107524,206.02116,240.33443215053762
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 100, ""h_jug_corner59"": 50}",268.8258010752688,209.50326,239.16453053763442
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 150, ""h_jug_corner59"": 0}",289.04017741935485,207.21093142857143,248.12555442396314
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 150, ""h_jug_corner59"": 15}",287.5352795698925,207.07851428571428,247.3068969278034
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 150, ""h_jug_corner59"": 30}",284.6532258064516,204.6509685714286,244.6520971889401
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 150, ""h_jug_corner59"": 50}",281.5367634408602,209.4006085714286,245.46868600614442
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 200, ""h_jug_corner59"": 0}",232.6735053763441,176.59959714285716,204.63655125960065
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 200, ""h_jug_corner59"": 15}",231.16860752688174,176.46717999999998,203.81789376344085
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 200, ""h_jug_corner59"": 30}",228.28655376344085,174.03963428571427,201.16309402457756
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 200, ""h_jug_corner59"": 50}",225.17009139784943,178.7499285714286,201.96000998463902
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 250, ""h_jug_corner59"": 0}",211.97041397849463,171.6187657142857,191.79458984639018
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 250, ""h_jug_corner59"": 15}",210.46551612903227,171.4863485714286,190.97593235023044
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 250, ""h_jug_corner59"": 30}",207.58346236559137,169.05880285714287,188.32113261136712
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 200, ""h_jug_corner24"": 250, ""h_jug_corner59"": 50}",204.46699999999996,173.76909714285716,189.11804857142857
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 50, ""h_jug_corner59"": 0}",272.7504892473118,207.30839714285713,240.02944319508447
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 50, ""h_jug_corner59"": 15}",265.4458548387097,213.54095714285717,239.49340599078343
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 50, ""h_jug_corner59"": 30}",266.9982365591398,205.02826857142858,236.01325256528418
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 50, ""h_jug_corner59"": 50}",268.30255913978493,204.90203142857146,236.60229528417818
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 100, ""h_jug_corner59"": 0}",285.9994193548387,209.05961714285718,247.52951824884795
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 100, ""h_jug_corner59"": 15}",281.89392473118284,208.53245714285714,245.21319093702
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 100, ""h_jug_corner59"": 30}",274.584623655914,206.41396571428572,240.49929468509987
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 100, ""h_jug_corner59"": 50}",268.7627204301075,209.8960657142857,239.32939307219658
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 150, ""h_jug_corner59"": 0}",285.9933064516129,206.98983428571427,246.4915703686636
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 150, ""h_jug_corner59"": 15}",284.48840860215057,206.85741714285712,245.67291287250384
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 150, ""h_jug_corner59"": 30}",281.60635483870965,204.42987142857143,243.01811313364055
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 150, ""h_jug_corner59"": 50}",278.48989247311823,209.17951142857143,243.83470195084482
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 200, ""h_jug_corner59"": 0}",286.01430107526886,206.62769714285716,246.320999109063
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 200, ""h_jug_corner59"": 15}",284.5094032258065,206.49528,245.50234161290325
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 200, ""h_jug_corner59"": 30}",281.6273494623656,204.06773428571427,242.84754187403993
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 200, ""h_jug_corner59"": 50}",278.5108870967742,208.77802857142856,243.6444578341014
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 250, ""h_jug_corner59"": 0}",292.0215806451613,208.42863714285716,250.22510889400922
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 250, ""h_jug_corner59"": 15}",290.51668279569896,208.29621999999998,249.40645139784948
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 250, ""h_jug_corner59"": 30}",287.6346290322581,205.86867428571426,246.7516516589862
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 300, ""h_jug_corner24"": 250, ""h_jug_corner59"": 50}",284.5181666666667,210.57896857142856,247.54856761904762
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 400, ""h_jug_corner24"": 50, ""h_jug_corner59"": 0}",274.78430107526884,215.03568000000004,244.90999053763443
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 400, ""h_jug_corner24"": 50, ""h_jug_corner59"": 15}",267.4796666666666,221.26823999999996,244.3739533333333
stage1,"h_jug_corner1,h_jug_corner24,h_jug_corner59","{""h_jug_corner1"": 400, ""h_jug_corner24"": 50, ""h_jug_corner59"": 30}",269.0320483870968,212.75555142857144,240.8937999078341
