dd,rows,dates,games_sum,rb_sum,pooled_rb_rate,rank,model
24,90,18,577867.0,1750.0,0.003028378502319738,1,ウルトラミラクルジャグラー
27,90,18,489776.0,1441.0,0.0029421613145601253,2,ウルトラミラクルジャグラー
7,95,19,579901.0,1703.0,0.0029367081622552814,3,ウルトラミラクルジャグラー
19,90,18,354311.0,1030.0,0.002907050585502567,4,ウルトラミラクルジャグラー
30,75,15,433631.0,1256.0,0.0028964718850820166,5,ウルトラミラクルジャグラー
14,90,18,593991.0,1706.0,0.0028720973886809734,6,ウルトラミラクルジャグラー
17,90,18,478363.0,1367.0,0.0028576624864381233,7,ウルトラミラクルジャグラー
18,90,18,323532.0,917.0,0.0028343409616359435,8,ウルトラミラクルジャグラー
4,95,19,638441.0,1773.0,0.002777077286703078,9,ウルトラミラクルジャグラー
8,90,18,344338.0,948.0,0.0027531088639650577,10,ウルトラミラクルジャグラー
2,95,19,367763.0,1006.0,0.0027354573461713114,11,ウルトラミラクルジャグラー
12,85,17,341916.0,934.0,0.002731665087331391,12,ウルトラミラクルジャグラー
9,90,18,344076.0,939.0,0.0027290482335298014,13,ウルトラミラクルジャグラー
28,90,18,352599.0,962.0,0.0027283117649227594,14,ウルトラミラクルジャグラー
15,90,18,393298.0,1073.0,0.002728211178292287,15,ウルトラミラクルジャグラー
21,90,18,333432.0,903.0,0.0027081983732815088,16,ウルトラミラクルジャグラー
11,90,18,374005.0,1012.0,0.0027058461785270252,17,ウルトラミラクルジャグラー
23,90,18,323890.0,875.0,0.0027015344715798574,18,ウルトラミラクルジャグラー
1,95,19,379861.0,1020.0,0.0026851927415554636,19,ウルトラミラクルジャグラー
5,95,19,423928.0,1137.0,0.002682059217602989,20,ウルトラミラクルジャグラー
25,90,18,326103.0,863.0,0.0026464031302993224,21,ウルトラミラクルジャグラー
13,90,18,346251.0,914.0,0.002639703567643126,22,ウルトラミラクルジャグラー
26,90,18,304228.0,797.0,0.0026197457170280183,23,ウルトラミラクルジャグラー
29,80,16,270506.0,708.0,0.0026173171759591284,24,ウルトラミラクルジャグラー
10,90,18,377700.0,981.0,0.002597299444003177,25,ウルトラミラクルジャグラー
22,90,18,342072.0,888.0,0.0025959447133936716,26,ウルトラミラクルジャグラー
16,90,18,317453.0,823.0,0.002592509757349907,27,ウルトラミラクルジャグラー
20,90,18,318762.0,822.0,0.0025787264479454892,28,ウルトラミラクルジャグラー
6,95,19,344699.0,882.0,0.00255875415942605,29,ウルトラミラクルジャグラー
3,95,19,379938.0,971.0,0.0025556801372855573,30,ウルトラミラクルジャグラー
31,45,9,170421.0,414.0,0.0024292780819265233,31,ウルトラミラクルジャグラー
7,95,19,498834.0,1605.0,0.0032175032175032173,1,ミスタージャグラー
21,90,18,347167.0,1102.0,0.003174264835079371,2,ミスタージャグラー
11,90,18,369674.0,1168.0,0.003159540568176285,3,ミスタージャグラー
24,90,18,527123.0,1645.0,0.0031207137613042876,4,ミスタージャグラー
20,90,18,269261.0,835.0,0.0031010803644047967,5,ミスタージャグラー
5,95,19,364191.0,1128.0,0.0030972758799640847,6,ミスタージャグラー
14,90,18,539600.0,1670.0,0.003094885100074129,7,ミスタージャグラー
17,90,18,400911.0,1238.0,0.003087967154804932,8,ミスタージャグラー
16,90,18,293178.0,905.0,0.003086861906418626,9,ミスタージャグラー
27,90,18,427072.0,1317.0,0.003083789150307208,10,ミスタージャグラー
6,95,19,300646.0,924.0,0.003073381984127512,11,ミスタージャグラー
2,95,19,338600.0,1032.0,0.003047844063792085,12,ミスタージャグラー
4,95,19,566591.0,1706.0,0.0030109902910565116,13,ミスタージャグラー
10,90,18,331720.0,992.0,0.002990473893645243,14,ミスタージャグラー
3,95,19,297734.0,883.0,0.002965734514701042,15,ミスタージャグラー
25,90,18,261703.0,770.0,0.0029422666152088437,16,ミスタージャグラー
1,95,19,313480.0,918.0,0.002928416485900217,17,ミスタージャグラー
29,80,16,253704.0,739.0,0.0029128433134676633,18,ミスタージャグラー
9,90,18,299888.0,870.0,0.0029010830710131785,19,ミスタージャグラー
8,90,18,272227.0,788.0,0.002894643073611361,20,ミスタージャグラー
30,75,15,297003.0,855.0,0.0028787588004161573,21,ミスタージャグラー
19,90,18,295099.0,849.0,0.0028770005997987118,22,ミスタージャグラー
12,85,17,272170.0,783.0,0.002876878421574751,23,ミスタージャグラー
23,90,18,263012.0,756.0,0.002874393563791766,24,ミスタージャグラー
22,90,18,265508.0,763.0,0.0028737363845910482,25,ミスタージャグラー
18,90,18,296077.0,848.0,0.002864119806671913,26,ミスタージャグラー
26,90,18,256748.0,734.0,0.0028588343434028697,27,ミスタージャグラー
13,90,18,261240.0,743.0,0.002844128004899709,28,ミスタージャグラー
28,90,18,282207.0,786.0,0.0027851895948718492,29,ミスタージャグラー
15,90,18,295354.0,801.0,0.002711999837483156,30,ミスタージャグラー
31,45,9,142844.0,370.0,0.002590238301923777,31,ミスタージャグラー
