hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
ARROW,スマスロ北斗の拳,full,1,340,0.002726383849421387,0.0026348882352941177
ARROW,スマスロ北斗の拳,full,2,313,0.0024659118139952756,0.002418773162939297
ARROW,スマスロ北斗の拳,full,3,287,0.002584757268944626,0.0025327038327526133
ARROW,スマスロ北斗の拳,full,4,309,0.0025860881090799333,0.002524588996763754
ARROW,スマスロ北斗の拳,full,5,319,0.00267673687524429,0.002567843260188088
ARROW,スマスロ北斗の拳,full,6,314,0.002556839525089968,0.002509952229299363
ARROW,スマスロ北斗の拳,full,7,289,0.002684435152242034,0.0026270726643598617
ARROW,スマスロ北斗の拳,full,8,312,0.0027117343096698136,0.0026436153846153844
ARROW,スマスロ北斗の拳,full,9,254,0.002555365369730747,0.0025149488188976376
ARROW,スマスロ北斗の拳,full,10,260,0.0024837013647781804,0.002447630769230769
ARROW,スマスロ北斗の拳,full,11,365,0.002693426756130871,0.002620613698630137
ARROW,スマスロ北斗の拳,full,12,278,0.0025868482584798518,0.0025163525179856113
ARROW,スマスロ北斗の拳,full,13,266,0.0024798295194378506,0.0024176954887218044
ARROW,スマスロ北斗の拳,full,14,240,0.0025473195894542386,0.0024632958333333332
ARROW,スマスロ北斗の拳,full,15,268,0.0024834771581230012,0.0024470783582089552
ARROW,スマスロ北斗の拳,full,16,238,0.0024946431005815396,0.0024469663865546217
ARROW,スマスロ北斗の拳,full,17,220,0.002584460371799159,0.002504527272727273
ARROW,スマスロ北斗の拳,full,18,306,0.002579996843181313,0.002512529411764706
ARROW,スマスロ北斗の拳,full,19,225,0.0024496865520236065,0.0023762444444444444
ARROW,スマスロ北斗の拳,full,20,246,0.0025037661105841657,0.002441162601626016
ARROW,スマスロ北斗の拳,full,21,239,0.0025318814225706557,0.0024899581589958157
ARROW,スマスロ北斗の拳,full,22,340,0.0027101015314021757,0.0026558617647058826
ARROW,スマスロ北斗の拳,full,23,239,0.0024340416079326123,0.0023640251046025103
ARROW,スマスロ北斗の拳,full,24,252,0.0026007295579682723,0.0025474801587301588
ARROW,スマスロ北斗の拳,full,25,231,0.0024770835431909962,0.00243512987012987
ARROW,スマスロ北斗の拳,full,26,266,0.002499214811992524,0.0024217368421052634
ARROW,スマスロ北斗の拳,full,27,238,0.0025239676053465075,0.0024715504201680673
