hall,machine_name,period,dd,n,rb_rate_pooled,rb_rate_mean
蒲田7,スマスロ北斗の拳,full,1,290.0,0.0027810574930561727,0.002649013793103448
蒲田7,スマスロ北斗の拳,full,2,235.0,0.00290691854240297,0.0027419914893617022
蒲田7,スマスロ北斗の拳,full,3,267.0,0.0029300088848515276,0.0027625280898876405
蒲田7,スマスロ北斗の拳,full,4,224.0,0.002791310045202481,0.0026704107142857146
蒲田7,スマスロ北斗の拳,full,5,208.0,0.002822060382801458,0.0026697259615384617
蒲田7,スマスロ北斗の拳,full,6,216.0,0.00272964382635875,0.002627587962962963
蒲田7,スマスロ北斗の拳,full,7,323.0,0.0031219810483950655,0.003013390092879257
蒲田7,スマスロ北斗の拳,full,8,240.0,0.0029160218442496996,0.0027658375
蒲田7,スマスロ北斗の拳,full,9,242.0,0.0028560241818938736,0.0027347685950413225
蒲田7,スマスロ北斗の拳,full,10,251.0,0.0029010865662772414,0.0027789203187251
蒲田7,スマスロ北斗の拳,full,11,290.0,0.002715439921618565,0.0026012172413793105
蒲田7,スマスロ北斗の拳,full,12,220.0,0.0026903059881330875,0.0025643136363636366
蒲田7,スマスロ北斗の拳,full,13,266.0,0.0026590000196356923,0.002560578947368421
蒲田7,スマスロ北斗の拳,full,14,240.0,0.0027800890994169616,0.0026579833333333336
蒲田7,スマスロ北斗の拳,full,15,261.0,0.0027276648538560396,0.0026024942528735636
蒲田7,スマスロ北斗の拳,full,16,220.0,0.0027367987774172503,0.0026063136363636366
蒲田7,スマスロ北斗の拳,full,17,311.0,0.002723985296847331,0.0026105916398713827
蒲田7,スマスロ北斗の拳,full,18,222.0,0.0027561518586466547,0.002622792792792793
蒲田7,スマスロ北斗の拳,full,19,231.0,0.0027753190702325434,0.0026449307359307363
蒲田7,スマスロ北斗の拳,full,20,257.0,0.002737862441904441,0.0026395525291828792
蒲田7,スマスロ北斗の拳,full,21,255.0,0.002960719921525142,0.002787101960784314
蒲田7,スマスロ北斗の拳,full,22,291.0,0.002684786237382326,0.0025678556701030928
蒲田7,スマスロ北斗の拳,full,23,221.0,0.002722772786256167,0.0026169140271493216
蒲田7,スマスロ北斗の拳,full,24,237.0,0.002683001555377407,0.002583008438818565
蒲田7,スマスロ北斗の拳,full,25,229.0,0.002790204816582666,0.002673899563318777
蒲田7,スマスロ北斗の拳,full,26,218.0,0.0027199957960585765,0.0025675275229357798
蒲田7,スマスロ北斗の拳,full,27,301.0,0.0026861097756271683,0.002594252491694352
蒲田7,スマスロ北斗の拳,full,28,225.0,0.0027147682773533076,0.0025886888888888887
蒲田7,スマスロ北斗の拳,full,29,253.0,0.002942628210401619,0.0027966561264822134
蒲田7,スマスロ北斗の拳,full,30,263.0,0.0029390518224102513,0.0028038935361216727
蒲田7,スマスロ北斗の拳,full,31,165.0,0.0029289855207759595,0.0028169151515151517
蒲田7,スマスロ北斗の拳,recent60d,1,17.0,0.0029907402082015298,0.0028371176470588233
蒲田7,スマスロ北斗の拳,recent60d,2,12.0,0.0034555827220863894,0.003323333333333333
蒲田7,スマスロ北斗の拳,recent60d,3,12.0,0.0029821516001246272,0.002788916666666667
蒲田7,スマスロ北斗の拳,recent60d,4,12.0,0.002443255393486281,0.0023826666666666666
蒲田7,スマスロ北斗の拳,recent60d,5,6.0,0.0024096385542168677,0.0023745
蒲田7,スマスロ北斗の拳,recent60d,6,16.0,0.0022436489115462716,0.0021354375
蒲田7,スマスロ北斗の拳,recent60d,7,18.0,0.002940810532626031,0.0029024444444444445
