scope,dow,dow_label,n_days,avg_games,avg_diff,win_rate,hit_rate,avg_payout_rate
section,0,月,77,2056.1,191.4,37.5,31.4,95.3
section,1,火,77,1676.6,-28.7,29.8,25.4,92.3
section,2,水,78,2093.1,3.7,31.3,24.7,92.1
section,3,木,77,1443.5,51.5,25.7,21.2,89.2
section,4,金,77,1979.5,-5.5,30.2,25.0,91.4
section,5,土,78,2970.3,-33.0,33.2,25.5,93.2
section,6,日,78,2973.1,-10.1,31.8,26.1,93.2
2004,0,月,77,2397.8,-8.6,34.8,23.2,94.8
2004,1,火,77,2288.9,209.9,33.8,30.8,98.4
2004,2,水,78,2286.4,-58.5,33.8,27.9,94.2
2004,3,木,77,1264.0,-114.6,23.1,18.5,86.8
2004,4,金,77,2275.9,86.7,37.7,30.4,96.2
2004,5,土,78,3646.0,425.8,42.1,30.3,99.1
2004,6,日,78,3361.7,-384.8,26.9,24.4,90.3
2005,0,月,77,1908.8,276.7,36.4,34.8,93.2
2005,1,火,77,1524.4,-20.8,28.6,23.8,94.1
2005,2,水,78,2056.3,-22.3,27.0,23.8,92.1
2005,3,木,77,1597.5,102.3,15.6,9.4,85.2
2005,4,金,77,2007.6,98.8,32.2,28.8,91.9
2005,5,土,78,2627.3,-321.6,29.3,22.7,90.1
2005,6,日,78,2752.8,-348.8,27.8,19.4,87.3
2006,0,月,77,1773.2,448.1,43.5,38.7,102.3
2006,1,火,77,1639.5,-128.2,23.8,17.5,89.0
2006,2,水,78,1925.6,-134.9,23.8,17.5,86.8
2006,3,木,77,1345.0,200.9,33.3,29.8,94.8
2006,4,金,77,1890.1,-203.3,24.1,20.7,84.5
2006,5,土,78,2870.7,105.3,33.8,29.7,93.2
2006,6,日,78,2864.1,492.0,37.8,28.4,100.5
2007,0,月,77,2113.7,70.3,35.9,29.7,91.2
2007,1,火,77,1219.8,-188.5,32.8,29.5,87.4
2007,2,水,78,2088.9,228.2,40.0,29.2,95.2
2007,3,木,77,1569.4,35.1,32.2,28.8,90.9
2007,4,金,77,1722.9,-21.2,25.8,19.7,91.9
2007,5,土,78,2720.1,-354.6,27.4,19.2,90.2
2007,6,日,78,2888.0,209.3,34.7,32.0,94.9
