hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
みとや,kakuban,1,9600,day_of_week,diff,kruskal,14.871007680029248,0.021284063644632385,0.0009247375878275041,9600,7,0.0,
みとや,kakuban,1,9600,day_of_week,hit104,chi2,5.549321190837452,0.47551572698203126,0.0,9600,7,,
みとや,kakuban,1,9600,day_of_week,plus,chi2,8.023045491690208,0.23641979292392626,0.014515190101207238,9600,7,,
みとや,kakuban,1,9600,dd,diff,kruskal,49.75692556180846,0.01314292504339352,0.002064680276079889,9600,31,0.0,
みとや,kakuban,1,9600,dd,hit104,chi2,62.28190275819989,0.0004831182776835303,0.057988990070255514,9600,31,,
みとや,kakuban,1,9600,dd,plus,chi2,76.62725622785445,5.9640984396048105e-06,0.06969351700079222,9600,31,,
みとや,kakuban,1,9600,dd_bin,diff,kruskal,1.3045668703359392,0.8606002192092782,0.0,9600,5,0.0,
みとや,kakuban,1,9600,dd_bin,hit104,chi2,2.368955123235178,0.6682446941622158,0.0,9600,5,,
みとや,kakuban,1,9600,dd_bin,plus,chi2,5.5249556968692195,0.23754454722420099,0.012602487461274672,9600,5,,
みとや,kakuban,1,9600,is_x_day,diff,kruskal,11.742996377529309,0.0006107262008396688,0.0011192953091820493,9600,2,0.0,
みとや,kakuban,1,9600,is_x_day,hit104,chi2,22.65449001348267,1.9390656126628863e-06,0.04749631780813776,9600,2,,
みとや,kakuban,1,9600,is_x_day,plus,chi2,34.20646414753553,4.956404226614063e-09,0.05881629210819405,9600,2,,
みとや,kakuban,2,9275,day_of_week,diff,kruskal,9.07516421126795,0.1693948090400595,0.0003318045113582164,9275,7,0.0,
みとや,kakuban,2,9275,day_of_week,hit104,chi2,1.6844153701556506,0.9463180765349598,0.0,9275,7,,
みとや,kakuban,2,9275,day_of_week,plus,chi2,3.895327398831012,0.6908390365401895,0.0,9275,7,,
みとや,kakuban,2,9275,dd,diff,kruskal,32.6778799295366,0.3366905162081493,0.0002896884389373217,9275,31,0.0,
みとや,kakuban,2,9275,dd,hit104,chi2,43.65354743403729,0.051252022599832504,0.038365225484622074,9275,31,,
みとや,kakuban,2,9275,dd,plus,chi2,59.814736953154245,0.0009694325243178365,0.05669677893121019,9275,31,,
みとや,kakuban,2,9275,dd_bin,diff,kruskal,5.769956140555426,0.2169993911534258,0.00019093377999519155,9275,5,0.0,
みとや,kakuban,2,9275,dd_bin,hit104,chi2,3.388894711336656,0.4949719250129828,0.0,9275,5,,
みとや,kakuban,2,9275,dd_bin,plus,chi2,4.873575915882762,0.3005170896486399,0.00970307847010558,9275,5,,
みとや,kakuban,2,9275,is_x_day,diff,kruskal,0.004453067464619327,0.9467956096916608,0.0,9275,2,0.0,
みとや,kakuban,2,9275,is_x_day,hit104,chi2,5.244482637034947,0.022016474141629876,0.021393080277652826,9275,2,,
みとや,kakuban,2,9275,is_x_day,plus,chi2,9.920401371881654,0.0016345673232188375,0.031013874832019974,9275,2,,
みとや,kakuban,3,9271,day_of_week,diff,kruskal,4.129320538783176,0.6591807836821368,0.0,9271,7,0.0,
みとや,kakuban,3,9271,day_of_week,hit104,chi2,14.012348855206822,0.029498524101185034,0.029398320368344544,9271,7,,
みとや,kakuban,3,9271,day_of_week,plus,chi2,20.88082746297996,0.001927280681200938,0.04006491548406609,9271,7,,
みとや,kakuban,3,9271,dd,diff,kruskal,28.331675814090282,0.5528654136912325,0.0,9271,31,0.0,
みとや,kakuban,3,9271,dd,hit104,chi2,43.692116131984065,0.05084473482601585,0.03842767347930401,9271,31,,
みとや,kakuban,3,9271,dd,plus,chi2,47.730075744671055,0.021089862781449552,0.043729628889651956,9271,31,,
みとや,kakuban,3,9271,dd_bin,diff,kruskal,2.9382851973323185,0.568205781593677,0.0,9271,5,0.0,
