hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
みとや,section,734-744,5918,dd,plus,chi2,101.5855301291906,1.0415189943002874e-09,0.10998829353476375,5918,31,,
みとや,section,540-556,8353,dd,plus,chi2,103.84990423207978,4.535766148954759e-10,0.09403059116986234,8353,31,,
みとや,section,574-590,8637,dd,plus,chi2,91.72132497253908,3.592718580257511e-08,0.08453743848170527,8637,31,,
みとや,section,723-733,5912,dd,plus,chi2,72.04520460224306,2.5704936296886803e-05,0.08433377641073389,5912,31,,
みとや,section,540-556,8353,dd,hit104,chi2,88.29246019889351,1.1890741696848996e-07,0.08354059647642165,8353,31,,
みとや,section,574-590,8637,is_x_day,plus,chi2,57.92291731516421,2.7259278777565186e-14,0.08118706083581177,8637,2,,
みとや,section,540-556,8353,is_x_day,plus,chi2,48.98845379043098,2.574736897708477e-12,0.07580059191710083,8353,2,,
みとや,section,591-607,8755,dd,plus,chi2,79.37821291762562,2.4262524890592066e-06,0.07510162679595785,8755,31,,
みとや,section,574-590,8637,is_x_day,hit104,chi2,49.47350949423161,2.010685116768517e-12,0.07491959125613784,8637,2,,
みとや,section,734-744,5918,dd,hit104,chi2,62.25910388764004,0.0004862815821887929,0.07383142311172561,5918,31,,
みとや,section,734-744,5918,is_x_day,plus,chi2,33.197693270489246,8.324923001810697e-09,0.07376671795352907,5918,2,,
みとや,section,712-722,5923,dd,plus,chi2,61.693547249159245,0.0005714355582866563,0.0731503684845361,5923,31,,
みとや,section,574-590,8637,dd,hit104,chi2,73.90834804192266,1.4274852831220358e-05,0.07130172792968785,8637,31,,
みとや,section,675-691,9186,dd,plus,chi2,73.43899432689774,1.6567580996497537e-05,0.06876761705049811,9186,31,,
みとや,section,591-607,8755,is_x_day,plus,chi2,42.12440985492822,8.564740735022555e-11,0.06854029477617703,8755,2,,
みとや,section,723-733,5912,is_x_day,plus,chi2,28.192385574100623,1.0983581615513211e-07,0.06782531671573701,5912,2,,
みとや,section,591-607,8755,dd,hit104,chi2,69.57920926456859,5.5262489148165996e-05,0.06723748891082929,8755,31,,
みとや,section,501-522,11442,dd,plus,chi2,80.33915684793313,1.7655891783215771e-06,0.06632994939865151,11442,31,,
みとや,section,540-556,8353,is_x_day,hit104,chi2,37.294740341290485,1.0155813630323961e-09,0.0659213193587689,8353,2,,
みとや,section,675-691,9186,is_x_day,plus,chi2,33.322551222299104,7.807202304930557e-09,0.059321552310813846,9186,2,,
みとや,section,591-607,8755,is_x_day,hit104,chi2,30.258891423520012,3.7805417766801084e-08,0.057812908338487706,8755,2,,
みとや,section,723-733,5912,dd,hit104,chi2,49.10758981081843,0.015325623083981717,0.056847948388925665,5912,31,,
みとや,section,501-522,11442,dd,hit104,chi2,66.68362207953673,0.0001330311265222927,0.05662244152085112,11442,31,,
みとや,section,557-573,8422,is_x_day,plus,chi2,27.702316245514552,1.4149319306575368e-07,0.05631079661468633,8422,2,,
みとや,section,608-623,8120,dd,plus,chi2,55.69364819537439,0.002960187642154603,0.05625101830038834,8120,31,,
みとや,section,608-623,8120,dd,hit104,chi2,54.42096553568679,0.00412528279087327,0.05483998026188386,8120,31,,
みとや,section,712-722,5923,dd,hit104,chi2,46.51120902864304,0.02775598721861446,0.05279449117482312,5923,31,,
みとや,section,501-522,11442,is_x_day,plus,chi2,32.73373746353893,1.0568682799281188e-08,0.05266571965221668,11442,2,,
みとや,section,641-657,9254,dd,plus,chi2,54.36222668319122,0.004188310390867609,0.05130838098769271,9254,31,,
みとや,section,658-674,9247,dd,plus,chi2,53.05274643425868,0.005851418155968556,0.049929110527213855,9247,31,,
