hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
蒲田1,section,1631-1633,1023,day_of_week,diff,kruskal,8.694691079117167,0.19149040864421313,0.0026522549991310697,1023,7,0.0,
蒲田1,section,1631-1633,1023,day_of_week,hit104,chi2,8.072396395572731,0.23284721283392523,0.04496712794364031,1023,7,,
蒲田1,section,1631-1633,1023,day_of_week,plus,chi2,10.778431150783307,0.0954704570341545,0.06833614452349931,1023,7,,
蒲田1,section,1631-1633,1023,dd,diff,kruskal,28.25098231172844,0.5571384941814606,0.0,1023,31,0.0,
蒲田1,section,1631-1633,1023,dd,hit104,chi2,28.34869259133101,0.5519645408595888,0.0,1023,31,,
蒲田1,section,1631-1633,1023,dd,plus,chi2,35.64346536497801,0.21998176443557638,0.07411656163745668,1023,31,,
蒲田1,section,1631-1633,1023,dd_bin,diff,kruskal,0.7436275205351142,0.9458417725098375,0.0,1023,5,0.0,
蒲田1,section,1631-1633,1023,dd_bin,hit104,chi2,1.3743868004281246,0.848634270974425,0.0,1023,5,,
蒲田1,section,1631-1633,1023,dd_bin,plus,chi2,1.4439692109766704,0.8365180845979457,0.0,1023,5,,
蒲田1,section,1631-1633,1023,is_x_day,diff,kruskal,0.8007078614466777,0.37088181483414606,0.0,1023,2,0.0,
蒲田1,section,1631-1633,1023,is_x_day,hit104,chi2,0.4923885093135373,0.48286377543700854,0.0,1023,2,,
蒲田1,section,1631-1633,1023,is_x_day,plus,chi2,0.05071453709675662,0.8218245580386305,0.0,1023,2,,
蒲田1,section,2001-2020,9996,day_of_week,diff,kruskal,28.760243696451717,6.753269566365665e-05,0.0022785307534739932,9996,7,0.0,
蒲田1,section,2001-2020,9996,day_of_week,hit104,chi2,7.94100275555934,0.24245754761577493,0.013933316767422665,9996,7,,
蒲田1,section,2001-2020,9996,day_of_week,plus,chi2,12.413151326665517,0.05336163985275798,0.02532934853127933,9996,7,,
蒲田1,section,2001-2020,9996,dd,diff,kruskal,53.97267953569357,0.0046297524018416485,0.0024056878610831485,9996,31,0.0,
蒲田1,section,2001-2020,9996,dd,hit104,chi2,54.17657642819198,0.0043935165872618165,0.04917892638460196,9996,31,,
蒲田1,section,2001-2020,9996,dd,plus,chi2,69.60250190686149,5.4868368220674035e-05,0.06294387218604468,9996,31,,
蒲田1,section,2001-2020,9996,dd_bin,diff,kruskal,15.398996524695345,0.003941346316499708,0.001140926486307211,9996,5,0.0,
蒲田1,section,2001-2020,9996,dd_bin,hit104,chi2,6.792658420062986,0.14725944914402225,0.016714230689598573,9996,5,,
蒲田1,section,2001-2020,9996,dd_bin,plus,chi2,14.046571532852314,0.007147892421953962,0.031703622871574834,9996,5,,
蒲田1,section,2001-2020,9996,is_x_day,diff,kruskal,3.7877003150137982,0.05163053869804417,0.00027893739393774244,9996,2,0.0,
蒲田1,section,2001-2020,9996,is_x_day,hit104,chi2,1.418602428035116,0.23363357356880599,0.006470793908542828,9996,2,,
蒲田1,section,2001-2020,9996,is_x_day,plus,chi2,3.7765949175774733,0.051974328495386954,0.01666698484208775,9996,2,,
蒲田1,section,2021-2031,5243,day_of_week,diff,kruskal,6.836406488491395,0.3362416879566924,0.0001597414989479364,5243,7,0.0,
蒲田1,section,2021-2031,5243,day_of_week,hit104,chi2,10.355092158363371,0.11047296579117168,0.02881994160063463,5243,7,,
蒲田1,section,2021-2031,5243,day_of_week,plus,chi2,15.141766582730371,0.01918228924163163,0.04175796961468369,5243,7,,
蒲田1,section,2021-2031,5243,dd,diff,kruskal,21.535643470751687,0.8703950409575368,0.0,5243,31,0.0,
蒲田1,section,2021-2031,5243,dd,hit104,chi2,32.24129417826221,0.3563908602289198,0.02065122174090519,5243,31,,
蒲田1,section,2021-2031,5243,dd,plus,chi2,30.45908484942897,0.44233192717875564,0.009299807994654295,5243,31,,
蒲田1,section,2021-2031,5243,dd_bin,diff,kruskal,0.6136045704196521,0.9615399782640192,0.0,5243,5,0.0,
蒲田1,section,2021-2031,5243,dd_bin,hit104,chi2,5.136539363056657,0.27357242441259233,0.014719664106867118,5243,5,,
蒲田1,section,2021-2031,5243,dd_bin,plus,chi2,8.015650014263358,0.09100659372172418,0.027675033798948173,5243,5,,
蒲田1,section,2021-2031,5243,is_x_day,diff,kruskal,0.0772159021761837,0.7811064002620907,0.0,5243,2,0.0,
蒲田1,section,2021-2031,5243,is_x_day,hit104,chi2,4.578826070706636,0.03236938354938267,0.026128243849906477,5243,2,,
蒲田1,section,2021-2031,5243,is_x_day,plus,chi2,5.124041968627035,0.023596592965090684,0.02804807066096075,5243,2,,
蒲田1,section,2032-2042,4908,day_of_week,diff,kruskal,10.23125226760457,0.11524524454704937,0.0008633446781482492,4908,7,0.0,
蒲田1,section,2032-2042,4908,day_of_week,hit104,chi2,4.687245318703603,0.5845049830347531,0.0,4908,7,,
蒲田1,section,2032-2042,4908,day_of_week,plus,chi2,10.68790076797678,0.09851459761460801,0.03090470050768887,4908,7,,
蒲田1,section,2032-2042,4908,dd,diff,kruskal,35.18664961731662,0.23591233397036943,0.0010634918222916995,4908,31,0.0,
蒲田1,section,2032-2042,4908,dd,hit104,chi2,47.17634141602223,0.023914915634975418,0.05915344023250962,4908,31,,
蒲田1,section,2032-2042,4908,dd,plus,chi2,48.634656009689955,0.017118728450726255,0.06161428542787844,4908,31,,
蒲田1,section,2032-2042,4908,dd_bin,diff,kruskal,8.847438021178121,0.0650280043233787,0.0009886677587554805,4908,5,0.0,
蒲田1,section,2032-2042,4908,dd_bin,hit104,chi2,15.1618552572149,0.00437702676562979,0.047691865905125745,4908,5,,
蒲田1,section,2032-2042,4908,dd_bin,plus,chi2,13.585248727862492,0.008743482861451242,0.04419521039600818,4908,5,,
蒲田1,section,2032-2042,4908,is_x_day,diff,kruskal,1.2571804349615228,0.2621854713008383,5.242161332277268e-05,4908,2,0.0,
蒲田1,section,2032-2042,4908,is_x_day,hit104,chi2,0.6310470964144429,0.42697149204980567,0.0,4908,2,,
蒲田1,section,2032-2042,4908,is_x_day,plus,chi2,0.9598866985000332,0.3272154256710432,0.0,4908,2,,
蒲田1,section,2043-2059,8591,day_of_week,diff,kruskal,8.2033170988869,0.22358305452737828,0.00025667720164106487,8591,7,0.0,
蒲田1,section,2043-2059,8591,day_of_week,hit104,chi2,14.134143073375943,0.028173083156350563,0.03077093388533832,8591,7,,
蒲田1,section,2043-2059,8591,day_of_week,plus,chi2,16.060971282836487,0.013430424802894214,0.034222229519913556,8591,7,,
蒲田1,section,2043-2059,8591,dd,diff,kruskal,20.96122418907575,0.889096455471303,0.0,8591,31,0.0,
蒲田1,section,2043-2059,8591,dd,hit104,chi2,47.30857287684258,0.02321091490241877,0.044883863431561456,8591,31,,
蒲田1,section,2043-2059,8591,dd,plus,chi2,43.81073219556168,0.04960969408216554,0.0400919199219633,8591,31,,
蒲田1,section,2043-2059,8591,dd_bin,diff,kruskal,1.3101644227222444,0.8596486418304857,0.0,8591,5,0.0,
蒲田1,section,2043-2059,8591,dd_bin,hit104,chi2,7.215615691396398,0.12492326335787458,0.019346572847264872,8591,5,,
蒲田1,section,2043-2059,8591,dd_bin,plus,chi2,4.878960780243529,0.2999438526940046,0.010112839119896777,8591,5,,
蒲田1,section,2043-2059,8591,is_x_day,diff,kruskal,0.001534479807540457,0.9687529089835155,0.0,8591,2,0.0,
蒲田1,section,2043-2059,8591,is_x_day,hit104,chi2,8.85567276229013,0.0029217940840830124,0.030240703849337705,8591,2,,
蒲田1,section,2043-2059,8591,is_x_day,plus,chi2,13.250200611822201,0.00027255069985449346,0.037763562525871264,8591,2,,
蒲田1,section,2060-2076,8600,day_of_week,diff,kruskal,33.23748766224761,9.438173351945734e-06,0.003169729740748005,8600,7,0.0,
蒲田1,section,2060-2076,8600,day_of_week,hit104,chi2,6.43016259375649,0.37676514368106007,0.0070670771859733215,8600,7,,
蒲田1,section,2060-2076,8600,day_of_week,plus,chi2,4.765570585018144,0.5742127745225578,0.0,8600,7,,
蒲田1,section,2060-2076,8600,dd,diff,kruskal,64.11960620160158,0.00028397203457354526,0.0039817488857044675,8600,31,0.0,
蒲田1,section,2060-2076,8600,dd,hit104,chi2,78.59220167173989,3.1422806578406035e-06,0.07516985731439804,8600,31,,
蒲田1,section,2060-2076,8600,dd,plus,chi2,98.55960975262107,3.1306357044310917e-09,0.08928924417056164,8600,31,,
蒲田1,section,2060-2076,8600,dd_bin,diff,kruskal,6.9554385892181685,0.13826191417176423,0.0003438555659357962,8600,5,0.0,
蒲田1,section,2060-2076,8600,dd_bin,hit104,chi2,7.617248237772656,0.10664890283391301,0.020508658753898422,8600,5,,
蒲田1,section,2060-2076,8600,dd_bin,plus,chi2,8.49389556232124,0.07507247875917034,0.022859411082661808,8600,5,,
蒲田1,section,2060-2076,8600,is_x_day,diff,kruskal,7.710505397472866,0.0054900379062971846,0.0007804728305969837,8600,2,0.0,
蒲田1,section,2060-2076,8600,is_x_day,hit104,chi2,19.196231119169482,1.1794602616997699e-05,0.04600079770042676,8600,2,,
蒲田1,section,2060-2076,8600,is_x_day,plus,chi2,43.882312271814754,3.487261404151999e-11,0.07061785748279212,8600,2,,
蒲田1,section,2077-2087,5205,day_of_week,diff,kruskal,14.675669267428164,0.02293496355233148,0.0016690398744571304,5205,7,0.0,
蒲田1,section,2077-2087,5205,day_of_week,hit104,chi2,9.366570600311107,0.1539876094801425,0.025430262757130655,5205,7,,
蒲田1,section,2077-2087,5205,day_of_week,plus,chi2,10.988381034905576,0.08873619498795167,0.030957150532018606,5205,7,,
蒲田1,section,2077-2087,5205,dd,diff,kruskal,40.37923719162522,0.09772557475010775,0.002006037338930271,5205,31,0.0,
蒲田1,section,2077-2087,5205,dd,hit104,chi2,42.02813282863928,0.07117777618349155,0.04806471520626423,5205,31,,
蒲田1,section,2077-2087,5205,dd,plus,chi2,37.328687872242234,0.16775636848437966,0.037512291980647816,5205,31,,
蒲田1,section,2077-2087,5205,dd_bin,diff,kruskal,8.996629668031249,0.061183778453901064,0.0009608903207752401,5205,5,0.0,
蒲田1,section,2077-2087,5205,dd_bin,hit104,chi2,4.697231044118924,0.31979710260598404,0.011568583965173348,5205,5,,
蒲田1,section,2077-2087,5205,dd_bin,plus,chi2,2.871516524919681,0.5795518462566076,0.0,5205,5,,
蒲田1,section,2077-2087,5205,is_x_day,diff,kruskal,0.655135763988609,0.41828247223642057,0.0,5205,2,0.0,
蒲田1,section,2077-2087,5205,is_x_day,hit104,chi2,2.572500145773171,0.10873575761858598,0.01738201715452388,5205,2,,
蒲田1,section,2077-2087,5205,is_x_day,plus,chi2,6.199752227110356,0.012776819772419283,0.031609284394929084,5205,2,,
蒲田1,section,2088-2098,5194,day_of_week,diff,kruskal,27.57959196662053,0.00011273090629055309,0.004160322337887127,5194,7,0.0,
蒲田1,section,2088-2098,5194,day_of_week,hit104,chi2,5.9892327234090725,0.42439732278723086,0.0,5194,7,,
蒲田1,section,2088-2098,5194,day_of_week,plus,chi2,6.313341162299651,0.38902000213868954,0.007753492872150459,5194,7,,
蒲田1,section,2088-2098,5194,dd,diff,kruskal,28.591815736683817,0.539106011637567,0.0,5194,31,0.0,
蒲田1,section,2088-2098,5194,dd,hit104,chi2,37.31071440447562,0.16825991278862298,0.037505857217256855,5194,31,,
蒲田1,section,2088-2098,5194,dd,plus,chi2,39.02066430286579,0.12526641511507183,0.041664962714195876,5194,31,,
蒲田1,section,2088-2098,5194,dd_bin,diff,kruskal,2.1869776369319096,0.7014140900056962,0.0,5194,5,0.0,
蒲田1,section,2088-2098,5194,dd_bin,hit104,chi2,8.291583946212654,0.08146248389406137,0.028744891583622006,5194,5,,
蒲田1,section,2088-2098,5194,dd_bin,plus,chi2,9.634346911814283,0.04705872577602244,0.03293691737693649,5194,5,,
蒲田1,section,2088-2098,5194,is_x_day,diff,kruskal,8.572111602496157,0.0034135103848236025,0.0014584190297565788,5194,2,0.0,
蒲田1,section,2088-2098,5194,is_x_day,hit104,chi2,0.1387743160276629,0.7095025610534621,0.0,5194,2,,
蒲田1,section,2088-2098,5194,is_x_day,plus,chi2,2.4585750078249906,0.11688477833270915,0.016758168780385743,5194,2,,
蒲田1,section,2099-2109,5606,day_of_week,diff,kruskal,17.55480287756844,0.007446620738539211,0.0020637261792406576,5606,7,0.0,
蒲田1,section,2099-2109,5606,day_of_week,hit104,chi2,11.54579851571046,0.0729032215438287,0.03145229376570717,5606,7,,
蒲田1,section,2099-2109,5606,day_of_week,plus,chi2,15.982321355623384,0.013849171324294238,0.04219924533644889,5606,7,,
蒲田1,section,2099-2109,5606,dd,diff,kruskal,65.34463290113335,0.0001981386223745782,0.006339844466571005,5606,31,0.0,
蒲田1,section,2099-2109,5606,dd,hit104,chi2,68.5275984880658,7.622965647440438e-05,0.08290257101056038,5606,31,,
蒲田1,section,2099-2109,5606,dd,plus,chi2,82.35292547412006,9.016237657796538e-07,0.09664079067453696,5606,31,,
蒲田1,section,2099-2109,5606,dd_bin,diff,kruskal,3.7114690822372647,0.4464600087488798,0.0,5606,5,0.0,
蒲田1,section,2099-2109,5606,dd_bin,hit104,chi2,3.095090824939442,0.5420402055969862,0.0,5606,5,,
蒲田1,section,2099-2109,5606,dd_bin,plus,chi2,5.503209987836313,0.23944746305761272,0.016372647427597187,5606,5,,
蒲田1,section,2099-2109,5606,is_x_day,diff,kruskal,8.411194525661346,0.0037291755396038394,0.0013224829631801117,5606,2,0.0,
蒲田1,section,2099-2109,5606,is_x_day,hit104,chi2,23.79808008044347,1.06989125277501e-06,0.06377634649153956,5606,2,,
蒲田1,section,2099-2109,5606,is_x_day,plus,chi2,35.36917617856785,2.7276968945697436e-09,0.07830610680051481,5606,2,,
蒲田1,section,2110-2120,5261,day_of_week,diff,kruskal,27.578831654969633,0.00011276799874850412,0.004107124410919229,5261,7,0.0,
蒲田1,section,2110-2120,5261,day_of_week,hit104,chi2,6.964935109281295,0.32410216816656773,0.013536280355974999,5261,7,,
蒲田1,section,2110-2120,5261,day_of_week,plus,chi2,4.975408254407211,0.5469710551854385,0.0,5261,7,,
蒲田1,section,2110-2120,5261,dd,diff,kruskal,51.26032534932943,0.009140451416586644,0.0040650717685142305,5261,31,0.0,
蒲田1,section,2110-2120,5261,dd,hit104,chi2,36.29243018754361,0.19865855973511964,0.03457159593890743,5261,31,,
蒲田1,section,2110-2120,5261,dd,plus,chi2,38.7256712618835,0.1319941306742506,0.04071595046936057,5261,31,,
蒲田1,section,2110-2120,5261,dd_bin,diff,kruskal,9.969584677658265,0.04094315255829532,0.0011357657301480717,5261,5,0.0,
蒲田1,section,2110-2120,5261,dd_bin,hit104,chi2,6.801771258340446,0.14674192767047478,0.023076212396643946,5261,5,,
蒲田1,section,2110-2120,5261,dd_bin,plus,chi2,4.115418821991312,0.3906109083214271,0.004668850948062668,5261,5,,
