hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田1,section,2143-2146,dd,plus,1,1,75,688.0,42.66666666666667,40.0
蒲田1,section,2143-2146,dd,plus,2,2,64,-656.25,20.3125,17.1875
蒲田1,section,2143-2146,dd,plus,3,3,67,-516.4179104477612,26.865671641791046,22.388059701492537
蒲田1,section,2143-2146,dd,plus,4,4,65,-246.15384615384616,27.692307692307693,24.615384615384617
蒲田1,section,2143-2146,dd,plus,5,5,65,-320.0,21.53846153846154,16.923076923076923
蒲田1,section,2143-2146,dd,plus,6,6,67,-238.80597014925374,32.83582089552239,28.35820895522388
蒲田1,section,2143-2146,dd,plus,7,7,71,673.2394366197183,49.29577464788733,40.845070422535215
蒲田1,section,2143-2146,dd,plus,8,8,58,-217.24137931034483,27.586206896551722,24.137931034482758
蒲田1,section,2143-2146,dd,plus,9,9,65,787.6923076923077,41.53846153846154,30.76923076923077
蒲田1,section,2143-2146,dd,plus,10,10,68,-176.47058823529412,33.82352941176471,26.47058823529412
蒲田1,section,2143-2146,dd,plus,11,11,71,139.43661971830986,42.25352112676056,36.61971830985916
蒲田1,section,2143-2146,dd,plus,12,12,58,-327.58620689655174,25.862068965517242,24.137931034482758
蒲田1,section,2143-2146,dd,plus,13,13,68,563.2352941176471,41.17647058823529,39.705882352941174
蒲田1,section,2143-2146,dd,plus,14,14,59,388.135593220339,38.983050847457626,33.89830508474576
蒲田1,section,2143-2146,dd,plus,15,15,66,-225.75757575757575,36.36363636363637,31.818181818181817
蒲田1,section,2143-2146,dd,plus,16,16,57,-505.2631578947368,31.57894736842105,28.07017543859649
蒲田1,section,2143-2146,dd,plus,17,17,71,453.5211267605634,40.845070422535215,35.2112676056338
蒲田1,section,2143-2146,dd,plus,18,18,51,-578.4313725490196,27.450980392156865,21.568627450980394
蒲田1,section,2143-2146,dd,plus,19,19,51,229.41176470588235,39.21568627450981,29.411764705882355
蒲田1,section,2143-2146,dd,plus,20,20,63,-269.8412698412698,28.57142857142857,25.396825396825395
