hall,granularity,group_value,n_machine_days,axis,outcome,test,statistic,p_value,effect_size,n_obs,n_levels,n_sparse_levels,note
蒲田1,section,2143-2146,1899,dd,plus,chi2,49.19245521634372,0.015022640269489188,0.10051672196764895,1899,31,,
蒲田1,section,2143-2146,1899,dd,hit104,chi2,49.00373115504707,0.015704012274502844,0.10002088905705588,1899,31,,
蒲田1,section,2223-2235,6867,dd,plus,chi2,98.45213626972334,3.2547039675420767e-09,0.09984532777942251,6867,31,,
蒲田1,section,2099-2109,5606,dd,plus,chi2,82.35292547412006,9.016237657796538e-07,0.09664079067453696,5606,31,,
蒲田1,section,2060-2076,8600,dd,plus,chi2,98.55960975262107,3.1306357044310917e-09,0.08928924417056164,8600,31,,
蒲田1,section,2236-2255,10599,dd,plus,chi2,107.09344755068051,1.3639368533699747e-10,0.08528817170015776,10599,31,,
蒲田1,section,2099-2109,5606,dd,hit104,chi2,68.5275984880658,7.622965647440438e-05,0.08290257101056038,5606,31,,
蒲田1,section,2223-2235,6867,dd,hit104,chi2,77.16638024096629,5.006607394255172e-06,0.08287895416551071,6867,31,,
蒲田1,section,2236-2255,10599,dd,hit104,chi2,96.16145753525541,7.423784914804951e-09,0.07900985878123086,10599,31,,
蒲田1,section,2099-2109,5606,is_x_day,plus,chi2,35.36917617856785,2.7276968945697436e-09,0.07830610680051481,5606,2,,
蒲田1,section,2060-2076,8600,dd,hit104,chi2,78.59220167173989,3.1422806578406035e-06,0.07516985731439804,8600,31,,
蒲田1,section,1631-1633,1023,dd,plus,chi2,35.64346536497801,0.21998176443557638,0.07411656163745668,1023,31,,
蒲田1,section,2143-2146,1899,is_x_day,hit104,chi2,10.647110134217726,0.001102430286768859,0.0712916579701009,1899,2,,
蒲田1,section,2143-2146,1899,is_x_day,plus,chi2,10.523406389831528,0.0011787201284858928,0.070833075875601,1899,2,,
蒲田1,section,2060-2076,8600,is_x_day,plus,chi2,43.882312271814754,3.487261404151999e-11,0.07061785748279212,8600,2,,
蒲田1,section,1631-1633,1023,day_of_week,plus,chi2,10.778431150783307,0.0954704570341545,0.06833614452349931,1023,7,,
蒲田1,section,2167-2176,5174,is_x_day,plus,chi2,23.539822538132903,1.2235491522041796e-06,0.06600884789909817,5174,2,,
蒲田1,section,2191-2202,6294,dd,plus,chi2,57.2760207374165,0.001942423059811546,0.06582997498805762,6294,31,,
蒲田1,section,2236-2255,10599,is_x_day,plus,chi2,46.82573131169765,7.758797494335123e-12,0.06575704664200704,10599,2,,
蒲田1,section,2099-2109,5606,is_x_day,hit104,chi2,23.79808008044347,1.06989125277501e-06,0.06377634649153956,5606,2,,
蒲田1,section,2001-2020,9996,dd,plus,chi2,69.60250190686149,5.4868368220674035e-05,0.06294387218604468,9996,31,,
蒲田1,section,2121-2131,5586,dd,plus,chi2,51.67323431404869,0.0082580854294867,0.06228686268957229,5586,31,,
蒲田1,section,2151-2161,5812,dd,plus,chi2,52.446294783432116,0.00681506292675299,0.06214367754639584,5812,31,,
蒲田1,section,2032-2042,4908,dd,plus,chi2,48.634656009689955,0.017118728450726255,0.06161428542787844,4908,31,,
蒲田1,section,2162-2166,2566,day_of_week,hit104,chi2,15.30537881020592,0.018010002707259182,0.06022388717057774,2566,7,,
蒲田1,section,2162-2166,2566,day_of_week,plus,chi2,15.198820939086728,0.018765442081956803,0.05987798886021562,2566,7,,
蒲田1,section,2167-2176,5174,is_x_day,hit104,chi2,19.148051452829375,1.2096092430018106e-05,0.0592299623819007,5174,2,,
蒲田1,section,2032-2042,4908,dd,hit104,chi2,47.17634141602223,0.023914915634975418,0.05915344023250962,4908,31,,
蒲田1,section,2191-2202,6294,is_x_day,plus,chi2,22.46610354983929,2.138847849060526e-06,0.058404477386003295,6294,2,,
蒲田1,section,2151-2161,5812,dd,hit104,chi2,48.54796956646512,0.017467426521558256,0.056488794540318486,5812,31,,
