hall,granularity,group_value,axis,outcome,axis_level,axis_level_order,n,avg_diff,plus_rate,hit104_rate
蒲田7,kakuban,22,dd,hit104,1,1,24,183.33333333333334,37.5,37.5
蒲田7,kakuban,22,dd,hit104,2,2,24,283.3333333333333,33.33333333333333,25.0
蒲田7,kakuban,22,dd,hit104,3,3,22,145.45454545454547,40.909090909090914,22.727272727272727
蒲田7,kakuban,22,dd,hit104,4,4,22,-695.4545454545455,31.818181818181817,4.545454545454546
蒲田7,kakuban,22,dd,hit104,5,5,22,22.727272727272727,36.36363636363637,18.181818181818183
蒲田7,kakuban,22,dd,hit104,6,6,22,59.09090909090909,50.0,18.181818181818183
蒲田7,kakuban,22,dd,hit104,7,7,24,-125.0,33.33333333333333,20.833333333333336
蒲田7,kakuban,22,dd,hit104,8,8,24,362.5,37.5,29.166666666666668
蒲田7,kakuban,22,dd,hit104,9,9,24,-420.8333333333333,33.33333333333333,20.833333333333336
蒲田7,kakuban,22,dd,hit104,10,10,24,-1008.3333333333334,8.333333333333332,0.0
蒲田7,kakuban,22,dd,hit104,11,11,24,-62.5,37.5,20.833333333333336
蒲田7,kakuban,22,dd,hit104,12,12,20,-75.0,30.0,25.0
蒲田7,kakuban,22,dd,hit104,13,13,24,-541.6666666666666,33.33333333333333,20.833333333333336
蒲田7,kakuban,22,dd,hit104,14,14,24,129.16666666666666,37.5,37.5
蒲田7,kakuban,22,dd,hit104,15,15,24,245.83333333333334,41.66666666666667,33.33333333333333
蒲田7,kakuban,22,dd,hit104,16,16,24,750.0,50.0,37.5
蒲田7,kakuban,22,dd,hit104,17,17,24,133.33333333333334,37.5,25.0
蒲田7,kakuban,22,dd,hit104,18,18,24,591.6666666666666,50.0,45.83333333333333
蒲田7,kakuban,22,dd,hit104,19,19,24,16.666666666666668,29.166666666666668,20.833333333333336
蒲田7,kakuban,22,dd,hit104,20,20,24,462.5,54.166666666666664,45.83333333333333
蒲田7,kakuban,22,dd,hit104,21,21,24,-145.83333333333334,41.66666666666667,33.33333333333333
蒲田7,kakuban,22,dd,hit104,22,22,24,279.1666666666667,41.66666666666667,33.33333333333333
蒲田7,kakuban,22,dd,hit104,23,23,24,-350.0,33.33333333333333,12.5
蒲田7,kakuban,22,dd,hit104,24,24,24,1125.0,58.333333333333336,45.83333333333333
蒲田7,kakuban,22,dd,hit104,25,25,24,-370.8333333333333,37.5,16.666666666666664
