hall,section,floor,section_size,section_min,section_max,section_score_mean,section_score_std,n_eval_days
蒲田7,3400-3401,3F,2,3400,3401,0.320608,0.014014,56
蒲田1,1631-1633,2F,3,1631,1633,0.365933,0.009837,39
蒲田1,2143-2146,2F,4,2143,2146,0.298398,0.016536,51
蒲田1,2147-2150,2F,4,2147,2150,0.325926,0.009133,60
蒲田1,2187-2190,2F,4,2187,2190,0.27678,0.009133,60
楽園蒲田店,2171-2172,本館2F,2,2171,2172,0.325614,0.011186,47
楽園蒲田店,2111-2113,本館2F,3,2111,2113,0.265292,0.033639,51
楽園蒲田店,1057-1059,新館1F,3,1057,1059,0.31748,0.013528,59
楽園蒲田店,2126-2128,本館2F,3,2126,2128,0.243553,0.009759,60
楽園蒲田店,3113-3116,本館3F,4,3113,3116,0.279764,0.034762,43
楽園蒲田店,3117-3120,本館3F,4,3117,3120,0.306928,0.019242,44
楽園蒲田店,1152-1155,本館1F,4,1152,1155,0.213979,0.017831,60
楽園蒲田店,2000-2003,新館2F,4,2000,2003,0.328122,0.012654,56
楽園蒲田店,2004-2007,新館2F,4,2004,2007,0.381712,0.010736,52
