score_type,gamma,rho,rho_event,rho_nonevent,lift_5x5,lift_5x5_event,lift_5x5_nonevent,avg_diff_per_machine,n_days
nonevent_only,,0.1632514752955197,0.18605528177270686,0.15596669536056101,1.1330790247000828,1.1682681462347253,1.1223692920591044,252.75027291549029,60
base_only,,0.16314644966796535,0.17303576721200462,0.15966606993603344,1.1667073297595763,1.188938670998684,1.1599412693824565,302.5634763786938,60
event_blend_gamma_1.0,1.0,0.16314644966796535,0.17303576721200462,0.15966606993603344,1.1667073297595763,1.188938670998684,1.1599412693824565,302.5634763786938,60
nonevent_blend_gamma_1.0,1.0,0.16314644966796535,0.17303576721200462,0.15966606993603344,1.1667073297595763,1.188938670998684,1.1599412693824565,302.5634763786938,60
nonevent_blend_gamma_0.7,0.7,0.16259447647793712,0.17303576721200462,0.1590239560932873,1.1597293652751821,1.188938670998684,1.1508395765767248,279.96903193424936,60
nonevent_blend_gamma_0.5,0.5,0.16223711040609326,0.17303576721200462,0.1584374182639878,1.1513755027504784,1.188938670998684,1.1399432341531983,274.88014304536046,60
nonevent_blend_gamma_0.3,0.3,0.1615818162257107,0.17303576721200462,0.15749103400462663,1.1587527715135344,1.188938670998684,1.1495657586267496,328.9854523495828,60
event_blend_gamma_0.7,0.7,0.1586228753796568,0.14839712227880983,0.15966606993603344,1.1726988286554778,1.2146165234096904,1.1599412693824565,325.0718097120271,60
event_blend_gamma_0.5,0.5,0.15484004346049463,0.13139724355380727,0.15966606993603344,1.174267383663688,1.2213389020163052,1.1599412693824565,327.6051430453605,60
adaptive,0.5,0.15422112646480599,0.13139724355380727,0.1584374182639878,1.15893555665459,1.2213389020163052,1.1399432341531983,299.92180971202714,60
event_blend_gamma_0.3,0.3,0.15083114067469788,0.11539465737650834,0.15966606993603344,1.1704274070674765,1.204881859461113,1.1599412693824565,329.6051430453605,60
event_only,,0.11759987588615914,0.08201227486105135,0.12809225059127624,1.1920853991212357,1.2122386440545818,1.1859518028371738,404.13913043478266,60
dow_only,,0.11137141368210256,0.09974552561631105,0.11439937008964825,1.1408928732779013,1.1938739463543706,1.1247681988633231,360.73974172915825,60
dd_only,,0.04886188095178109,0.0671578842399513,0.04351837000413406,1.1065888398792998,1.1049200627256202,1.1070967285782456,318.4144723633854,60
