segment,section_size,DD,best_rank_from_min,best_pay_rate,best_machine_count
2F,small,1,5,102.02,3
2F,small,2,2,102.93,3
2F,small,3,5,103.88,3
2F,small,4,7,100.95,3
2F,small,5,2,103.89,3
2F,small,6,2,103.74,3
2F,small,7,8,103.98,1
2F,small,8,3,103.5,3
2F,small,9,3,104.77,3
2F,small,10,5,104.67,3
2F,small,11,2,103.45,3
2F,small,12,5,105.25,3
2F,small,13,7,104.22,3
2F,small,14,3,105.02,3
2F,small,15,5,105.32,3
2F,small,16,7,103.08,3
2F,small,17,2,103.5,3
2F,small,18,2,106.28,3
2F,small,19,4,104.55,3
2F,small,20,2,106.9,3
2F,small,21,6,102.11,3
2F,small,22,1,103.11,3
2F,small,23,3,102.51,3
2F,small,24,3,102.88,3
2F,small,25,2,104.89,3
2F,small,26,7,102.45,3
2F,small,27,5,102.74,3
2F,small,28,7,103.63,3
2F,small,29,6,103.29,3
2F,small,30,1,102.71,3
2F,small,31,5,103.14,3
2F,medium,1,5,104.75,15
2F,medium,2,7,105.78,15
2F,medium,3,6,105.34,15
2F,medium,4,13,110.24,4
2F,medium,5,13,109.43,4
2F,medium,6,13,105.77,4
2F,medium,7,13,107.1,4
2F,medium,8,8,106.15,15
2F,medium,9,13,107.46,4
2F,medium,10,10,108.74,12
2F,medium,11,13,104.81,4
2F,medium,12,4,107.62,15
2F,medium,13,10,103.32,12
2F,medium,14,9,104.39,15
2F,medium,15,4,106.62,15
2F,medium,16,4,104.79,15
2F,medium,17,2,104.74,15
2F,medium,18,9,106.47,15
2F,medium,19,3,105.16,15
2F,medium,20,11,103.03,10
2F,medium,21,4,106.33,15
2F,medium,22,8,106.53,15
2F,medium,23,13,105.57,4
2F,medium,24,5,103.92,15
2F,medium,25,4,104.97,15
2F,medium,26,4,106.65,15
2F,medium,27,6,105.51,15
2F,medium,28,8,105.43,15
2F,medium,29,6,106.14,15
2F,medium,30,9,104.62,15
2F,medium,31,5,102.41,15
2F,large,1,13,107.34,9
2F,large,2,11,106.18,9
2F,large,3,9,106.17,9
2F,large,4,11,107.43,9
2F,large,5,8,105.59,9
2F,large,6,6,105.27,9
2F,large,7,11,106.64,9
2F,large,8,6,106.87,9
2F,large,9,13,104.28,9
2F,large,10,13,105.63,9
2F,large,11,9,105.89,9
2F,large,12,9,107.54,9
2F,large,13,13,106.77,9
2F,large,14,5,106.27,9
2F,large,15,3,104.86,9
2F,large,16,2,106.55,9
2F,large,17,5,106.03,9
2F,large,18,8,105.07,9
2F,large,19,2,106.34,9
2F,large,20,12,107.09,9
2F,large,21,13,111.6,9
2F,large,22,12,107.73,9
2F,large,23,4,102.16,9
2F,large,24,10,107.14,9
2F,large,25,10,113.5,9
2F,large,26,10,106.09,9
2F,large,27,4,109.15,9
2F,large,28,8,106.34,9
2F,large,29,7,108.91,9
2F,large,30,6,111.15,9
2F,large,31,8,105.81,9
3F,small,1,,,
3F,small,2,,,
3F,small,3,,,
3F,small,4,,,
3F,small,5,,,
3F,small,6,,,
3F,small,7,,,
3F,small,8,,,
3F,small,9,,,
3F,small,10,,,
3F,small,11,,,
3F,small,12,,,
3F,small,13,,,
3F,small,14,,,
3F,small,15,,,
3F,small,16,,,
3F,small,17,,,
3F,small,18,,,
3F,small,19,,,
3F,small,20,,,
3F,small,21,,,
3F,small,22,,,
3F,small,23,,,
3F,small,24,,,
3F,small,25,,,
3F,small,26,,,
3F,small,27,,,
3F,small,28,,,
3F,small,29,,,
3F,small,30,,,
3F,small,31,,,
3F,medium,1,13,104.18,6
3F,medium,2,6,104.7,11
3F,medium,3,5,103.16,11
3F,medium,4,6,104.81,11
3F,medium,5,10,104.35,10
3F,medium,6,11,104.55,9
3F,medium,7,5,103.87,11
3F,medium,8,3,104.29,11
3F,medium,9,7,104.35,11
3F,medium,10,4,103.26,11
3F,medium,11,5,103.1,11
3F,medium,12,7,103.82,11
3F,medium,13,13,103.28,6
3F,medium,14,3,105.43,11
3F,medium,15,3,104.23,11
3F,medium,16,5,104.63,11
3F,medium,17,8,103.31,11
3F,medium,18,8,101.93,11
3F,medium,19,4,104.59,11
3F,medium,20,13,105.19,6
3F,medium,21,10,103.52,10
3F,medium,22,2,102.39,11
3F,medium,23,10,104.38,10
3F,medium,24,6,104.12,11
3F,medium,25,5,104.29,11
3F,medium,26,8,102.25,11
3F,medium,27,7,102.79,11
3F,medium,28,2,104.3,11
3F,medium,29,6,101.82,11
3F,medium,30,2,105.13,11
3F,medium,31,6,104.84,11
3F,large,1,11,103.76,14
3F,large,2,1,102.75,14
3F,large,3,13,101.82,14
3F,large,4,9,102.95,14
3F,large,5,5,103.81,14
3F,large,6,4,103.11,14
3F,large,7,9,105.05,14
3F,large,8,7,103.03,14
3F,large,9,12,104.66,14
3F,large,10,12,105.59,14
3F,large,11,12,102.29,14
3F,large,12,8,103.86,14
3F,large,13,13,103.92,14
3F,large,14,6,103.25,14
3F,large,15,6,105.48,14
3F,large,16,13,103.48,14
3F,large,17,12,104.49,14
3F,large,18,8,103.85,14
3F,large,19,8,104.09,14
3F,large,20,8,102.96,14
3F,large,21,6,105.57,14
3F,large,22,5,103.58,14
3F,large,23,11,103.8,14
3F,large,24,8,107.09,14
3F,large,25,8,104.31,14
3F,large,26,11,104.82,14
3F,large,27,5,103.79,14
3F,large,28,8,103.73,14
3F,large,29,6,103.37,14
3F,large,30,1,102.64,14
3F,large,31,5,105.02,14
AT,small,1,5,102.02,3
AT,small,2,2,102.93,3
AT,small,3,5,103.88,3
AT,small,4,7,100.95,3
AT,small,5,2,103.89,3
AT,small,6,2,103.74,3
AT,small,7,8,103.98,1
AT,small,8,3,103.5,3
AT,small,9,3,104.77,3
AT,small,10,5,104.67,3
AT,small,11,2,103.45,3
AT,small,12,5,105.25,3
AT,small,13,7,104.22,3
AT,small,14,3,105.02,3
AT,small,15,5,105.32,3
AT,small,16,7,103.08,3
AT,small,17,2,103.5,3
AT,small,18,2,106.28,3
AT,small,19,4,104.55,3
AT,small,20,2,106.9,3
AT,small,21,6,102.11,3
AT,small,22,1,103.11,3
AT,small,23,3,102.51,3
AT,small,24,3,102.88,3
AT,small,25,2,104.89,3
AT,small,26,7,102.45,3
AT,small,27,5,102.74,3
AT,small,28,7,103.63,3
AT,small,29,6,103.29,3
AT,small,30,1,102.71,3
AT,small,31,5,103.14,3
AT,medium,1,5,103.14,19
AT,medium,2,7,105.74,19
AT,medium,3,1,104.4,19
AT,medium,4,13,107.69,6
AT,medium,5,13,107.27,6
AT,medium,6,13,105.9,6
AT,medium,7,6,106.86,19
AT,medium,8,8,105.02,19
AT,medium,9,13,108.79,6
AT,medium,10,10,106.64,15
AT,medium,11,6,104.61,19
AT,medium,12,4,106.62,19
AT,medium,13,13,104.38,6
AT,medium,14,3,104.59,19
AT,medium,15,4,104.58,19
AT,medium,16,13,104.59,6
AT,medium,17,8,104.38,19
AT,medium,18,10,105.29,15
AT,medium,19,4,104.97,19
AT,medium,20,13,107.75,6
AT,medium,21,7,105.15,19
AT,medium,22,6,104.84,19
AT,medium,23,13,105.34,6
AT,medium,24,6,103.36,19
AT,medium,25,13,104.89,6
AT,medium,26,4,105.12,19
AT,medium,27,3,104.77,19
AT,medium,28,8,106.07,19
AT,medium,29,6,104.47,19
AT,medium,30,2,106.17,19
AT,medium,31,4,101.36,19
AT,large,1,11,105.01,17
AT,large,2,1,103.37,17
AT,large,3,13,102.29,17
AT,large,4,11,104.24,17
AT,large,5,5,103.81,17
AT,large,6,4,103.47,17
AT,large,7,11,106.32,17
AT,large,8,7,103.75,17
AT,large,9,12,104.41,17
AT,large,10,9,104.85,17
AT,large,11,12,103.84,17
AT,large,12,9,105.33,17
AT,large,13,13,105.94,17
AT,large,14,13,104.42,17
AT,large,15,6,103.68,17
AT,large,16,4,105.68,17
AT,large,17,12,104.62,17
AT,large,18,8,104.49,17
AT,large,19,2,104.76,17
AT,large,20,2,104.27,17
AT,large,21,13,108.67,17
AT,large,22,2,105.81,17
AT,large,23,13,101.57,17
AT,large,24,8,106.09,17
AT,large,25,10,105.98,17
AT,large,26,10,104.53,17
AT,large,27,5,106.32,17
AT,large,28,8,105.83,17
AT,large,29,7,104.66,17
AT,large,30,6,105.43,17
AT,large,31,3,104.3,17
