machine_name,total_machines,avg_diff,avg_games,std_diff,std_games,outlier_diff_count,outlier_games_count,outlier_either_count,outlier_diff_rate,outlier_games_rate,outlier_either_rate,outlier_avg_diff,outlier_avg_games
ソードアート・オンライン,4,1550.0,3770.0,2949.011133696627,1303.0602441944118,2,1,3,50.0,25.0,75.0,2833.3333333333335,4194.333333333333
アズールレーン THE ANIMATION,8,2612.5,4451.125,4406.954730877094,776.2320046223294,5,1,6,62.5,12.5,75.0,4333.333333333333,4325.0
ビッグドリーム THE GOLDEN PUSHER,7,3571.4285714285716,6413.857142857143,6436.798967839601,702.6154539934887,4,1,5,57.14285714285714,14.285714285714285,71.42857142857143,5140.0,6511.2
いざ！番長,6,-316.6666666666667,3931.0,2229.2749194898925,1610.8574114427386,2,3,4,33.33333333333333,50.0,66.66666666666666,500.0,4669.5
プリズムナナ,3,1533.3333333333333,3927.6666666666665,5795.112883571236,1598.0376507871563,1,1,2,33.33333333333333,33.33333333333333,66.66666666666666,3450.0,4414.0
革命機ヴァルヴレイヴ,6,-233.33333333333334,5689.333333333333,3200.416639543462,1070.8205576410394,3,1,4,50.0,16.666666666666664,66.66666666666666,625.0,5899.5
北斗の拳 転生の章2,26,-519.2307692307693,3804.0384615384614,3012.3770322812156,1926.4482236648712,6,12,17,23.076923076923077,46.15384615384615,65.38461538461539,-58.8235294117647,4904.176470588235
ToLOVEるダークネス TRANCE ver.8.7,5,2500.0,5685.0,8316.249154516716,1399.5735064654518,2,1,3,40.0,20.0,60.0,3333.3333333333335,6017.0
革命機ヴァルヴレイヴ2,20,-205.0,4279.5,2712.0539895262527,1298.8920177151797,9,4,12,45.0,20.0,60.0,1291.6666666666667,4749.0
虚構推理,5,920.0,4344.6,2595.573154430443,1120.8333060718708,2,2,3,40.0,40.0,60.0,2600.0,5090.666666666667
うみねこのなく頃に2,7,571.4285714285714,6716.571428571428,1684.9473638804327,2061.4846476219395,4,2,4,57.14285714285714,28.57142857142857,57.14285714285714,1850.0,7886.0
ミリオンゴッド‐神々の軌跡‐,25,140.0,5419.96,4682.413907377262,882.5821246018223,10,5,13,40.0,20.0,52.0,3023.076923076923,5828.7692307692305
東京喰種,41,-248.78048780487805,4273.414634146341,3717.8704893540544,1012.5630591624839,15,6,21,36.58536585365854,14.634146341463413,51.21951219512195,1823.8095238095239,4437.333333333333
ミスタージャグラー,6,-600.0,4883.333333333333,1387.0832707519762,1880.953977817285,2,2,3,33.33333333333333,33.33333333333333,50.0,-100.0,6213.333333333333
マギアレコード 魔法少女まどか☆マギカ外伝,24,1770.8333333333333,4077.0833333333335,4412.283167887481,953.778431870552,9,4,12,37.5,16.666666666666664,50.0,4283.333333333333,4308.666666666667
ディスクアップ2,2,1650.0,5792.0,1343.5028842544402,619.4255403194156,1,0,1,50.0,0.0,50.0,2600.0,5354.0
キングハナハナ-30,16,-356.25,5942.6875,1586.5975124985753,2518.3307095177156,4,7,8,25.0,43.75,50.0,375.0,8024.875
バンドリ！,2,2250.0,2904.5,7141.77848998413,473.0544366138003,1,0,1,50.0,0.0,50.0,7300.0,3239.0
七つの魔剣が支配する,2,4900.0,2839.0,8061.017305526641,206.47518010647187,1,0,1,50.0,0.0,50.0,10600.0,2693.0
スーパーリオエース2,8,600.0,6606.5,4463.502788489904,711.5532306159533,4,1,4,50.0,12.5,50.0,3900.0,6808.0
新鬼武者3,8,1137.5,3612.5,3543.1775488757467,938.4094445998962,3,1,4,37.5,12.5,50.0,3625.0,4118.75
不二子BT,2,700.0,3864.0,707.1067811865476,390.32294321497426,1,0,1,50.0,0.0,50.0,1200.0,3588.0
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,4,-100.0,3692.75,1542.7248620541513,2178.3763640228317,1,1,2,25.0,25.0,50.0,850.0,5375.5
甲鉄城のカバネリ,6,800.0,2557.5,2357.116882973774,1497.412935699435,2,2,3,33.33333333333333,33.33333333333333,50.0,2000.0,3564.0
スーパーブラックジャック,8,825.0,3976.0,2605.351635165039,1243.972668510044,3,2,4,37.5,25.0,50.0,2700.0,4126.75
アレックス ブライト,4,-600.0,3334.5,1525.3414918196734,1739.7855231799886,2,1,2,50.0,25.0,50.0,650.0,4311.5
ドッチ,2,700.0,5597.0,1979.8989873223331,401.636651713959,1,0,1,50.0,0.0,50.0,2100.0,5313.0
バーサスリヴァイズ,2,200.0,5489.5,2121.3203435596424,796.909342397239,1,0,1,50.0,0.0,50.0,1700.0,4926.0
グランベルム,2,2050.0,4059.5,3323.4018715767734,214.2533546995239,1,0,1,50.0,0.0,50.0,4400.0,4211.0
化物語,17,-111.76470588235294,3884.764705882353,3999.512837981205,896.170012428708,6,2,8,35.294117647058826,11.76470588235294,47.05882352941176,2262.5,4239.5
真打 吉宗,15,-300.0,4849.2,3128.21263435117,718.3122281729981,6,1,7,40.0,6.666666666666667,46.666666666666664,1557.142857142857,5068.142857142857
戦国乙女4 戦乱に閃く炯眼の軍師,13,2000.0,5900.076923076923,3548.9435047630723,1543.5148990501334,5,5,6,38.46153846153847,38.46153846153847,46.15384615384615,5016.666666666667,7194.833333333333
ネオアイムジャグラーEX,38,402.63157894736844,5244.210526315789,1427.0526879239437,1989.2265257373313,11,13,17,28.947368421052634,34.21052631578947,44.73684210526316,1352.9411764705883,7002.058823529412
ジャグラーガールズ,9,-266.6666666666667,4660.555555555556,989.9494936611665,2876.2356957971606,3,3,4,33.33333333333333,33.33333333333333,44.44444444444444,500.0,7433.75
モンスターハンターライズ,9,566.6666666666666,4386.666666666667,3256.9157188972513,700.7249817153661,3,1,4,33.33333333333333,11.11111111111111,44.44444444444444,3025.0,4395.5
スマスロ北斗の拳,9,700.0,3426.5555555555557,895.8236433584459,2048.1226227396096,1,3,4,11.11111111111111,33.33333333333333,44.44444444444444,625.0,4838.25
