date,machine_number,machine_name,last_digit,is_zorome,games_normalized,diff_coins_normalized,date_dt,dd,dow,mmdd,is_event,is_month_end,is_0707,floor,section,section_min,section_max,rank_from_min,rank_from_max,section_size,section_size_group,lr,kakuban_old,kakuban_new,seg,segment,hist_payout_row,kakuban,dd_key,dow_key,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an,a_seg_hist_coverage,a_seg_fallback_count,hist_metric,composite,variant,test_date,dow_name,rank
20260621,2331,プリズムナナ,1,0,1253,-1000,2026-06-21,21,6,0621,True,False,False,2F,2330-2351,2330,2351,2,21,22,large,L,21,21,N,2F_L_N,73.39718010109073,21,21,6,220.28985507246378,0.0,163.63636363636363,1072.340425531915,0.0,0.0,220.28985507246378,100.57661990365987,0.4057971014492754,30.144927536231886,0.0,0.0,30.144927536231886,510.8841297613213,v7_lift_weights,2026-06-21,Sunday,1
20260621,3055,革命機ヴァルヴレイヴ,5,1,6319,5100,2026-06-21,21,6,0621,True,False,False,3F,3043-3057,3043,3057,13,3,15,large,R,13,3,N,3F_R_N,126.90299097958537,3,21,6,159.7826086956522,0.0,810.6060606060606,400.35460992907804,0.0,289.7834984920293,370.1449275362319,104.46770112053355,0.37971014492753624,31.594202898550726,0.0,0.0,31.594202898550726,373.4420995172789,v7_lift_weights,2026-06-21,Sunday,2
20260621,2338,七つの魔剣が支配する,8,0,4021,2700,2026-06-21,21,6,0621,True,False,False,2F,2330-2351,2330,2351,9,14,22,large,L,14,14,N,2F_L_N,122.38249191743347,14,21,6,387.18840579710144,50.0,-254.54545454545453,690.4255319148937,0.0,0.0,316.81159420289856,100.46594725617489,0.39710144927536234,31.30434782608696,0.0,0.0,31.30434782608696,372.48036384694853,v7_lift_weights,2026-06-21,Sunday,3
20260621,3112,革命機ヴァルヴレイヴ2,2,0,3062,-2000,2026-06-21,21,6,0621,True,False,False,3F,3103-3116,3103,3116,10,5,14,medium,R,10,5,N,3F_R_N,78.22773786196386,5,21,6,-1.8840579710144927,150.0,1022.7272727272727,185.10638297872342,0.0,0.0,116.52173913043478,101.80378957088892,0.3507246376811594,31.30434782608696,0.0,0.0,31.30434782608696,372.46410850943687,v7_lift_weights,2026-06-21,Sunday,4
20260621,3026,スマスロ ハナビ,6,0,1889,-300,2026-06-21,21,6,0621,True,False,False,3F,3017-3030,3017,3030,10,5,14,medium,R,10,5,N,3F_R_N,94.70619375330863,5,21,6,-1.8840579710144927,150.0,1022.7272727272727,185.10638297872342,0.0,0.0,-120.28985507246377,101.85703710650382,0.3884057971014493,29.275362318840582,0.0,0.0,29.275362318840582,371.95686213262525,v7_lift_weights,2026-06-21,Sunday,5
20260621,2267,北斗の拳 転生の章2,7,0,415,500,2026-06-21,21,6,0621,True,False,False,2F,2264-2280,2264,2280,4,14,17,large,L,4,14,N,2F_L_N,140.16064257028114,14,21,6,387.18840579710144,50.0,-254.54545454545453,690.4255319148937,0.0,0.0,211.59420289855072,99.5505294229551,0.3391304347826087,26.666666666666668,0.0,0.0,26.666666666666668,371.5528276150645,v7_lift_weights,2026-06-21,Sunday,6
20260621,2199,スマスロ炎炎ノ消防隊2,9,1,4534,-2100,2026-06-21,21,6,0621,True,False,False,2F,2196-2212,2196,2212,4,14,17,large,L,4,14,N,2F_L_N,84.56109395677106,14,21,6,387.18840579710144,50.0,-254.54545454545453,690.4255319148937,0.0,-154.52569169960475,438.2608695652174,104.2564504531915,0.43478260869565216,37.391304347826086,0.0,0.0,37.391304347826086,367.667484255702,v7_lift_weights,2026-06-21,Sunday,7
20260621,2300,無職転生 ～異世界行ったら本気だす～,0,1,866,-800,2026-06-21,21,6,0621,True,False,False,2F,2298-2313,2298,2313,3,14,16,large,L,3,14,N,2F_L_N,69.20708237105467,14,21,6,387.18840579710144,50.0,-254.54545454545453,690.4255319148937,0.0,-154.52569169960475,465.7971014492754,104.16964531391889,0.4405797101449275,37.10144927536232,0.0,0.0,37.10144927536232,367.60951324120924,v7_lift_weights,2026-06-21,Sunday,8
20260621,2233,新鬼武者3,3,1,4183,-1200,2026-06-21,21,6,0621,True,False,False,2F,2230-2246,2230,2246,4,14,17,large,L,4,14,N,2F_L_N,90.4374850585704,14,21,6,387.18840579710144,50.0,-254.54545454545453,690.4255319148937,0.0,-154.52569169960475,503.4782608695652,103.79835379182389,0.43768115942028984,34.492753623188406,0.0,0.0,34.492753623188406,367.0877741107745,v7_lift_weights,2026-06-21,Sunday,9
20260621,3229,東京喰種,9,0,4674,-2100,2026-06-21,21,6,0621,True,False,False,3F,3218-3233,3218,3233,12,5,16,large,R,12,5,N,3F_R_N,85.02353444587078,5,21,6,170.7246376811594,0.0,1022.7272727272727,185.10638297872342,0.0,0.0,74.78260869565217,100.41562396308989,0.42028985507246375,37.10144927536232,0.0,0.0,37.10144927536232,357.84195530032713,v7_lift_weights,2026-06-21,Sunday,10
