section_rank,section,section_score_pct,section_hist_coverage_pct,n_machines
1,2129-2142,40.3,100.0,6
2,3209-3217,39.4,100.0,6
3,2247-2263,37.6,100.0,7
4,2230-2246,35.9,100.0,10
5,3325-3340,35.5,100.0,11
6,2065-2076,35.3,100.0,12
7,2041-2052,35.1,100.0,11
8,3250-3264,35.0,100.0,12
9,2187-2195,35.0,100.0,2
10,2155-2164,34.9,100.0,8
11,2001-2010,34.7,100.0,3
12,2023-2031,34.7,100.0,8
13,2102-2114,34.6,100.0,10
14,2143-2154,34.2,100.0,1
15,2032-2040,34.1,100.0,8
16,3234-3249,34.0,100.0,10
17,3031-3042,34.0,100.0,12
18,3218-3233,33.8,100.0,8
19,2053-2064,33.6,100.0,12
20,2011-2022,33.5,100.0,11
21,2115-2128,33.3,100.0,4
22,3103-3116,33.1,100.0,5
23,3001-3016,33.0,100.0,13
24,3191-3208,32.3,100.0,8
25,3400-3401,31.4,100.0,1
26,2264-2280,31.4,100.0,5
27,3144-3155,31.0,100.0,6
28,3043-3057,30.9,100.0,6
29,2165-2171,30.8,100.0,3
30,2213-2229,30.7,100.0,14
31,2196-2212,30.6,100.0,16
32,2281-2297,30.6,100.0,9
33,2330-2351,30.4,100.0,11
34,2298-2313,30.2,100.0,7
35,3310-3324,30.0,100.0,7
36,2089-2101,30.0,100.0,4
37,3341-3362,29.7,100.0,14
38,3058-3072,29.6,100.0,9
39,3295-3309,29.4,100.0,8
40,3156-3167,28.7,100.0,8
41,3017-3030,28.5,100.0,7
42,3168-3180,28.2,100.0,5
43,3088-3102,28.2,100.0,10
44,3117-3130,28.1,100.0,11
45,2077-2088,27.9,100.0,3
46,3073-3087,27.9,100.0,11
47,2314-2329,27.9,100.0,6
48,3181-3190,27.3,100.0,6
49,3131-3143,26.7,100.0,10
50,3281-3294,26.5,100.0,10
51,3265-3280,26.1,100.0,13
52,2179-2186,25.3,100.0,6
53,2172-2178,24.9,100.0,6
