================================================================================
SIGNIFICANCE TEST RESULTS
================================================================================

--- v11_seg_weights vs v6a_hit_an | event ---
  2F_L_N   | diff=+0 [+0, +0] | win 0/68 (50%) | ACF1=0.00
  2F_R_N   | diff=+0 [+0, +0] | win 0/68 (50%) | ACF1=0.00
  3F_L_A   | diff=+0 [+0, +0] | win 0/68 (50%) | ACF1=0.00
  3F_L_N   | diff=+0 [+0, +0] | win 0/68 (50%) | ACF1=0.00
  3F_R_A   | diff=+0 [+0, +0] | win 0/68 (50%) | ACF1=0.00
  3F_R_N   | diff=+0 [+0, +0] | win 0/68 (50%) | ACF1=0.00

--- v11_seg_weights vs v6a_hit_an | non_event ---
  2F_L_N   | diff=+33 [-21, +87] | win 105/189 (56%) | ACF1=-0.05
  2F_R_N   | diff=+0 [+0, +0] | win 0/189 (50%) | ACF1=0.00
  3F_L_A   | diff=+0 [+0, +0] | win 0/189 (50%) | ACF1=0.00
  3F_L_N   | diff=+0 [+0, +0] | win 0/189 (50%) | ACF1=0.00
  3F_R_A   | diff=+22 [+5, +38]*** | win 118/189 (63%)*** | ACF1=-0.14
  3F_R_N   | diff=+55 [+8, +101]*** | win 103/189 (55%) | ACF1=-0.01
