index,debut_phase,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
0,1-14日,966.6666666666666,167.08860759493672,66.66666666666666,104.18613147349457,799.57805907173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v12c_tuned,90,non_event,top50
1,15-60日,-557.1428571428571,224.06015037593986,32.6530612244898,94.09698819628284,-781.203007518797,0.0,0.0,0.0,0.0,2.0,0.5828571428571429,4.0,0.7285714285714285,2.0,0.5024630541871921,2.0,0.7669172932330827,2025-10-06,v12c_tuned,90,non_event,top50
2,61-180日,-350.0,190.11627906976744,26.923076923076923,95.67134904129395,-540.1162790697674,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6865384615384615,2.0,0.9469496021220158,0.0,0.0,2025-10-06,v12c_tuned,90,non_event,top50
3,pre_existing,450.0,149.3975903614458,46.0,102.3142149935454,300.6024096385542,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,7.0,1.2495,6.0,1.477241379310345,3.0,1.1273684210526316,2025-10-06,v12c_tuned,90,non_event,top50
0,1-14日,966.6666666666666,167.08860759493672,66.66666666666666,104.18613147349457,799.57805907173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v12c_tuned,90,non_event,bottom50
1,15-60日,-557.1428571428571,224.06015037593986,32.6530612244898,94.09698819628284,-781.203007518797,0.0,0.0,0.0,0.0,2.0,0.5828571428571429,4.0,0.7285714285714285,2.0,0.5024630541871921,2.0,0.7669172932330827,2025-10-06,v12c_tuned,90,non_event,bottom50
2,61-180日,-350.0,190.11627906976744,26.923076923076923,95.67134904129392,-540.1162790697674,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6865384615384615,2.0,0.9469496021220158,0.0,0.0,2025-10-06,v12c_tuned,90,non_event,bottom50
3,pre_existing,158.0,171.3855421686747,34.0,98.47594512408939,-13.385542168674704,1.0,1.4280000000000002,3.0,2.1420000000000003,6.0,1.7136,7.0,1.2495,6.0,1.477241379310345,6.0,2.254736842105263,2025-10-06,v12c_tuned,90,non_event,bottom50
0,1-14日,966.6666666666666,167.08860759493672,66.66666666666666,104.18613147349457,799.57805907173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v12d_tuned_half,90,non_event,top50
1,15-60日,-557.1428571428571,224.06015037593986,32.6530612244898,94.09698819628282,-781.203007518797,0.0,0.0,0.0,0.0,2.0,0.5828571428571429,4.0,0.7285714285714285,2.0,0.5024630541871921,2.0,0.7669172932330827,2025-10-06,v12d_tuned_half,90,non_event,top50
2,61-180日,-350.0,190.11627906976744,26.923076923076923,95.67134904129395,-540.1162790697674,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6865384615384615,2.0,0.9469496021220158,0.0,0.0,2025-10-06,v12d_tuned_half,90,non_event,top50
3,pre_existing,450.0,149.3975903614458,46.0,102.3142149935454,300.6024096385542,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,7.0,1.2495,6.0,1.477241379310345,3.0,1.1273684210526316,2025-10-06,v12d_tuned_half,90,non_event,top50
0,1-14日,966.6666666666666,167.08860759493672,66.66666666666666,104.18613147349457,799.57805907173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v12d_tuned_half,90,non_event,bottom50
1,15-60日,-557.1428571428571,224.06015037593986,32.6530612244898,94.09698819628284,-781.203007518797,0.0,0.0,0.0,0.0,2.0,0.5828571428571429,4.0,0.7285714285714285,2.0,0.5024630541871921,2.0,0.7669172932330827,2025-10-06,v12d_tuned_half,90,non_event,bottom50
