test_date,variant,window,component,event_type,avg_diff,win_rate,payout_rate,hit@50,lift@50
2025-10-06,v6a_hit_an,90,c1,non_event,-238.0,34.0,92.74041984094676,4.0,1.1424
2025-10-06,v6a_hit_an,90,c2,non_event,214.0,46.0,99.0160467315655,2.0,0.5712
2025-10-06,v6a_hit_an,90,c3,non_event,420.0,40.0,100.69731268526154,7.0,1.9992
2025-10-06,v6a_hit_an,90,c4,non_event,372.0,38.0,99.63327758775353,6.0,1.7136
2025-10-06,v6a_hit_an,90,c5,non_event,310.0,40.0,100.4687047092726,5.0,1.428
2025-10-06,v6a_hit_an,90,c6,non_event,318.0,44.0,101.97508600966088,4.0,1.1424
2025-10-06,v6a_hit_an,90,hist_diff,non_event,58.0,40.0,97.8644253113106,1.0,0.2856
2025-10-06,v6a_hit_an,90,hist_payout,non_event,100.0,40.0,99.28579383237356,3.0,0.8568
2025-10-06,v6a_hit_an,90,hist_winrate,non_event,22.0,42.0,97.79334277950055,0.0,0.0
2025-10-06,v6a_hit_an,90,hist_hit_an,non_event,586.0,50.0,106.83735522992781,4.0,1.1424
2025-10-06,v6b_seg_weights,90,c1,non_event,-246.0,34.0,92.52469412094408,4.0,1.1424
2025-10-06,v6b_seg_weights,90,c2,non_event,358.0,50.0,100.74400501859354,2.0,0.5712
2025-10-06,v6b_seg_weights,90,c3,non_event,458.0,42.0,102.05063879871446,7.0,1.9992
2025-10-06,v6b_seg_weights,90,c4,non_event,414.0,38.0,100.36781542130079,6.0,1.7136
2025-10-06,v6b_seg_weights,90,c5,non_event,456.0,40.0,102.10936934507882,6.0,1.7136
2025-10-06,v6b_seg_weights,90,c6,non_event,112.0,38.0,99.44196039802338,4.0,1.1424
2025-10-06,v6b_seg_weights,90,hist_diff,non_event,58.0,40.0,97.86442531131063,1.0,0.2856
2025-10-06,v6b_seg_weights,90,hist_payout,non_event,100.0,40.0,99.28579383237356,3.0,0.8568
2025-10-06,v6b_seg_weights,90,hist_winrate,non_event,-2.0,40.0,97.1182296944173,0.0,0.0
2025-10-06,v6b_seg_weights,90,hist_hit_an,non_event,682.0,54.0,107.0283950382609,4.0,1.1424
2025-10-06,v7_lift_weights,90,c1,non_event,-290.0,34.0,92.71329627815716,2.0,0.5712
2025-10-06,v7_lift_weights,90,c2,non_event,-12.0,42.0,96.44583602615887,1.0,0.2856
2025-10-06,v7_lift_weights,90,c3,non_event,376.0,42.0,99.62463646243545,5.0,1.428
2025-10-06,v7_lift_weights,90,c4,non_event,182.0,36.0,98.24619242005286,5.0,1.428
2025-10-06,v7_lift_weights,90,c5,non_event,290.0,38.0,99.96003239309042,5.0,1.428
2025-10-06,v7_lift_weights,90,c6,non_event,-72.0,38.0,95.70670702573338,1.0,0.2856
2025-10-06,v7_lift_weights,90,hist_diff,non_event,6.0,40.0,96.59820680165171,1.0,0.2856
2025-10-06,v7_lift_weights,90,hist_payout,non_event,192.0,50.0,100.02616422145621,2.0,0.5712
2025-10-06,v7_lift_weights,90,hist_winrate,non_event,30.0,40.0,97.20777800787978,0.0,0.0
2025-10-06,v7_lift_weights,90,hist_hit_an,non_event,452.0,50.0,105.16534923096042,3.0,0.8568
2025-10-07,v6a_hit_an,90,c1,event,192.0,42.0,102.7997803914604,7.0,1.9992
2025-10-07,v6a_hit_an,90,c2,event,356.0,48.0,100.34235551492152,3.0,0.8568
2025-10-07,v6a_hit_an,90,c3,event,-278.0,30.0,98.68610678373406,6.0,1.7136
2025-10-07,v6a_hit_an,90,c4,event,524.0,48.0,102.69924929258325,7.0,1.9992
2025-10-07,v6a_hit_an,90,c5,event,302.0,40.0,107.00229910562521,9.0,2.5704
2025-10-07,v6a_hit_an,90,c6,event,-310.0,36.0,97.17182587123014,2.0,0.5712
2025-10-07,v6a_hit_an,90,hist_diff,event,6.0,42.0,99.23222241642907,5.0,1.428
2025-10-07,v6a_hit_an,90,hist_payout,event,750.0,44.0,106.07113176399332,9.0,2.5704
2025-10-07,v6a_hit_an,90,hist_winrate,event,2.0,44.0,99.07376020771407,2.0,0.5712
2025-10-07,v6a_hit_an,90,hist_hit_an,event,698.0,40.0,104.49163479865896,7.0,1.9992
2025-10-07,v6b_seg_weights,90,c1,event,54.0,38.0,101.92810383549462,7.0,1.9992
2025-10-07,v6b_seg_weights,90,c2,event,354.0,48.0,100.90790762981877,3.0,0.8568
2025-10-07,v6b_seg_weights,90,c3,event,-300.0,28.000000000000004,98.54082042532116,6.0,1.7136
2025-10-07,v6b_seg_weights,90,c4,event,524.0,48.0,102.69924929258325,7.0,1.9992
2025-10-07,v6b_seg_weights,90,c5,event,418.0,40.0,107.62048338459286,10.0,2.856
2025-10-07,v6b_seg_weights,90,c6,event,-238.0,38.0,97.77498936463827,4.0,1.1424
2025-10-07,v6b_seg_weights,90,hist_diff,event,6.0,42.0,99.23222241642907,5.0,1.428
2025-10-07,v6b_seg_weights,90,hist_payout,event,750.0,44.0,106.07113176399332,9.0,2.5704
2025-10-07,v6b_seg_weights,90,hist_winrate,event,16.0,46.0,99.76891039740754,2.0,0.5712
2025-10-07,v6b_seg_weights,90,hist_hit_an,event,588.0,38.0,103.6947290564306,7.0,1.9992
2025-10-07,v7_lift_weights,90,c1,event,546.0,42.0,104.08725817360268,6.0,1.7136
2025-10-07,v7_lift_weights,90,c2,event,98.0,44.0,98.67662589952015,3.0,0.8568
2025-10-07,v7_lift_weights,90,c3,event,-266.0,28.000000000000004,98.77919991588378,6.0,1.7136
2025-10-07,v7_lift_weights,90,c4,event,694.0,50.0,102.76655693092752,7.0,1.9992
2025-10-07,v7_lift_weights,90,c5,event,448.0,40.0,107.8687666868378,10.0,2.856
2025-10-07,v7_lift_weights,90,c6,event,22.0,42.0,99.56200292904283,3.0,0.8568
2025-10-07,v7_lift_weights,90,hist_diff,event,682.0,44.0,104.34547480087095,9.0,2.5704
2025-10-07,v7_lift_weights,90,hist_payout,event,482.0,32.0,103.3875910251038,10.0,2.856
2025-10-07,v7_lift_weights,90,hist_winrate,event,252.0,50.0,100.8579118083028,2.0,0.5712
2025-10-07,v7_lift_weights,90,hist_hit_an,event,752.0,40.0,104.72073146246164,9.0,2.5704
2025-10-08,v6a_hit_an,90,c1,non_event,4.0,26.0,99.25302439180066,6.0,1.7136
2025-10-08,v6a_hit_an,90,c2,non_event,84.0,30.0,100.62302134000524,2.0,0.5712
2025-10-08,v6a_hit_an,90,c3,non_event,-310.0,36.0,96.87536939166624,1.0,0.2856
2025-10-08,v6a_hit_an,90,c4,non_event,48.0,40.0,97.70613145983302,4.0,1.1424
2025-10-08,v6a_hit_an,90,c5,non_event,306.0,44.0,103.63907311902936,5.0,1.428
2025-10-08,v6a_hit_an,90,c6,non_event,976.0,54.0,110.55677686163526,4.0,1.1424
2025-10-08,v6a_hit_an,90,hist_diff,non_event,-32.0,32.0,99.78082255751731,2.0,0.5712
2025-10-08,v6a_hit_an,90,hist_payout,non_event,-358.0,20.0,96.7859033177158,4.0,1.1424
2025-10-08,v6a_hit_an,90,hist_winrate,non_event,326.0,44.0,100.08261440755133,2.0,0.5712
2025-10-08,v6a_hit_an,90,hist_hit_an,non_event,354.0,38.0,104.27286290876836,7.0,1.9992
2025-10-08,v6b_seg_weights,90,c1,non_event,-100.0,26.0,98.46138888055565,6.0,1.7136
2025-10-08,v6b_seg_weights,90,c2,non_event,204.0,30.0,101.17476370784009,3.0,0.8568
2025-10-08,v6b_seg_weights,90,c3,non_event,-60.0,36.0,100.98596026759202,2.0,0.5712
2025-10-08,v6b_seg_weights,90,c4,non_event,50.0,40.0,97.56444267234465,4.0,1.1424
2025-10-08,v6b_seg_weights,90,c5,non_event,494.0,48.0,105.6015186810573,5.0,1.428
2025-10-08,v6b_seg_weights,90,c6,non_event,826.0,60.0,105.46964510677606,5.0,1.428
2025-10-08,v6b_seg_weights,90,hist_diff,non_event,-88.0,30.0,98.55113650650397,2.0,0.5712
2025-10-08,v6b_seg_weights,90,hist_payout,non_event,-358.0,20.0,96.7859033177158,4.0,1.1424
2025-10-08,v6b_seg_weights,90,hist_winrate,non_event,326.0,44.0,100.08261440755133,2.0,0.5712
2025-10-08,v6b_seg_weights,90,hist_hit_an,non_event,276.0,38.0,103.06725795617244,6.0,1.7136
2025-10-08,v7_lift_weights,90,c1,non_event,-188.0,32.0,94.6613581213243,3.0,0.8568
2025-10-08,v7_lift_weights,90,c2,non_event,288.0,38.0,102.06131120350418,3.0,0.8568
2025-10-08,v7_lift_weights,90,c3,non_event,-70.0,34.0,100.16070578588402,2.0,0.5712
2025-10-08,v7_lift_weights,90,c4,non_event,-282.0,36.0,94.33518502991345,1.0,0.2856
2025-10-08,v7_lift_weights,90,c5,non_event,414.0,46.0,104.6933579942655,5.0,1.428
2025-10-08,v7_lift_weights,90,c6,non_event,-186.0,38.0,95.23154546639748,3.0,0.8568
2025-10-08,v7_lift_weights,90,hist_diff,non_event,-476.0,26.0,93.77881474064739,0.0,0.0
2025-10-08,v7_lift_weights,90,hist_payout,non_event,-292.0,32.0,99.12488217995067,1.0,0.2856
2025-10-08,v7_lift_weights,90,hist_winrate,non_event,366.0,48.0,100.44626998790777,2.0,0.5712
2025-10-08,v7_lift_weights,90,hist_hit_an,non_event,-406.0,28.000000000000004,94.741831147787,2.0,0.5712
2025-10-09,v6a_hit_an,90,c1,non_event,-258.0,34.0,96.23113195710626,4.0,1.1424
2025-10-09,v6a_hit_an,90,c2,non_event,100.0,38.0,106.79098285807893,4.0,1.1424
2025-10-09,v6a_hit_an,90,c3,non_event,76.0,30.0,91.13743597889459,4.0,1.1424
2025-10-09,v6a_hit_an,90,c4,non_event,-48.0,38.0,102.05219049400439,4.0,1.1424
2025-10-09,v6a_hit_an,90,c5,non_event,-322.0,22.0,96.7408950819713,2.0,0.5712
2025-10-09,v6a_hit_an,90,c6,non_event,240.0,36.0,99.78836075949047,5.0,1.428
2025-10-09,v6a_hit_an,90,hist_diff,non_event,366.0,48.0,100.8526360382983,4.0,1.1424
2025-10-09,v6a_hit_an,90,hist_payout,non_event,370.0,48.0,108.8270254870911,5.0,1.428
2025-10-09,v6a_hit_an,90,hist_winrate,non_event,86.0,38.0,97.28730710357277,0.0,0.0
2025-10-09,v6a_hit_an,90,hist_hit_an,non_event,188.0,42.0,107.24867794068341,3.0,0.8568
2025-10-09,v6b_seg_weights,90,c1,non_event,-264.0,34.0,96.21390939672419,4.0,1.1424
2025-10-09,v6b_seg_weights,90,c2,non_event,112.0,38.0,106.49265876275729,4.0,1.1424
2025-10-09,v6b_seg_weights,90,c3,non_event,68.0,30.0,91.08658876229622,4.0,1.1424
2025-10-09,v6b_seg_weights,90,c4,non_event,26.0,38.0,102.14523592400387,5.0,1.428
2025-10-09,v6b_seg_weights,90,c5,non_event,-284.0,22.0,90.87296212998274,2.0,0.5712
2025-10-09,v6b_seg_weights,90,c6,non_event,16.0,36.0,100.23319056457804,3.0,0.8568
2025-10-09,v6b_seg_weights,90,hist_diff,non_event,366.0,48.0,100.8526360382983,4.0,1.1424
2025-10-09,v6b_seg_weights,90,hist_payout,non_event,370.0,48.0,108.8270254870911,5.0,1.428
