index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,test_date,variant,window,event_type
0,2F_L_N,190.0,168.97590361445782,36.0,96.6468099247764,21.02409638554218,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,2025-10-06,v6a_hit_an,90,non_event
1,2F_R_N,310.0,159.93975903614458,40.0,99.75617637351537,150.06024096385542,2.0,2.8560000000000003,2.0,1.4280000000000002,5.0,1.428,2025-10-06,v6a_hit_an,90,non_event
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6a_hit_an,90,non_event
3,3F_L_N,538.0,142.7710843373494,48.0,103.00271011447117,395.2289156626506,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-06,v6a_hit_an,90,non_event
4,3F_R_A,-84.0,189.60843373493975,40.0,94.62180733105679,-273.60843373493975,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6a_hit_an,90,non_event
5,3F_R_N,-78.0,189.15662650602408,36.0,95.40907231143736,-267.15662650602405,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-06,v6a_hit_an,90,non_event
0,2F_L_N,182.0,169.57831325301206,34.0,96.41195607650893,12.421686746987945,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,2025-10-06,v6b_seg_weights,90,non_event
1,2F_R_N,522.0,143.97590361445782,44.0,102.70290012770506,378.0240963855422,3.0,4.284000000000001,3.0,2.1420000000000003,6.0,1.7136,2025-10-06,v6b_seg_weights,90,non_event
2,3F_L_A,8.0,182.68072289156626,36.0,96.5313294220434,-174.68072289156626,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6b_seg_weights,90,non_event
3,3F_L_N,538.0,142.7710843373494,48.0,103.00271011447117,395.2289156626506,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-06,v6b_seg_weights,90,non_event
4,3F_R_A,84.0,176.9578313253012,46.0,95.73491112138457,-92.95783132530121,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v6b_seg_weights,90,non_event
5,3F_R_N,-78.0,189.15662650602408,36.0,95.40907231143736,-267.15662650602405,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-06,v6b_seg_weights,90,non_event
0,2F_L_N,-102.0,190.96385542168676,36.0,94.47615248450245,-292.96385542168673,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,2025-10-06,v7_lift_weights,90,non_event
1,3F_L_A,-6.0,183.73493975903614,34.0,96.1437257397514,-189.73493975903614,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v7_lift_weights,90,non_event
2,3F_L_N,414.0,152.10843373493975,46.0,101.4870615278238,261.89156626506025,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-06,v7_lift_weights,90,non_event
3,3F_R_A,116.0,174.54819277108433,44.0,96.53637969011515,-58.54819277108433,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-06,v7_lift_weights,90,non_event
4,3F_R_N,-58.0,187.65060240963857,34.0,95.32447762165151,-245.65060240963857,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-06,v7_lift_weights,90,non_event
0,2F_L_N,174.0,177.710843373494,36.0,99.98829354578433,-3.7108433734939865,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,2025-10-07,v6a_hit_an,90,event
1,2F_R_N,-240.0,208.8855421686747,40.0,99.40620500757103,-448.8855421686747,1.0,1.4280000000000002,1.0,0.7140000000000001,4.0,1.1424,2025-10-07,v6a_hit_an,90,event
2,3F_L_A,160.0,178.76506024096386,46.0,98.7985250331877,-18.765060240963862,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-07,v6a_hit_an,90,event
3,3F_L_N,-76.0,196.53614457831324,36.0,100.4305912409746,-272.53614457831327,1.0,1.4280000000000002,2.0,1.4280000000000002,8.0,2.2848,2025-10-07,v6a_hit_an,90,event
4,3F_R_A,568.0,148.0421686746988,60.0,101.16943010347293,419.9578313253012,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-07,v6a_hit_an,90,event
5,3F_R_N,-22.0,192.46987951807228,30.0,101.01789733359433,-214.46987951807228,2.0,2.8560000000000003,4.0,2.8560000000000003,6.0,1.7136,2025-10-07,v6a_hit_an,90,event
0,2F_L_N,174.0,177.710843373494,36.0,99.9882935457843,-3.7108433734939865,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,2025-10-07,v6b_seg_weights,90,event
1,2F_R_N,-42.0,193.97590361445782,48.0,100.06799171604956,-235.97590361445782,0.0,0.0,1.0,0.7140000000000001,2.0,0.5712,2025-10-07,v6b_seg_weights,90,event
2,3F_L_A,98.0,183.43373493975903,46.0,98.51408402052456,-85.43373493975903,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-07,v6b_seg_weights,90,event
3,3F_L_N,58.0,186.44578313253012,38.0,102.17244927558266,-128.44578313253012,1.0,1.4280000000000002,2.0,1.4280000000000002,8.0,2.2848,2025-10-07,v6b_seg_weights,90,event
4,3F_R_A,580.0,147.13855421686748,60.0,101.06446369173459,432.8614457831325,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-07,v6b_seg_weights,90,event
5,3F_R_N,-22.0,192.46987951807228,30.0,101.01789733359436,-214.46987951807228,2.0,2.8560000000000003,4.0,2.8560000000000003,6.0,1.7136,2025-10-07,v6b_seg_weights,90,event
0,2F_L_N,-220.0,207.37951807228916,32.0,97.50203157758955,-427.37951807228916,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,2025-10-07,v7_lift_weights,90,event
1,3F_L_A,36.0,188.1024096385542,42.0,98.30311326368378,-152.1024096385542,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-07,v7_lift_weights,90,event
2,3F_L_N,96.0,183.5843373493976,38.0,102.38021424304388,-87.5843373493976,1.0,1.4280000000000002,2.0,1.4280000000000002,8.0,2.2848,2025-10-07,v7_lift_weights,90,event
3,3F_R_A,560.0,148.64457831325302,60.0,101.01332941906462,411.355421686747,0.0,0.0,0.0,0.0,1.0,0.2856,2025-10-07,v7_lift_weights,90,event
4,3F_R_N,-224.0,207.68072289156626,28.000000000000004,98.66038162037395,-431.68072289156623,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,2025-10-07,v7_lift_weights,90,event
0,2F_L_N,-506.0,183.28313253012047,26.0,92.9818622381386,-689.2831325301205,0.0,0.0,0.0,0.0,2.0,0.5712,2025-10-08,v6a_hit_an,90,non_event
1,2F_R_N,456.0,110.8433734939759,40.0,107.00363293953168,345.1566265060241,2.0,2.8560000000000003,2.0,1.4280000000000002,6.0,1.7136,2025-10-08,v6a_hit_an,90,non_event
