test_date,variant,window,component,event_type,avg_diff,win_rate,payout_rate,hit@50,lift@50
2026-03-22,v8_dynamic,90,c1,event,-592.0,28.000000000000004,94.11197472541654,3.0,0.8568
2026-03-22,v8_dynamic,90,c2,event,-356.0,32.0,96.40570511592243,2.0,0.5712
2026-03-22,v8_dynamic,90,c3,event,-290.0,36.0,97.26914344201013,3.0,0.8568
2026-03-22,v8_dynamic,90,c4,event,-530.0,40.0,94.88676103812222,0.0,0.0
2026-03-22,v8_dynamic,90,c5,event,2.0,32.0,97.733364299279,9.0,2.5704
2026-03-22,v8_dynamic,90,c6,event,-726.0,32.0,92.45641670235773,1.0,0.2856
2026-03-22,v8_dynamic,90,hist_diff,event,-88.0,36.0,97.44841682304444,3.0,0.8568
2026-03-22,v8_dynamic,90,hist_payout,event,-396.0,34.0,96.83769094014524,2.0,0.5712
2026-03-22,v8_dynamic,90,hist_winrate,event,8.0,46.0,98.23376177560542,2.0,0.5712
2026-03-22,v8_dynamic,90,hist_hit_an,event,-100.0,42.0,98.35549067429774,4.0,1.1424
2026-03-23,v6a_hit_an,90,c1,non_event,192.0,36.0,95.21895269479113,5.0,1.428
2026-03-23,v6a_hit_an,90,c2,non_event,508.0,46.0,102.35363900447946,4.0,1.1424
2026-03-23,v6a_hit_an,90,c3,non_event,-764.0,26.0,90.53822825060362,1.0,0.2856
2026-03-23,v6a_hit_an,90,c4,non_event,76.0,34.0,99.9239936059342,5.0,1.428
2026-03-23,v6a_hit_an,90,c5,non_event,-96.0,30.0,99.6594397073777,4.0,1.1424
2026-03-23,v6a_hit_an,90,c6,non_event,80.0,36.0,103.45319675627074,4.0,1.1424
2026-03-23,v6a_hit_an,90,hist_diff,non_event,-14.0,32.0,101.69362680096425,5.0,1.428
2026-03-23,v6a_hit_an,90,hist_payout,non_event,34.0,32.0,110.34969730661437,6.0,1.7136
2026-03-23,v6a_hit_an,90,hist_winrate,non_event,-340.0,28.000000000000004,101.29222038119579,1.0,0.2856
2026-03-23,v6a_hit_an,90,hist_hit_an,non_event,-156.0,34.0,103.18802190213044,3.0,0.8568
2026-03-23,v7_lift_weights,90,c1,non_event,86.0,36.0,94.68605204857282,4.0,1.1424
2026-03-23,v7_lift_weights,90,c2,non_event,412.0,46.0,101.33117555070878,3.0,0.8568
2026-03-23,v7_lift_weights,90,c3,non_event,-778.0,26.0,90.63825521604431,1.0,0.2856
2026-03-23,v7_lift_weights,90,c4,non_event,-78.0,30.0,98.01876229031326,5.0,1.428
2026-03-23,v7_lift_weights,90,c5,non_event,-32.0,28.000000000000004,99.11758940015979,5.0,1.428
2026-03-23,v7_lift_weights,90,c6,non_event,-108.0,30.0,93.56145249883556,2.0,0.5712
2026-03-23,v7_lift_weights,90,hist_diff,non_event,-14.0,32.0,101.69362680096425,5.0,1.428
