test_date,variant,window,component,event_type,avg_diff,win_rate,payout_rate,hit@50,lift@50
2025-10-06,v6a_hit_an,90,c1,non_event,-98.0,34.0,94.19572892091341,4.0,1.1424
2025-10-06,v6a_hit_an,90,c2,non_event,282.0,50.0,99.50184745883541,2.0,0.5712
2025-10-06,v6a_hit_an,90,c3,non_event,668.0,48.0,103.24443190792674,8.0,2.2848
2025-10-06,v6a_hit_an,90,c4,non_event,338.0,38.0,100.4873053097387,5.0,1.428
2025-10-06,v6a_hit_an,90,c5,non_event,100.0,28.000000000000004,99.2103479239615,3.0,0.8568
2025-10-06,v6a_hit_an,90,c6,non_event,-118.0,38.0,95.96029511749735,2.0,0.5712
2025-10-06,v6a_hit_an,90,hist_diff,non_event,58.0,40.0,97.86442531131063,1.0,0.2856
2025-10-06,v6a_hit_an,90,hist_payout,non_event,100.0,40.0,99.28579383237356,3.0,0.8568
2025-10-06,v6a_hit_an,90,hist_winrate,non_event,34.0,40.0,97.51970142599568,0.0,0.0
2025-10-06,v6a_hit_an,90,hist_hit_an,non_event,776.0,52.0,107.5962040125291,5.0,1.428
2025-10-06,v7_lift_weights,90,c1,non_event,-112.0,34.0,93.80405422050431,4.0,1.1424
2025-10-06,v7_lift_weights,90,c2,non_event,280.0,48.0,98.98772724575839,2.0,0.5712
2025-10-06,v7_lift_weights,90,c3,non_event,682.0,48.0,103.61255425553782,8.0,2.2848
2025-10-06,v7_lift_weights,90,c4,non_event,338.0,38.0,100.4873053097387,5.0,1.428
2025-10-06,v7_lift_weights,90,c5,non_event,56.0,28.000000000000004,98.48798700526847,3.0,0.8568
2025-10-06,v7_lift_weights,90,c6,non_event,-282.0,38.0,95.19095400997024,1.0,0.2856
2025-10-06,v7_lift_weights,90,hist_diff,non_event,58.0,40.0,97.86442531131063,1.0,0.2856
2025-10-06,v7_lift_weights,90,hist_payout,non_event,100.0,40.0,99.28579383237356,3.0,0.8568
2025-10-06,v7_lift_weights,90,hist_winrate,non_event,-58.0,38.0,96.8463119442171,0.0,0.0
2025-10-06,v7_lift_weights,90,hist_hit_an,non_event,662.0,52.0,106.7023519404201,4.0,1.1424
2025-10-06,v8_dynamic,90,c1,non_event,-122.0,32.0,93.83375646096759,4.0,1.1424
2025-10-06,v8_dynamic,90,c2,non_event,172.0,46.0,98.83981950615998,2.0,0.5712
2025-10-06,v8_dynamic,90,c3,non_event,678.0,48.0,103.46608020935227,8.0,2.2848
2025-10-06,v8_dynamic,90,c4,non_event,338.0,38.0,100.4873053097387,5.0,1.428
2025-10-06,v8_dynamic,90,c5,non_event,244.0,32.0,100.2226537689325,3.0,0.8568
2025-10-06,v8_dynamic,90,c6,non_event,156.0,38.0,100.3415739660354,4.0,1.1424
2025-10-06,v8_dynamic,90,hist_diff,non_event,58.0,40.0,97.86442531131063,1.0,0.2856
2025-10-06,v8_dynamic,90,hist_payout,non_event,100.0,40.0,99.28579383237356,3.0,0.8568
2025-10-06,v8_dynamic,90,hist_winrate,non_event,48.0,42.0,97.78092124294506,0.0,0.0
2025-10-06,v8_dynamic,90,hist_hit_an,non_event,702.0,54.0,107.78003007034796,4.0,1.1424
2025-10-07,v6a_hit_an,90,c1,event,200.0,44.0,101.5512597646956,6.0,1.7136
2025-10-07,v6a_hit_an,90,c2,event,294.0,48.0,100.36043216893296,2.0,0.5712
2025-10-07,v6a_hit_an,90,c3,event,-712.0,28.000000000000004,96.22566725815574,2.0,0.5712
2025-10-07,v6a_hit_an,90,c4,event,52.0,44.0,98.6559623552119,4.0,1.1424
2025-10-07,v6a_hit_an,90,c5,event,-464.0,34.0,96.53832257445984,2.0,0.5712
2025-10-07,v6a_hit_an,90,c6,event,4.0,36.0,99.48260187487026,5.0,1.428
2025-10-07,v6a_hit_an,90,hist_diff,event,6.0,42.0,99.23222241642907,5.0,1.428
2025-10-07,v6a_hit_an,90,hist_payout,event,750.0,44.0,106.07113176399332,9.0,2.5704
2025-10-07,v6a_hit_an,90,hist_winrate,event,62.0,46.0,99.5588296588299,2.0,0.5712
2025-10-07,v6a_hit_an,90,hist_hit_an,event,500.0,38.0,103.59576424606394,7.0,1.9992
2025-10-07,v7_lift_weights,90,c1,event,224.0,46.0,102.19076071756359,6.0,1.7136
2025-10-07,v7_lift_weights,90,c2,event,230.0,46.0,99.58627722874137,2.0,0.5712
2025-10-07,v7_lift_weights,90,c3,event,-752.0,28.000000000000004,96.33767528471735,3.0,0.8568
2025-10-07,v7_lift_weights,90,c4,event,52.0,44.0,98.6559623552119,4.0,1.1424
2025-10-07,v7_lift_weights,90,c5,event,-464.0,34.0,96.53832257445985,2.0,0.5712
2025-10-07,v7_lift_weights,90,c6,event,-12.0,48.0,101.05279380451573,2.0,0.5712
2025-10-07,v7_lift_weights,90,hist_diff,event,6.0,42.0,99.23222241642907,5.0,1.428
2025-10-07,v7_lift_weights,90,hist_payout,event,750.0,44.0,106.07113176399332,9.0,2.5704
2025-10-07,v7_lift_weights,90,hist_winrate,event,-12.0,46.0,99.23105002534211,2.0,0.5712
2025-10-07,v7_lift_weights,90,hist_hit_an,event,566.0,38.0,103.89153221301153,7.0,1.9992
2025-10-07,v8_dynamic,90,c1,event,200.0,46.0,102.2637269824208,6.0,1.7136
2025-10-07,v8_dynamic,90,c2,event,338.0,48.0,100.5923306864451,3.0,0.8568
2025-10-07,v8_dynamic,90,c3,event,-566.0,32.0,97.36251133745856,3.0,0.8568
2025-10-07,v8_dynamic,90,c4,event,52.0,44.0,98.6559623552119,4.0,1.1424
2025-10-07,v8_dynamic,90,c5,event,-464.0,34.0,96.53832257445984,2.0,0.5712
2025-10-07,v8_dynamic,90,c6,event,8.0,44.0,101.21788697768827,4.0,1.1424
2025-10-07,v8_dynamic,90,hist_diff,event,6.0,42.0,99.23222241642907,5.0,1.428
2025-10-07,v8_dynamic,90,hist_payout,event,750.0,44.0,106.07113176399332,9.0,2.5704
2025-10-07,v8_dynamic,90,hist_winrate,event,48.0,46.0,99.09396453653538,2.0,0.5712
2025-10-07,v8_dynamic,90,hist_hit_an,event,616.0,38.0,104.13508297577613,7.0,1.9992
