component,c1,c2,c3,c4,c5,c6,hist_diff,hist_payout,hist_winrate,hist_hit_an
c1,1.0,0.2863,0.1726,0.344,0.0487,0.0124,0.5047,0.1983,0.2888,0.1635
c2,0.2863,1.0,0.0377,0.0838,-0.0244,-0.0009,0.1445,0.076,0.0882,0.0778
c3,0.1726,0.0377,1.0,0.0757,0.0163,0.008,0.09,0.0267,0.0495,0.0197
c4,0.344,0.0838,0.0757,1.0,0.0226,0.0156,0.1765,0.0603,0.1003,0.0357
c5,0.0487,-0.0244,0.0163,0.0226,1.0,0.0429,0.0669,-0.0262,0.0687,-0.0376
c6,0.0124,-0.0009,0.008,0.0156,0.0429,1.0,-0.0049,-0.0026,-0.0211,0.0074
hist_diff,0.5047,0.1445,0.09,0.1765,0.0669,-0.0049,1.0,0.6046,0.589,0.5178
hist_payout,0.1983,0.076,0.0267,0.0603,-0.0262,-0.0026,0.6046,1.0,0.4639,0.6903
hist_winrate,0.2888,0.0882,0.0495,0.1003,0.0687,-0.0211,0.589,0.4639,1.0,0.5173
hist_hit_an,0.1635,0.0778,0.0197,0.0357,-0.0376,0.0074,0.5178,0.6903,0.5173,1.0
