segment,event_type,test_date,component,avg_diff,avg_diff_other,avg_diff_vs_other,win_rate,n_selected
2F_L_N,event,2025-10-07,c1,776.0,266.6666666666667,509.3333333333333,52.0,50
2F_L_N,event,2025-10-07,c2,482.0,378.030303030303,103.969696969697,48.0,50
2F_L_N,event,2025-10-07,c3,634.0,320.45454545454544,313.54545454545456,44.0,50
2F_L_N,event,2025-10-07,c4,560.0,348.4848484848485,211.5151515151515,50.0,50
2F_L_N,event,2025-10-07,c5,564.0,346.969696969697,217.030303030303,42.0,50
2F_L_N,event,2025-10-07,c6,214.0,479.54545454545456,-265.54545454545456,50.0,50
2F_L_N,event,2025-10-07,composite,564.0,346.969696969697,217.030303030303,42.0,50
2F_L_N,event,2025-10-11,c1,-474.0,-203.03030303030303,-270.969696969697,30.0,50
2F_L_N,event,2025-10-11,c2,-602.0,-154.54545454545453,-447.4545454545455,38.0,50
2F_L_N,event,2025-10-11,c3,-138.0,-330.3030303030303,192.3030303030303,34.0,50
2F_L_N,event,2025-10-11,c4,-266.0,-281.8181818181818,15.818181818181813,32.0,50
2F_L_N,event,2025-10-11,c5,-588.0,-159.84848484848484,-428.1515151515151,28.0,50
2F_L_N,event,2025-10-11,c6,450.0,-553.030303030303,1003.030303030303,48.0,50
2F_L_N,event,2025-10-11,composite,-588.0,-159.84848484848484,-428.1515151515151,28.0,50
2F_L_N,event,2025-10-17,c1,490.0,-237.87878787878788,727.8787878787879,46.0,50
2F_L_N,event,2025-10-17,c2,-110.0,-10.606060606060606,-99.39393939393939,38.0,50
2F_L_N,event,2025-10-17,c3,-184.0,17.424242424242426,-201.42424242424244,30.0,50
2F_L_N,event,2025-10-17,c4,-228.0,34.09090909090909,-262.0909090909091,36.0,50
2F_L_N,event,2025-10-17,c5,-20.0,-44.696969696969695,24.696969696969695,38.0,50
2F_L_N,event,2025-10-17,c6,118.0,-96.96969696969697,214.96969696969697,36.0,50
2F_L_N,event,2025-10-17,composite,-20.0,-44.696969696969695,24.696969696969695,38.0,50
2F_L_N,event,2025-10-21,c1,-86.0,406.8181818181818,-492.8181818181818,30.0,50
2F_L_N,event,2025-10-21,c2,348.0,242.42424242424244,105.57575757575756,44.0,50
2F_L_N,event,2025-10-21,c3,-272.0,477.27272727272725,-749.2727272727273,34.0,50
2F_L_N,event,2025-10-21,c4,356.0,239.3939393939394,116.6060606060606,38.0,50
2F_L_N,event,2025-10-21,c5,110.0,332.57575757575756,-222.57575757575756,40.0,50
2F_L_N,event,2025-10-21,c6,-46.0,391.6666666666667,-437.6666666666667,32.0,50
2F_L_N,event,2025-10-21,composite,110.0,332.57575757575756,-222.57575757575756,40.0,50
2F_L_N,event,2025-10-22,c1,300.0,272.72727272727275,27.272727272727252,38.0,50
2F_L_N,event,2025-10-22,c2,754.0,100.75757575757575,653.2424242424242,46.0,50
2F_L_N,event,2025-10-22,c3,478.0,205.3030303030303,272.6969696969697,50.0,50
2F_L_N,event,2025-10-22,c4,436.0,221.21212121212122,214.78787878787878,36.0,50
2F_L_N,event,2025-10-22,c5,432.0,222.72727272727272,209.27272727272728,40.0,50
2F_L_N,event,2025-10-22,c6,52.0,366.6666666666667,-314.6666666666667,34.0,50
2F_L_N,event,2025-10-22,composite,432.0,222.72727272727272,209.27272727272728,40.0,50
2F_L_N,event,2025-10-27,c1,626.0,793.939393939394,-167.939393939394,50.0,50
2F_L_N,event,2025-10-27,c2,1242.0,560.6060606060606,681.3939393939394,56.0,50
2F_L_N,event,2025-10-27,c3,662.0,780.3030303030303,-118.30303030303025,46.0,50
2F_L_N,event,2025-10-27,c4,1400.0,500.75757575757575,899.2424242424242,58.0,50
2F_L_N,event,2025-10-27,c5,896.0,691.6666666666666,204.33333333333337,50.0,50
2F_L_N,event,2025-10-27,c6,196.0,956.8181818181819,-760.8181818181819,42.0,50
2F_L_N,event,2025-10-27,composite,896.0,691.6666666666666,204.33333333333337,50.0,50
2F_L_N,event,2025-10-31,c1,-64.0,-73.48484848484848,9.484848484848484,38.0,50
2F_L_N,event,2025-10-31,c2,308.0,-214.3939393939394,522.3939393939394,52.0,50
2F_L_N,event,2025-10-31,c3,-8.0,-94.6969696969697,86.6969696969697,32.0,50
2F_L_N,event,2025-10-31,c4,-66.0,-72.72727272727273,6.727272727272734,42.0,50
2F_L_N,event,2025-10-31,c5,-8.0,-94.6969696969697,86.6969696969697,32.0,50
2F_L_N,event,2025-10-31,c6,-536.0,105.3030303030303,-641.3030303030303,30.0,50
2F_L_N,event,2025-10-31,composite,-8.0,-94.6969696969697,86.6969696969697,32.0,50
2F_L_N,event,2025-11-01,c1,536.0,11.363636363636363,524.6363636363636,44.0,50
2F_L_N,event,2025-11-01,c2,-282.0,321.2121212121212,-603.2121212121212,38.0,50
2F_L_N,event,2025-11-01,c3,-384.0,359.8484848484849,-743.8484848484849,40.0,50
2F_L_N,event,2025-11-01,c4,184.0,144.6969696969697,39.30303030303031,42.0,50
