index,segment,avg_diff,avg_diff_other,win_rate,payout_rate,avg_diff_vs_other,hit@10,lift@10,hit@20,lift@20,hit@50,lift@50,hit_t2500,lift_t2500,hit_t3500,lift_t3500,hit_t4500,lift_t4500,test_date,variant,window,event_type,selection
0,2F_L_N,216.0,167.01807228915663,38.0,97.11720074716546,48.981927710843365,1.0,1.4280000000000002,2.0,1.4280000000000002,4.0,1.1424,7.0,1.2495,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9c_percentile,90,non_event,top50
1,2F_R_N,302.0,160.5421686746988,44.0,101.47570539924197,141.4578313253012,2.0,2.8560000000000003,2.0,1.4280000000000002,4.0,1.1424,6.0,1.0710000000000002,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9c_percentile,90,non_event,top50
2,3F_L_A,28.0,181.17469879518072,36.0,96.64352086698496,-153.17469879518072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v9c_percentile,90,non_event,top50
3,3F_L_N,602.0,137.95180722891567,46.0,102.60405965633304,464.04819277108436,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,9.0,1.6065,5.0,1.2310344827586208,3.0,1.1273684210526316,2025-10-06,v9c_percentile,90,non_event,top50
4,3F_R_A,84.0,176.9578313253012,46.0,95.73491112138457,-92.95783132530121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17850000000000002,0.0,0.0,0.0,0.0,2025-10-06,v9c_percentile,90,non_event,top50
5,3F_R_N,-32.0,185.69277108433735,38.0,94.82703910993419,-217.69277108433735,1.0,1.4280000000000002,1.0,0.7140000000000001,5.0,1.428,7.0,1.2495,5.0,1.2310344827586208,4.0,1.5031578947368422,2025-10-06,v9c_percentile,90,non_event,top50
0,2F_L_N,102.0,175.6024096385542,38.0,101.09426840259759,-73.6024096385542,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,8.0,1.4280000000000002,6.0,1.477241379310345,2.0,0.7515789473684211,2025-10-06,v9c_percentile,90,non_event,bottom50
1,2F_R_N,794.0,123.49397590361446,44.0,105.77930814891471,670.5060240963855,2.0,2.8560000000000003,4.0,2.8560000000000003,7.0,1.9992,10.0,1.7850000000000001,8.0,1.9696551724137932,7.0,2.630526315789474,2025-10-06,v9c_percentile,90,non_event,bottom50
2,3F_L_A,-136.0,193.52409638554218,32.0,93.50635521138462,-329.5240963855422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-06,v9c_percentile,90,non_event,bottom50
3,3F_L_N,-268.0,203.46385542168676,30.0,95.44780451065417,-471.46385542168673,1.0,1.4280000000000002,1.0,0.7140000000000001,3.0,0.8568,6.0,1.0710000000000002,3.0,0.7386206896551725,3.0,1.1273684210526316,2025-10-06,v9c_percentile,90,non_event,bottom50
4,3F_R_A,140.0,172.74096385542168,44.0,96.22326475094229,-32.74096385542168,0.0,0.0,0.0,0.0,1.0,0.2856,1.0,0.17850000000000002,1.0,0.24620689655172415,0.0,0.0,2025-10-06,v9c_percentile,90,non_event,bottom50
5,3F_R_N,326.0,158.73493975903614,38.0,102.06645300082211,167.26506024096386,1.0,1.4280000000000002,5.0,3.5700000000000003,8.0,2.2848,8.0,1.4280000000000002,8.0,1.9696551724137932,8.0,3.0063157894736845,2025-10-06,v9c_percentile,90,non_event,bottom50
0,2F_L_N,564.0,148.34337349397592,42.0,103.34618840963749,415.65662650602405,2.0,2.8560000000000003,3.0,2.1420000000000003,6.0,1.7136,11.0,1.428,8.0,1.5031578947368422,7.0,1.8860377358490565,2025-10-07,v9c_percentile,90,event,top50
1,2F_R_N,-368.0,218.52409638554218,40.0,97.32300510185657,-586.5240963855422,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.649090909090909,1.0,0.18789473684210528,0.0,0.0,2025-10-07,v9c_percentile,90,event,top50
2,3F_L_A,64.0,185.99397590361446,44.0,98.382378135627,-121.99397590361446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1298181818181818,0.0,0.0,0.0,0.0,2025-10-07,v9c_percentile,90,event,top50
3,3F_L_N,-32.0,193.22289156626505,38.0,101.35350719283127,-225.22289156626505,0.0,0.0,1.0,0.7140000000000001,7.0,1.9992,10.0,1.298181818181818,9.0,1.6910526315789474,7.0,1.8860377358490565,2025-10-07,v9c_percentile,90,event,top50
4,3F_R_A,534.0,150.6024096385542,57.99999999999999,100.74722254145854,383.3975903614458,0.0,0.0,0.0,0.0,1.0,0.2856,8.0,1.0385454545454544,4.0,0.7515789473684211,1.0,0.26943396226415095,2025-10-07,v9c_percentile,90,event,top50
5,3F_R_N,-206.0,206.32530120481928,30.0,98.84449435373,-412.3253012048193,2.0,2.8560000000000003,3.0,2.1420000000000003,5.0,1.428,9.0,1.1683636363636363,7.0,1.315263157894737,5.0,1.3471698113207546,2025-10-07,v9c_percentile,90,event,top50
0,2F_L_N,462.0,156.02409638554218,42.0,100.70381743806841,305.9759036144578,0.0,0.0,0.0,0.0,5.0,1.428,9.0,1.1683636363636363,8.0,1.5031578947368422,6.0,1.6166037735849057,2025-10-07,v9c_percentile,90,event,bottom50
1,2F_R_N,146.0,179.81927710843374,42.0,101.54050716052157,-33.81927710843374,0.0,0.0,1.0,0.7140000000000001,2.0,0.5712,10.0,1.298181818181818,6.0,1.1273684210526316,2.0,0.5388679245283019,2025-10-07,v9c_percentile,90,event,bottom50
2,3F_L_A,-150.0,202.10843373493975,30.0,96.9259283038067,-352.10843373493975,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2596363636363636,2.0,0.37578947368421056,0.0,0.0,2025-10-07,v9c_percentile,90,event,bottom50
3,3F_L_N,866.0,125.60240963855422,48.0,110.62405727344833,740.3975903614457,3.0,4.284000000000001,5.0,3.5700000000000003,10.0,2.856,13.0,1.6876363636363636,12.0,2.254736842105263,10.0,2.6943396226415093,2025-10-07,v9c_percentile,90,event,bottom50
4,3F_R_A,8.0,190.210843373494,48.0,98.45879707309874,-182.210843373494,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.2596363636363636,0.0,0.0,0.0,0.0,2025-10-07,v9c_percentile,90,event,bottom50
5,3F_R_N,104.0,182.98192771084337,36.0,103.55295555962446,-78.98192771084337,1.0,1.4280000000000002,3.0,2.1420000000000003,5.0,1.428,11.0,1.428,8.0,1.5031578947368422,6.0,1.6166037735849057,2025-10-07,v9c_percentile,90,event,bottom50
0,2F_L_N,-324.0,169.57831325301206,26.0,94.46108955902503,-493.5783132530121,0.0,0.0,1.0,0.7140000000000001,3.0,0.8568,6.0,0.9415384615384617,4.0,0.952,3.0,1.0710000000000002,2025-10-08,v9c_percentile,90,non_event,top50
1,2F_R_N,560.0,103.01204819277109,44.0,108.21577782423299,456.9879518072289,2.0,2.8560000000000003,2.0,1.4280000000000002,7.0,1.9992,7.0,1.0984615384615386,7.0,1.666,4.0,1.4280000000000002,2025-10-08,v9c_percentile,90,non_event,top50
