variant,segment,event_type,n_days,mean_vs_other,ci_lower,ci_upper,se,wins,losses,win_pct,p_value_wilcoxon,p_value_sign,verdict,loo_min_mean,loo_max_mean,loo_sign_flips,loo_fragile,q_value_wilcoxon,q_value_sign
v6a_hit_an,2F_L_N,event,67,91.11005214889408,-24.87698255709405,209.17841665168137,59.690459284108016,37,30,55.2,0.1598740465587638,0.46381761789686937,ns,77.2373128879153,106.38764147499087,0,False,0.22136406446598064,0.5386269111060419
v6a_hit_an,2F_L_N,non_event,189,79.16029196149677,26.961497577612036,131.91942372665264,26.977535515793374,104,85,55.0,0.01528808941599562,0.19029148414591004,maybe,72.65976672648038,83.76355421686746,0,False,0.039312229926845875,0.32621397282156006
v6a_hit_an,2F_R_N,event,67,71.52994065815501,-58.35011688545225,206.84539875921587,68.0463039632342,35,32,52.2,0.5612822022864414,0.8071946913670247,ns,44.061244979919685,86.42323840817816,0,False,0.5612822022864414,0.8546767320356733
v6a_hit_an,2F_R_N,non_event,189,41.291483393893024,-14.465534359660868,97.62358561229041,28.777315780591486,96,93,50.8,0.3150961029814814,0.8843829672609315,ns,34.78931684183542,45.67630094847474,0,False,0.3544831158541666,0.9096510520398152
v6a_hit_an,3F_L_A,event,67,124.87771983456213,43.98669753641431,216.85799091889947,44.06557441941229,37,30,55.2,0.04838855862678396,0.46381761789686937,maybe,96.95700985761226,132.34191310697335,0,False,0.08667334932679835,0.5386269111060419
v6a_hit_an,3F_L_A,non_event,189,57.46082743673106,27.910151717983048,86.90941065850704,15.08201440152805,116,73,61.4,0.00023167260617772573,0.0021659721611007577,USEFUL,54.24865419123302,60.90306972571136,0,False,0.0027800712741327086,0.019493749449906818
v6a_hit_an,3F_L_N,event,67,-216.55448660312896,-343.51613244020865,-88.66934679014572,64.42126017474517,23,44,34.3,0.0013824871203173585,0.013933875024287785,WORSE,-236.6516976998905,-198.29025191675794,0,False,0.006786654098798215,0.05016195008743603
v6a_hit_an,3F_L_N,non_event,189,-28.392586217887423,-90.62229154714095,36.84779435201119,32.67064329279417,87,102,46.0,0.2788373986335443,0.30850513289883275,ns,-35.73381825173033,-22.818732376313765,0,False,0.34614297761405494,0.43790941692958635
v6a_hit_an,3F_R_A,event,67,72.07561589642152,-14.06722262183061,173.15289741053763,47.33685147140935,39,28,58.2,0.31155879797894426,0.22154872964481104,ns,37.78285870755751,81.15507484483389,0,False,0.3544831158541666,0.34677192466144335
v6a_hit_an,3F_R_A,non_event,189,46.52575380888634,11.407690284949323,81.43669599031043,17.801537199875565,106,83,56.1,0.03911698675185192,0.10929564898388108,maybe,41.56786721353499,49.434952576262496,0,False,0.07411639595087732,0.21859129796776217
v6a_hit_an,3F_R_N,event,67,-140.19205178924653,-296.0326177845712,16.980367739615083,79.2009312095624,24,43,35.8,0.0505594537739657,0.027119992403126333,ns,-168.57265425337715,-116.89503468419132,0,False,0.08667334932679835,0.07510151742404216
v6a_hit_an,3F_R_N,non_event,189,-127.43408554854338,-202.0320631733282,-48.03533817810928,39.19297832901006,71,118,37.6,0.00015936943506676674,0.0007755448948873934,WORSE,-136.05873493975903,-120.30806203537556,0,False,0.0027800712741327086,0.013959808107973082
v9b_blend_05,2F_L_N,event,67,80.93481388239525,-35.82420203200863,200.62542932925732,60.14981676111877,34,33,50.7,0.29397727157747766,1.0,ns,61.55932822197882,98.79536327126688,0,False,0.3527727258929732,1.0
